environment,optimizer_replicates,baseline_episode_return_mean,full_method_episode_return_mean,episode_return_difference,episode_return_difference_ci95_lower,episode_return_difference_ci95_upper,return_noninferiority_margin,return_ni_familywise_lower_bound,return_noninferiority_pass,exploratory_return_superiority,baseline_LowerLFDriftAbs_mean,full_method_LowerLFDriftAbs_mean,relative_drift_reduction,relative_drift_reduction_ci95_lower,relative_drift_reduction_ci95_upper,drift_reduction_familywise_lower_bound,minimum_drift_reduction_pass,selected_branch_counts,constrained_branch_selection_rate,responsibility_reconstruction_rms_max,reconstruction_gate_pass,environment_primary_gate_pass
HalfCheetah-v5,24,410.58308168514833,529.2866165150239,118.70353482987554,53.009720188086476,198.83666683529916,8.211661633702967,50.19961261851234,True,True,0.004932074496735487,0.00051294811249365,0.8959974929751837,0.7910057636463936,0.9425632612023732,0.7677282758096747,True,"{""no_leakage"": 14, ""reward_guarded_adam_projection"": 3, ""scalarized"": 7}",0.41666666666666663,1.0798310770194593e-08,True,True
Hopper-v5,24,195.21773917244823,215.45879047018047,20.24105129773224,5.192945333694417,38.99195343257761,3.904354783448965,6.2506618438038934,True,True,0.08014529358234762,0.017448913985212033,0.7822839844328022,0.6989944722613037,0.8528225705381741,0.6788774383517826,True,"{""no_leakage"": 8, ""reward_guarded_adam_projection"": 16}",0.6666666666666667,1.7286648835380942e-08,True,True
Walker2d-v5,24,250.39580906011466,281.79807448519045,31.402265425075797,17.649857503312532,46.17672972376916,5.007916181202293,20.262088699072528,True,True,0.06542327131463423,0.0068319127495088255,0.8955736603776243,0.8513190934298129,0.9354785477778386,0.8414712068180213,True,"{""no_leakage"": 9, ""reward_guarded_adam_projection"": 7, ""scalarized"": 8}",0.625,2.0574533973247792e-08,True,True
