seed,variant,status,ep_reward,avg_wait_min,headway_cv,score,upper_plan_decisions,upper_plan_reuse_ratio,upper_plan_target_mean,upper_plan_target_std,terminal_launch_shift_mean,terminal_launch_shift_std,freq_promotion_strength,shared_ppo_lower_samples,shared_ppo_gate_evaluations,shared_ppo_gate_replans,shared_ppo_gate_value_mean,shared_ppo_wait_replan_count,shared_ppo_wait_replan_pressure_mean,shared_ppo_wait_replan_shift_pressure_mean,shared_ppo_wait_replan_gap_ratio_mean,shared_ppo_wait_replan_same_hold_mean,shared_ppo_wait_replan_same_wait_mean,shared_ppo_wait_replan_shift_mean_s,shared_ppo_wait_replan_shift_abs_mean_s,shared_ppo_wait_replan_actor_base_used_mean,shared_ppo_wait_replan_base_delta_abs_mean_s,shared_ppo_wait_replan_final_delta_abs_mean_s,shared_ppo_loss
291,native_promotion_replan,supported_native_episode_loop,-11462.481,5.486,0.4934,-6.472799999999999,127.0,0.5152671755725191,346.2040740420099,5.588955442545045,-44.400763358778626,4.48531099082984,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47649.5880859375
301,native_promotion_replan,supported_native_episode_loop,-3056.533,6.223,0.5567,-7.336399999999999,141.0,0.4618320610687023,347.06461952428333,13.806253090108456,-30.729007633587788,17.91410373855379,0.5384615384615384,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3264.1028213500977
361,native_promotion_replan,supported_native_episode_loop,-3021.975,5.679,0.3388,-6.3566,116.0,0.5572519083969466,335.6528907439788,4.520155842591505,-44.469465648854964,4.372561796136647,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.8433319091797
371,native_promotion_replan,supported_native_episode_loop,-2619.211,8.455,0.3905,-9.236,101.0,0.6145038167938931,345.6032349365662,6.310465185991248,-44.25190839694657,4.982172050697761,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4697.769760131836
411,native_promotion_replan,supported_native_episode_loop,-20614.972,16.509,0.371,-17.251,193.0,0.2633587786259542,338.11526175612636,9.641593272120483,-44.47709923664122,4.3682418229466045,0.23076923076923078,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52951.80024414063
431,native_promotion_replan,supported_native_episode_loop,-9149.147,5.051,0.3815,-5.814,189.0,0.2786259541984733,337.71052484280654,9.301511802751413,-44.51145038167939,4.239700429093315,1.0,4972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19115.87985839844
551,native_promotion_replan,supported_native_episode_loop,-2701.862,6.573,0.4615,-7.496,102.0,0.6106870229007634,344.2879062121302,6.678805428342572,-43.70229007633588,5.457251855007746,0.9732971731083759,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9961.640245056153
561,native_promotion_replan,supported_native_episode_loop,-9308.197,4.893,0.3908,-5.6746,206.0,0.21374045801526717,335.77913409469994,8.674725746021563,-44.458015267175576,4.373339670964229,1.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47861.38564453125
881,native_promotion_replan,supported_native_episode_loop,-2678.419,4.151,0.5459,-5.2428,170.0,0.3511450381679389,338.8615471909671,4.155377519253378,-44.16030534351145,5.363599101966206,1.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11237.277569580077
901,native_promotion_replan,supported_native_episode_loop,-18006.23,34.964,0.525,-36.013999999999996,166.0,0.366412213740458,340.84029234599404,9.109646023643768,-44.0763358778626,5.554199732257746,0.25126814159065836,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15067.583178710938
