ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy
0,Warmup,8.3,0.8,33.404,12,0.7949,-5617.404,3947.842,4971,0,34.66,33.91,-60.0,60.0,-1.13,0.2758,-12.334367752075195,28.438156127929688,3695.553466796875,3681.55517578125,31.37994384765625,-3.340874195098877,118.17469787597656,66.18301391601562,155.64710998535156,165526.625,0.1,0.9969958066940308,4971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.65723060423539,33.91197722130947,262,41.04348193433948,42.89471013608731,0.7538329670017296,0.6214945447636715,0.223549278098111,0.15495617713821747,0.3046,9.89,0.0527,2.991
1,Warmup,8.2,0.5,25.317,12,0.6176,-5627.011,3763.577,4970,0,17.34,48.43,-60.0,60.0,-1.1322,0.2607,-14.057354927062988,7.079194068908691,863.4758911132812,852.0074462890625,7.936856746673584,-0.12720221281051636,6.31778621673584,28.420499801635742,93.3265380859375,26829.236328125,0.1,0.9940876960754395,9941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17.33684837101271,48.43153387123047,262,23.664233277345964,24.295909768656678,0.8119024056947544,0.6641365487192767,0.19667369965472722,0.13918975162599614,0.4902,10.75,0.0532,2.957
2,Warmup,8.2,0.7,20.87,12,0.5465,-6019.703,4485.912,4970,0,17.33,50.36,-60.0,60.0,-1.2112,0.216,-14.765830039978027,5.664468288421631,568.6031494140625,557.4159545898438,6.621155738830566,-0.21167802810668945,5.416799545288086,25.91880226135254,221.91957092285156,20853.119140625,0.1,0.9909551739692688,14911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17.328437661754354,50.35870820486385,262,31.323518992097753,17.77887617035916,0.8497205191443036,0.6890687765311283,0.18087342099740764,0.1300578024714641,0.6164,11.78,0.054,2.876
3,Warmup,9.4,0.7,9.937,12,0.546,-5135.77,3176.99,4970,0,3.24,34.48,-60.0,60.0,-1.0334,0.3425,-13.927363395690918,4.485984802246094,464.65216064453125,453.7718200683594,5.025432586669922,0.4850843846797943,1.8489967584609985,23.461074829101562,68.58163452148438,20996.6875,0.1,0.9880685210227966,19881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.235675734271796,34.47667621483152,262,20.31979166614382,11.97722331254106,0.5000314532389998,0.6985342902900916,0.17425916012291212,0.12720654958699618,0.6345,12.58,0.0548,2.783
4,Warmup,6.8,0.7,9.747,12,0.565,-5285.625,3657.11,4970,0,3.79,33.43,-60.0,59.97,-1.0635,0.3121,-13.25174331665039,3.59989595413208,398.51470947265625,387.8313293457031,4.244350910186768,0.7829035520553589,1.6547267436981201,21.28266143798828,393.27490234375,13512.8095703125,0.1,0.9853736162185669,24851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.793704997260176,33.43041467865571,262,7.513854219293909,7.877378454569137,0.4815612482821443,0.7065796159682856,0.16857556779977392,0.12484481623194058,0.6413,13.23,0.0557,2.687
5,Warmup,6.3,0.8,5.9,12,0.4055,-4376.477,2502.736,4970,0,-2.72,27.57,-59.99,59.77,-0.8806,0.3886,-12.578973770141602,2.9330615997314453,297.0533752441406,286.63555908203125,2.923719882965088,0.20266053080558777,2.2398931980133057,18.676841735839844,148.53196716308594,9308.96484375,0.1,0.9829234480857849,29821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2.7217486282514494,27.571040234266242,262,-1.3783779649358046,-3.3552993460705407,0.38826828844360856,0.7108458520426507,0.1654366412890465,0.12371750666830289,0.5786,13.66,0.0565,2.611
6,Warmup,6.3,0.8,6.846,12,0.3315,-3417.61,1583.969,4971,0,-8.98,16.62,-56.91,48.84,-0.6875,0.3763,-13.1735200881958,2.892928123474121,227.5723419189453,217.2195281982422,3.3074989318847656,0.10802704095840454,1.1063995361328125,19.146390914916992,90.51958465576172,16743.498046875,0.1,0.980915367603302,34792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8.975370842335082,16.618315962054343,262,-6.384409978809325,-9.536412750733525,0.25858081386039533,0.7156289241264957,0.16217981601022224,0.12219125986328204,0.466,13.82,0.0572,2.566
7,Warmup,9.1,0.7,5.995,12,0.5315,-3421.875,1640.784,4970,0,-7.73,13.74,-56.74,38.17,-0.6885,0.394,-11.246856689453125,2.603506088256836,189.603759765625,179.4163360595703,2.4146728515625,-0.2489001303911209,0.6379076838493347,16.259986877441406,47.623355865478516,10565.0458984375,0.1,0.9794069528579712,39762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7.72667103798524,13.742052352779664,262,-8.0954075309595,-6.30480748532634,0.21214347211636436,0.7190537804827838,0.15944282072726945,0.12150339878994679,0.3843,13.8,0.0579,2.54
8,Warmup,6.4,0.9,4.768,12,0.5698,-3085.256,1344.244,4970,0,-13.25,14.44,-59.93,45.02,-0.6208,0.3723,-10.013789176940918,2.6378180980682373,147.7689208984375,137.64138793945312,2.663569450378418,-0.07305851578712463,1.1989883184432983,15.256150245666504,161.49136352539062,12774.99609375,0.1,0.9782874584197998,44732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-13.24765121834821,14.435504860200082,262,-11.208559197344277,-11.510785698733832,0.2740710729411434,0.7213373206245948,0.1573527797313619,0.12130989964404336,0.3001,13.55,0.0584,2.535
9,Warmup,6.2,0.8,4.929,12,0.4557,-3072.928,1319.452,4970,0,-17.6,14.98,-58.64,46.74,-0.6183,0.3784,-11.62457275390625,2.8630332946777344,211.1277313232422,201.10960388183594,2.2996764183044434,0.017617272213101387,1.8229392766952515,17.38680648803711,59.48501968383789,18761.6953125,0.1,0.9775708913803101,49702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-17.602633931756138,14.979555517384973,262,-14.382170227797408,-17.23917892826231,0.3362472702350149,0.7237781839826997,0.15537329870265365,0.12084851731464673,0.2386,13.11,0.0589,2.548
