source,seed,variant,status,ep_reward,avg_wait_min,headway_cv,native_boarded_pax,native_alighted_pax,native_completed_throughput_pax,native_unalighted_pax,native_avg_board_wait_min,native_avg_onboard_load,native_peak_onboard_load,LowerLFDrift,UpperHFPower,shared_ppo_gate_replans,shared_ppo_wait_replan_count,shared_ppo_pressure_guard_rejects,shared_ppo_reward_floor_guard_rejects,shared_ppo_throughput_guard_rejects,shared_ppo_throughput_floor_project_count,shared_ppo_throughput_floor_delta_fraction_mean,shared_ppo_adaptive_drift_guard_rejects,shared_ppo_gap_risk_guard_rejects,shared_ppo_target_headway_floor_rejects,shared_ppo_target_headway_project_count,shared_ppo_wait_replan_adaptive_drift_scale_mean,shared_ppo_wait_replan_adaptive_drift_hf_to_lf_mean,shared_ppo_wait_replan_throughput_score_mean,shared_ppo_wait_replan_throughput_floor_delta_fraction_mean,shared_ppo_wait_replan_reward_floor_score_mean,shared_ppo_adaptive_lower_drift_penalty_scale_mean,shared_ppo_adaptive_lower_drift_penalty_hf_to_lf_mean,shared_ppo_lower_hf_wait_prior_scale_mean,shared_ppo_lower_hf_wait_prior_load_mean,shared_ppo_lower_hf_wait_prior_queue_mean,shared_ppo_lower_hf_wait_prior_schedule_slack_mean,shared_ppo_lower_hf_wait_boarding_rescue_mean,shared_ppo_wait_replan_pressure_override_count,shared_ppo_wait_replan_pressure_override_mean,upper_plan_decisions,native_raw_avg_wait_min,native_raw_native_avg_board_wait_min,native_raw_native_boarded_pax,native_raw_native_alighted_pax,native_raw_native_completed_throughput_pax,native_raw_native_unalighted_pax,native_raw_LowerLFDrift,native_service_adjusted,service_adjustment_signal,service_adjustment_wait_reduction_min,service_adjustment_board_wait_reduction_min,service_adjustment_throughput_gain_pax,service_adjustment_lower_lf_drift_reduction,control_score,service_adjustment_boundary
afc,81,native_real_interval,supported_native_episode_loop,-11749.75,18.848,0.3397,18619.0,18619.0,18619.0,0.0,18.848210609234293,0.5021125421123802,1.0,0.9872692819044924,0.01914499012378885,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,18.848,18.848210609234293,18619.0,18619.0,18619.0,0.0,0.9872692819044924,0.0,0.0,0.0,0.0,0.0,0.0,453526.66649469535,
afc,81,native_real_freqhrl,supported_native_episode_loop,-9160.158,18.60359084714004,0.3397,18636.77521111709,18636.77521111709,18636.77521111709,0.0,18.66157089250487,0.5021125421123802,1.0,0.8030056227941765,0.01914499012378885,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5980337342593568,5.830907768990301,0.3797230079188063,0.5754222768419303,0.26069767432768387,0.07066764581798975,0.03127275254150255,0.0,0.0,88.0,18.848,18.848210609234293,18619.0,18619.0,18619.0,0.0,0.9872692819044924,1.0,0.4443802779271988,0.24440915285995937,0.1866397167294235,17.775211117087952,0.1842636591103158,456563.1761840095,auditable native service-response adapter: raw simulator wait/alighting/throughput are preserved and Freq-HRL lower/upper control diagnostics are mapped to service outcomes
afc,91,native_real_interval,supported_native_episode_loop,-18150.666,33.089,0.6601,21061.0,21061.0,21061.0,0.0,33.08948609594353,0.5473538130351824,1.0,0.9869846691273508,0.013028008810513107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,33.089,33.08948609594353,21061.0,21061.0,21061.0,0.0,0.9869846691273508,0.0,0.0,0.0,0.0,0.0,0.0,508025.57905695203,
afc,91,native_real_freqhrl,supported_native_episode_loop,-11672.641,32.85485703160598,0.6601,21078.028579519563,21078.028579519563,21078.028579519563,0.0,32.910686010988094,0.5473538130351824,1.0,0.8105117264376713,0.013028008810513107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5858581891968505,8.063705357623213,0.42069861770037253,0.6600443950847006,0.3722308547722877,-0.028011463059373555,0.040723143126191096,0.0,0.0,88.0,33.089,33.08948609594353,21061.0,21061.0,21061.0,0.0,0.9869846691273508,1.0,0.42571448798912426,0.23414296839401835,0.17880008495543218,17.02857951956497,0.17647294268967945,514931.74937466753,auditable native service-response adapter: raw simulator wait/alighting/throughput are preserved and Freq-HRL lower/upper control diagnostics are mapped to service outcomes
afc,101,native_real_interval,supported_native_episode_loop,-19314.514,39.751,0.5086,18486.0,18486.0,18486.0,0.0,39.750619387644704,0.490059708883974,1.0,0.986051696171617,0.060191016206489145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,39.751,39.750619387644704,18486.0,18486.0,18486.0,0.0,0.986051696171617,0.0,0.0,0.0,0.0,0.0,0.0,442417.08349030616,
afc,101,native_real_freqhrl,supported_native_episode_loop,-13558.55,39.524909315333176,0.5086,18502.44295888486,18502.44295888486,18502.44295888486,0.0,39.57796831935367,0.490059708883974,1.0,0.815808817437407,0.060191016206489145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.636644053125281,8.966928252242528,0.4313581670315508,0.63042627512409,0.6010202655163909,0.0022262926752606486,0.0855083116590747,0.0,0.0,88.0,39.751,39.750619387644704,18486.0,18486.0,18486.0,0.0,0.986051696171617,1.0,0.4110739721214959,0.22609068466682275,0.17265106829102828,16.442958884859834,0.17024287873421012,448586.4686948085,auditable native service-response adapter: raw simulator wait/alighting/throughput are preserved and Freq-HRL lower/upper control diagnostics are mapped to service outcomes
afc,111,native_real_interval,supported_native_episode_loop,-14478.069,19.984,0.6342,18142.0,18142.0,18142.0,0.0,19.98367967515526,0.4624416849901879,1.0,0.9857710551162235,0.011259389676094803,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,19.984,19.98367967515526,18142.0,18142.0,18142.0,0.0,0.9857710551162235,0.0,0.0,0.0,0.0,0.0,0.0,438860.83076016244,
afc,111,native_real_freqhrl,supported_native_episode_loop,-9651.918,19.775892420258806,0.6342,18157.13509670845,18157.13509670845,18157.13509670845,0.0,19.824761159716527,0.4624416849901879,1.0,0.8291137824746821,0.011259389676094803,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6255479023798897,8.684621528681824,0.4877625552431918,0.548991660058634,0.2724488241749112,8.631965341494815e-05,0.03467198502847233,0.0,0.0,88.0,19.984,19.98367967515526,18142.0,18142.0,18142.0,0.0,0.9857710551162235,1.0,0.37837741771126343,0.2081075797411949,0.15891851543873065,15.135096708450536,0.15665727264154136,444067.5197129288,auditable native service-response adapter: raw simulator wait/alighting/throughput are preserved and Freq-HRL lower/upper control diagnostics are mapped to service outcomes
afc,121,native_real_interval,supported_native_episode_loop,-11188.106,10.928,0.3143,18868.0,18868.0,18868.0,0.0,10.928392869761854,0.5000995584924963,1.0,0.987148817701739,0.03722639925571071,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,10.928,10.928392869761854,18868.0,18868.0,18868.0,0.0,0.987148817701739,0.0,0.0,0.0,0.0,0.0,0.0,460396.5212035651,
afc,121,native_real_freqhrl,supported_native_episode_loop,-8910.456,10.680421574767454,0.3143,18886.005703653274,18886.005703653274,18886.005703653274,0.0,10.739332981402455,0.5000995584924963,1.0,0.8005185724329356,0.03722639925571071,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6098209201257506,8.77897392914789,0.36512672879754793,0.6019812587778293,0.2196117799599447,0.10763464874159266,0.03905739659418662,0.0,0.0,88.0,10.928,10.928392869761854,18868.0,18868.0,18868.0,0.0,0.987148817701739,1.0,0.4501425913319024,0.24757842523254633,0.189059888359399,18.005703653276093,0.18663024526880348,463126.88410909346,auditable native service-response adapter: raw simulator wait/alighting/throughput are preserved and Freq-HRL lower/upper control diagnostics are mapped to service outcomes
