ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy,w_wait,w_fleet,w_cv,N_fleet,fleet_overshoot
0,Warmup,14.1,2.1,4.348,15,0.5651,-2622.897,951.129,4970,0,-15.8,30.55,-59.75,59.84,-0.5277,0.3107,-6.733082294464111,1.4508625268936157,16.483074188232422,5.542851448059082,1.5346009731292725,-0.3139706552028656,0.24554792046546936,9.270843505859375,61.513450622558594,221.47178649902344,0.1,1.0029970407485962,4970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-15.795964791018973,30.554824884955078,262,-14.225876923566473,-12.1235415876696,0.5008403851292916,0.5036290074480493,0.30580083053656054,0.19057016201539018,0.1484,9.58,0.0525,2.995,0.5,0.3,0.2,12,3
1,Warmup,14.5,0.8,6.566,15,0.4941,-2238.54,702.117,4971,0,-12.37,30.34,-59.36,59.3,-0.4503,0.2893,-5.999337673187256,0.8345149755477905,14.811624526977539,4.316219329833984,0.8677812814712524,0.1083599179983139,0.1593576818704605,7.81680965423584,9.051315307617188,92.1058349609375,0.1,1.0061016082763672,9941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-12.373152152410897,30.335183246412424,262,-12.155923896243698,-10.844509248984487,0.4744633272111511,0.5128475502508315,0.30533048838925836,0.18182196135991,0.2207,9.77,0.0526,2.994,0.504,0.306,0.191,12,3
2,Warmup,14.2,0.8,8.794,15,0.4203,-2525.954,895.19,4968,0,-39.25,22.6,-59.88,56.41,-0.5084,0.3141,-6.231593608856201,0.6900841593742371,12.847034454345703,2.7266898155212402,0.6848618388175964,-0.00253863912075758,0.05024849623441696,7.644705772399902,5.210699081420898,57.467262268066406,0.1,1.009200930595398,14909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-39.251827253074495,22.599467664368614,262,-31.730992491935428,-36.09510470628739,0.7049575652860063,0.5248129971929194,0.30188068011704206,0.1733063226900384,0.2823,10.07,0.0528,2.988,0.513,0.305,0.182,12,3
3,Warmup,14.9,0.8,9.221,15,0.4515,-2435.937,830.439,4971,0,-35.33,23.71,-59.84,59.99,-0.49,0.3078,-6.633059024810791,0.591721773147583,12.619245529174805,2.833892345428467,0.6354817152023315,0.025360966101288795,0.029935084283351898,7.888401031494141,13.61288070678711,81.33496856689453,0.1,1.0122919082641602,19880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-35.32568470164879,23.706742760444797,262,-37.08102289626472,-33.408929121102155,0.6559090326840452,0.5348213368433863,0.29866574174104993,0.16651292141556376,0.312,10.4,0.053,2.977,0.525,0.302,0.173,12,3
4,Warmup,14.3,0.8,4.023,14,0.3519,-2497.116,865.176,4971,0,-38.41,20.87,-59.63,59.49,-0.5023,0.3016,-6.2480669021606445,0.5542524456977844,12.638833999633789,3.1374270915985107,0.6004406809806824,-0.0036216762382537127,0.027232151478528976,7.440739631652832,11.62121295928955,77.60588836669922,0.1,1.0153872966766357,24851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-38.41030419026649,20.867996127566524,262,-39.61721175720817,-35.94917209289575,0.6870942643920633,0.5369121813169673,0.29899266496795435,0.1640951537150785,0.3303,10.74,0.0533,2.962,0.535,0.299,0.167,12,2
5,Warmup,14.6,0.7,4.44,15,0.4083,-2516.976,901.589,4970,0,-43.38,19.03,-59.82,56.03,-0.5064,0.3221,-6.3950300216674805,0.5443074107170105,12.012043952941895,2.7852721214294434,0.5783605575561523,-0.014472976326942444,0.02305011823773384,7.473951816558838,19.185638427734375,88.16456604003906,0.1,1.0184736251831055,29821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-43.37738444186762,19.025329220164856,262,-45.70005022475594,-39.91091961860656,0.7551078068371493,0.5375982681593766,0.3009766595508736,0.1614250722897498,0.3381,11.05,0.0536,2.944,0.537,0.299,0.164,12,3
6,Warmup,13.8,0.8,4.398,14,0.5311,-2606.701,925.265,4970,0,-32.17,24.92,-59.77,58.99,-0.5245,0.3073,-6.780667781829834,0.5055342316627502,11.911282539367676,2.921673536300659,0.559084415435791,0.01174210011959076,0.017999442294239998,7.835292339324951,5.676441669464111,100.3504638671875,0.1,1.0215388536453247,34791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-32.1716758336677,24.919215501791996,262,-40.23780869323956,-34.69282890958221,0.6189714350632969,0.5394536538845647,0.3007409392849879,0.15980540683044736,0.3441,11.34,0.0539,2.924,0.538,0.301,0.161,12,2
7,Warmup,16.3,1.1,5.371,15,0.44,-2463.688,871.623,4970,0,-39.2,20.01,-59.74,53.87,-0.4957,0.3142,-6.749924182891846,0.4746091663837433,10.937586784362793,2.177971363067627,0.47640249133110046,-0.005786949768662453,0.015497496351599693,7.719003200531006,0.8960133790969849,81.8691177368164,0.1,1.024604320526123,39761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-39.20309068779171,20.014356400152902,262,-39.33158667009128,-38.45964418586931,0.6889816204343058,0.5410119817933452,0.30162382735191395,0.15736419085474082,0.3312,11.56,0.0542,2.906,0.539,0.301,0.16,12,3
8,Warmup,48.5,2.5,3.799,14,0.4083,-2562.148,929.683,4970,0,-35.88,22.29,-60.0,58.53,-0.5155,0.3151,-6.618851661682129,0.4742438495159149,10.697547912597656,2.1582303047180176,0.47557711601257324,-0.015728222206234932,0.015064223669469357,7.592464447021484,2.0330374240875244,56.513206481933594,0.1,1.0276837348937988,44731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-35.88342681798065,22.28906580999633,262,-41.89386706634572,-31.933902557429512,0.6506585541461996,0.5420449027679363,0.30192290663514554,0.15603219059691809,0.3252,11.73,0.0545,2.889,0.541,0.302,0.157,12,2
9,Warmup,26.5,0.8,4.194,13,0.6112,-2501.69,890.233,4971,0,-41.09,20.5,-59.8,58.09,-0.5033,0.3238,-6.664714336395264,0.48882752656936646,10.7152681350708,2.378248691558838,0.47555291652679443,0.021603219211101532,0.051823727786540985,7.690371513366699,2.1644768714904785,79.07431030273438,0.1,1.0307754278182983,49702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-41.09467441806567,20.504980397641205,262,-41.919203716830204,-35.58279214171987,0.7215179960747286,0.5443436254640134,0.30027087555748666,0.1553854989784998,0.3106,11.83,0.0548,2.876,0.542,0.302,0.156,12,1
