domain,check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,status,source_path
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_UpperHFPower,UpperHFPower,native_real_freqhrl,native_real_interval,decrease,96,-4.349142632902586e-07,-1.3047427898707758e-06,0.0,4.349142632902586e-07,0.0,1.3047427898707758e-06,0.010416666666666666,inconclusive,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_shared_ppo_wait_replan_count,shared_ppo_wait_replan_count,native_real_freqhrl,native_real_interval,increase,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_shared_ppo_pressure_guard_rejects,shared_ppo_pressure_guard_rejects,native_real_freqhrl,native_real_interval,increase,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_shared_ppo_reward_floor_guard_rejects,shared_ppo_reward_floor_guard_rejects,native_real_freqhrl,native_real_interval,increase,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_shared_ppo_throughput_guard_rejects,shared_ppo_throughput_guard_rejects,native_real_freqhrl,native_real_interval,increase,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_shared_ppo_throughput_floor_project_count,shared_ppo_throughput_floor_project_count,native_real_freqhrl,native_real_interval,increase,96,0.10416666666666667,0.020833333333333332,0.22916666666666666,0.10416666666666667,0.020833333333333332,0.21875,0.052083333333333336,supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_shared_ppo_throughput_floor_delta_fraction_mean,shared_ppo_throughput_floor_delta_fraction_mean,native_real_freqhrl,native_real_interval,decrease,96,-0.04560472746304003,-0.09127178239004506,-0.009722222222222222,0.04560472746304003,0.009722222222222222,0.09084627335952636,0.052083333333333336,supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_shared_ppo_adaptive_drift_guard_rejects,shared_ppo_adaptive_drift_guard_rejects,native_real_freqhrl,native_real_interval,increase,96,1.9166666666666667,1.1979166666666667,2.7916666666666665,1.9166666666666667,1.22890625,2.7395833333333335,0.3125,supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_shared_ppo_gap_risk_guard_rejects,shared_ppo_gap_risk_guard_rejects,native_real_freqhrl,native_real_interval,increase,96,0.14583333333333334,0.03125,0.3020833333333333,0.14583333333333334,0.03125,0.3125,0.07291666666666667,supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_shared_ppo_target_headway_floor_rejects,shared_ppo_target_headway_floor_rejects,native_real_freqhrl,native_real_interval,increase,96,0.09375,0.020833333333333332,0.20833333333333334,0.09375,0.020833333333333332,0.19791666666666666,0.052083333333333336,supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_shared_ppo_target_headway_project_count,shared_ppo_target_headway_project_count,native_real_freqhrl,native_real_interval,increase,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_shared_ppo_wait_replan_adaptive_drift_scale_mean,shared_ppo_wait_replan_adaptive_drift_scale_mean,native_real_freqhrl,native_real_interval,decrease,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_shared_ppo_wait_replan_adaptive_drift_hf_to_lf_mean,shared_ppo_wait_replan_adaptive_drift_hf_to_lf_mean,native_real_freqhrl,native_real_interval,decrease,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_shared_ppo_wait_replan_throughput_score_mean,shared_ppo_wait_replan_throughput_score_mean,native_real_freqhrl,native_real_interval,increase,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_shared_ppo_wait_replan_throughput_floor_delta_fraction_mean,shared_ppo_wait_replan_throughput_floor_delta_fraction_mean,native_real_freqhrl,native_real_interval,decrease,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_shared_ppo_wait_replan_reward_floor_score_mean,shared_ppo_wait_replan_reward_floor_score_mean,native_real_freqhrl,native_real_interval,increase,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_shared_ppo_adaptive_lower_drift_penalty_scale_mean,shared_ppo_adaptive_lower_drift_penalty_scale_mean,native_real_freqhrl,native_real_interval,decrease,96,-0.3977570001821656,-0.40397104676156675,-0.39116685005206747,0.3977570001821656,0.39111859704878477,0.4045162428258734,1.0,supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_shared_ppo_adaptive_lower_drift_penalty_hf_to_lf_mean,shared_ppo_adaptive_lower_drift_penalty_hf_to_lf_mean,native_real_freqhrl,native_real_interval,decrease,96,10.632641664419472,9.56025662859839,11.823037216927684,-10.632641664419472,-11.865858206606948,-9.582308389063108,0.0,not_supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_shared_ppo_lower_hf_wait_prior_scale_mean,shared_ppo_lower_hf_wait_prior_scale_mean,native_real_freqhrl,native_real_interval,decrease,96,-0.5714463343802261,-0.5782026276830179,-0.5644637335314326,0.5714463343802261,0.5644198304583522,0.5780377417560408,1.0,supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_shared_ppo_lower_hf_wait_prior_load_mean,shared_ppo_lower_hf_wait_prior_load_mean,native_real_freqhrl,native_real_interval,increase,96,0.6361705865702018,0.6244382521084055,0.6474105594816261,0.6361705865702018,0.6246720764107124,0.6471685405789782,1.0,supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
native_real_demand_service_response_v7,native_real_demand_service_response_v7_native_real_demand_shared_ppo_lower_hf_wait_prior_queue_mean,shared_ppo_lower_hf_wait_prior_queue_mean,native_real_freqhrl,native_real_interval,increase,96,0.42485006535550857,0.385533304112928,0.46378984427270264,0.42485006535550857,0.38446018152863476,0.46670667491001105,1.0,supported,transit_hrl/results/transit_native_real_demand_service_response_v7_48pair_merged/summary.json
