seed,variant,status,ep_reward,avg_wait_min,headway_cv,score,upper_plan_decisions,upper_plan_reuse_ratio,upper_plan_target_mean,upper_plan_target_std,terminal_launch_shift_mean,terminal_launch_shift_std,freq_promotion_strength,shared_ppo_lower_samples,shared_ppo_gate_evaluations,shared_ppo_gate_replans,shared_ppo_gate_value_mean,shared_ppo_wait_replan_count,shared_ppo_wait_replan_pressure_mean,shared_ppo_wait_replan_shift_mean_s,shared_ppo_wait_replan_shift_abs_mean_s,shared_ppo_loss
151,interval_only,supported_native_episode_loop,-5259.386,10.792,0.4269,-11.6458,66.0,0.7480916030534351,341.3502199985144,4.915158304240966,-44.400763358778626,4.587120971436916,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1471.4484848022462
161,interval_only,supported_native_episode_loop,-2776.914,4.358,0.3749,-5.107799999999999,66.0,0.7480916030534351,344.0071349498425,6.486728809799618,-44.232824427480914,5.0071695581876865,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12173.775274658203
171,interval_only,supported_native_episode_loop,-16021.407,20.561,0.3591,-21.2792,66.0,0.7480916030534351,342.9236206756066,5.914025575519958,-44.50381679389313,4.244213026075662,1.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2425.975979614258
181,interval_only,supported_native_episode_loop,-19603.454,14.523,0.7172,-15.9574,66.0,0.7480916030534351,338.07915168851997,10.469740984827773,-42.93511450381679,7.274838196717202,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87790.464453125
151,native_promotion_replan,supported_native_episode_loop,-5138.408,10.587,0.4871,-11.5612,127.0,0.5152671755725191,342.8975689991057,4.84861927305804,-44.400763358778626,4.587120971436916,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1517.0750686645508
161,native_promotion_replan,supported_native_episode_loop,-2775.169,4.359,0.3749,-5.1088000000000005,104.0,0.6030534351145038,344.53649621608906,7.078149435525475,-44.29389312977099,4.984085447131094,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12173.76381225586
171,native_promotion_replan,supported_native_episode_loop,-16068.466,20.693,0.4067,-21.506400000000003,86.0,0.6717557251908397,343.11269702120103,6.342513666051089,-44.50381679389313,4.244213026075662,0.8461538461538461,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2447.5232940673827
181,native_promotion_replan,supported_native_episode_loop,-19601.31,14.523,0.7172,-15.9574,118.0,0.549618320610687,338.32852503156846,9.644076613942381,-41.49618320610687,13.235318264183213,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87789.71376953126
151,native_learned_gate,supported_native_episode_loop,-5297.088,10.767,0.4858,-11.7386,66.0,0.7480916030534351,342.0503909408136,4.940262103910638,-44.396946564885496,4.587036811174328,0.0,4970.0,2.0,2.0,0.9820137900379085,0.0,0.0,0.0,0.0,1446.4084854125977
161,native_learned_gate,supported_native_episode_loop,-2778.141,4.359,0.3749,-5.1088000000000005,66.0,0.7480916030534351,343.98445117164204,7.0271286236068855,-44.29389312977099,4.984085447131094,0.0,4971.0,2.0,2.0,0.9820137900379085,0.0,0.0,0.0,0.0,12173.851678466797
171,native_learned_gate,supported_native_episode_loop,-16021.407,20.561,0.3591,-21.2792,66.0,0.7480916030534351,342.9236206756066,5.914025575519958,-44.50381679389313,4.244213026075662,1.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2425.976480102539
181,native_learned_gate,supported_native_episode_loop,-19607.067,14.523,0.7172,-15.9574,66.0,0.7480916030534351,337.26563823477915,10.130732523854663,-43.0,7.274340556665679,0.0,4971.0,2.0,2.0,0.9820137900379085,0.0,0.0,0.0,0.0,87791.4736328125
151,native_wait_aware_replan,supported_native_episode_loop,-3818.194,7.962,0.4839,-8.9298,66.0,0.7480916030534351,338.32533732012354,12.124602997366486,-44.33587786259542,4.524084297752867,0.5384615384615384,4970.0,2.0,2.0,0.9820137900379085,2.0,0.6591378039298121,-17.735160935508247,17.735160935508247,828.6672836303711
161,native_wait_aware_replan,supported_native_episode_loop,-4146.559,4.686,0.4469,-5.5798,66.0,0.7480916030534351,340.1530568894463,5.583240318221651,-44.152671755725194,5.518841125230741,0.0,4971.0,2.0,2.0,0.9820137900379085,2.0,0.4943713377556781,-13.842397457158986,13.842397457158986,100.40475692749024
171,native_wait_aware_replan,supported_native_episode_loop,-2641.077,9.804,0.4948,-10.7936,66.0,0.7480916030534351,340.4183390748258,6.607096095077343,-44.3587786259542,4.731038816078114,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14439.43856201172
181,native_wait_aware_replan,supported_native_episode_loop,-18627.706,15.756,0.5194,-16.7948,66.0,0.7480916030534351,335.9381023076351,6.478577836586228,-44.44274809160305,4.437281860620076,0.07692307692307698,4971.0,2.0,2.0,0.9820137900379085,2.0,0.6682520678808257,-15.663716316223145,15.663716316223145,35247.41447753906
