ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy
0,Warmup,11.1,0.6,35.204,12,0.3382,-5682.752,4086.171,4970,0,36.53,33.32,-60.0,60.0,-1.1434,0.2673,-11.58068561553955,25.625743865966797,3463.032958984375,3449.20068359375,29.83602523803711,-0.46019604802131653,130.41397094726562,62.524269104003906,520.9006958007812,152544.9375,0.1,0.996997594833374,4970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36.52669678537748,33.316584821754674,262,33.09966537983794,41.78979851305485,0.7730000015604702,0.6286168939422512,0.22133269900570207,0.15005040705204678,0.3078,9.9,0.0527,2.991
1,Warmup,8.9,3.0,8.506,12,0.5971,-4718.315,2591.21,4970,0,-1.52,34.0,-60.0,59.67,-0.9494,0.3565,-10.508861541748047,6.861199378967285,543.6940307617188,532.3294067382812,7.186117172241211,-0.846656322479248,4.26619815826416,23.636951446533203,79.79967498779297,31040.38671875,0.1,0.9947730898857117,9940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.515729665104862,34.00305397081459,262,7.21803124484263,8.640629877110843,0.48811126578649,0.6424805054585916,0.21129823820845334,0.14622125633295516,0.4454,10.62,0.0531,2.965
2,Warmup,10.8,0.6,20.143,12,0.6748,-6014.587,4463.704,4969,0,9.88,50.96,-60.0,60.0,-1.2104,0.2145,-14.834856033325195,6.412144660949707,382.3292236328125,371.2360534667969,5.91080379486084,1.2370027303695679,5.060086250305176,29.011383056640625,537.5865478515625,21398.119140625,0.1,0.9921082258224487,14909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.881853061269172,50.95972980310201,262,15.7185418009758,19.48947891436125,0.8212501430516828,0.66785389780688,0.19480706417103896,0.13733903802208122,0.5924,11.62,0.0538,2.892
