check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,sign_p_value,status,noninferiority_margin,order,status_rank,is_noninferiority
native_real_demand_control_score,control_score,native_real_freqhrl,native_real_interval,increase,96,3496.255797954824,2982.947736495579,3988.301337893005,3496.255797954824,2934.585852256747,4027.2998713745774,1.0,2.5243548967072524e-29,supported,,0,0,0
native_real_demand_ep_reward,ep_reward,native_real_freqhrl,native_real_interval,increase,96,3074.891864583333,2560.8985421875,3564.7558065104163,3074.891864583333,2514.685559375,3605.840076302084,0.9791666666666666,1.0097419586828903e-28,supported,,1,0,0
native_real_demand_avg_wait_min,avg_wait_min,native_real_freqhrl,native_real_interval,decrease,96,-0.2304240247576681,-0.2326875116115999,-0.2278727436655249,0.2304240247576681,0.2280109813926666,0.2327318988851443,1.0,2.5243548967072524e-29,supported,,2,0,0
native_real_demand_native_avg_board_wait_min,native_avg_board_wait_min,native_real_freqhrl,native_real_interval,decrease,96,-0.1759628866076593,-0.1776886291247852,-0.1740127512026261,0.1759628866076593,0.1741235226720891,0.1777251790520235,1.0,2.5243548967072524e-29,supported,,3,0,0
native_real_demand_native_alighted_pax,native_alighted_pax,native_real_freqhrl,native_real_interval,increase,96,16.75886846722443,16.57332075143214,16.92272811720712,16.75886846722443,16.58332646270419,16.926636757199535,1.0,2.5243548967072524e-29,supported,,4,0,0
native_real_demand_native_completed_throughput_pax,native_completed_throughput_pax,native_real_freqhrl,native_real_interval,increase,96,16.75886846722443,16.57332075143214,16.92272811720712,16.75886846722443,16.58332646270419,16.926636757199535,1.0,2.5243548967072524e-29,supported,,5,0,0
native_real_demand_LowerLFDrift,LowerLFDrift,native_real_freqhrl,native_real_interval,decrease,96,-0.1726595688291644,-0.1745839006040986,-0.1705954439666294,0.1726595688291644,0.1707038518442566,0.1745964637741943,1.0,2.5243548967072524e-29,supported,,6,0,0
