check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,sign_p_value,status,noninferiority_margin,selector,selector_metric,selector_threshold,stress_subset,order,status_rank,is_noninferiority
native_wait_aware_replan_vs_interval_ep_reward,ep_reward,native_wait_aware_replan,interval_only,increase,512,8.408195515349915,0.1645266149947747,22.12228154302738,8.408195515349915,0.1690504385728715,23.272713168110283,0.5,1.0256025554222473e-59,supported,,,,,,0,0,0
native_wait_aware_replan_vs_interval_avg_wait_min,avg_wait_min,native_wait_aware_replan,interval_only,decrease,512,-0.0091691455434623,-0.0132535043368406,-0.0019820505766151,0.0091691455434623,0.0017508811773081,0.0133068183861062,0.51953125,1.5200584370388338e-76,supported,,,,,,1,0,0
native_wait_aware_replan_vs_interval_score,score,native_wait_aware_replan,interval_only,increase,512,2.6456502421976014,2.3812120423364256,2.9032312972510765,2.6456502421976014,2.393763939993717,2.9256991832464347,0.517578125,1.3529279127895581e-74,supported,,,,,,2,0,0
native_wait_aware_replan_vs_interval_shared_ppo_gate_replans,shared_ppo_gate_replans,native_wait_aware_replan,interval_only,increase,512,0.05859375,0.03515625,0.0859375,0.05859375,0.03515625,0.0859375,0.044921875,2.3841857910156245e-07,supported,,,,,,3,0,0
