seed,scenario,total_reward,reward_mean,wait_proxy,headway_cv,hold_mean,promotion_count,leakage_penalty,UpperHFPower,LowerLFDrift,LowerLFDriftAbs,RawLowerLFDrift,RawLowerLFDriftAbs,plan_smoothness,plan_coeff_abs,wait_low_share,wait_high_share,wait_attr_penalty,wait_board_credit,wait_credit_relief,lower_lf_effect_filter_window,lower_lf_effect_filter_gain,upper_decision_count,promotion_replan_count
101,persistent_shift,-1076.5555402025652,-4.485648084177355,4.1989465171881,0.07097741489055752,7.4367442373326,0,1.0022508290434928,0.0015967469432931504,1.0006540821001997,0.027330485095658028,1.0006540821001997,0.027330485095658028,0.0013319976714641904,7.777057306700187,0.9512666949247074,0.04873330507529251,0.0,0.0,0.0,0,1.0,240,0
131,persistent_shift,-1076.8306290432124,-4.486794287680052,4.199901159672741,0.07098856421658419,7.4430945333616405,0,1.0022543012572915,0.0015585638731605263,1.000695737384131,0.027377458332314617,1.000695737384131,0.027377458332314617,0.0015017450798694306,7.935739722498577,0.9690744168672166,0.030925583132783447,0.0,0.0,0.0,0,1.0,240,0
151,persistent_shift,-1076.1585958523897,-4.483994149384957,4.198704352781048,0.07051530127488972,7.437959266916674,0,1.0022250997673048,0.0015595125530271006,1.0006655872142778,0.027339660253595896,1.0006655872142778,0.027339660253595896,0.0013251335881091129,7.769067349633669,0.9500863015422231,0.04991369845777701,0.0,0.0,0.0,0,1.0,240,0
181,persistent_shift,-1081.882741768965,-4.5078447573706875,4.200183371802582,0.0779562733525896,7.440358584925638,0,1.0022422023469686,0.0015936302155488856,1.0006485721314198,0.02735664094318677,1.0006485721314198,0.02735664094318677,0.0013950535300688456,7.8725962359270305,0.9554652448234985,0.044534755176501586,0.0,0.0,0.0,0,1.0,240,0
211,persistent_shift,-1084.5723911783573,-4.519051629909822,4.198255960446006,0.08232217514146467,7.441970710205789,0,1.002187606005034,0.001582575141317873,1.0006050308637162,0.027366933236965933,1.0006050308637162,0.027366933236965933,0.0013495077566483631,7.815438463961687,0.9612660326642569,0.038733967335743115,0.0,0.0,0.0,0,1.0,240,0
