environment,disturbance_mode,arm,upper_constraint_mode,upper_dual_lr,lower_dual_lr,lower_action_router_mode,lower_action_router_alpha,lower_action_router_strength,lower_action_router_training_schedule,lower_action_router_warmup_fraction,lower_action_router_ramp_fraction,upper_hf_penalty_coef,upper_actor_anchor_coef,lower_actor_anchor_coef,upper_actor_anchor_kl_mean,lower_actor_anchor_kl_mean,replicate_count,baseline_return_mean,candidate_return_mean,return_difference_mean,return_difference_one_sided_lower,return_difference_one_sided_upper,absolute_return_difference_max,exact_return_pass,RewardTraceSHA256_match,ExecutedActionTraceSHA256_match,LatentPolicyTraceSHA256_match,exact_trace_pass,reward_noninferiority_margin,reward_noninferiority_pass,drift_materiality_floor,responsibility_drift_baseline_mean,responsibility_drift_candidate_mean,responsibility_drift_difference_mean,responsibility_drift_difference_one_sided_upper,responsibility_drift_candidate_one_sided_upper,responsibility_drift_required_reduction,responsibility_drift_baseline_material,responsibility_drift_gate_type,responsibility_drift_pass,responsibility_drift_normalized_slack,raw_lower_drift_baseline_mean,raw_lower_drift_candidate_mean,raw_lower_drift_difference_mean,raw_lower_drift_difference_one_sided_upper,raw_lower_drift_candidate_one_sided_upper,raw_lower_drift_required_reduction,raw_lower_drift_baseline_material,raw_lower_drift_gate_type,raw_lower_drift_pass,raw_lower_drift_normalized_slack,latent_lower_drift_mean,upper_hf_rms,upper_hf_rms_one_sided_upper,upper_hf_budget_pass,effective_lower_action_rms_mean,effective_lower_activity_margin_one_sided_lower,effective_lower_activity_pass,router_clip_rate_mean,router_clip_rate_one_sided_upper,router_clip_pass,reconstruction_rms_max,router_reconstruction_rms_max,reconstruction_integrity_pass,function_preserving_pass,upper_transfer_rms_mean,minimum_normalized_safety_slack,condition_gate_pass
Walker2d-v5,standard,conservative_s0025,disabled,0.0,0.0,causal_ema_conservative_transfer,0.04,0.025,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,333.75620179989335,333.75620179989335,0.0,0.0,0.0,0.0,True,True,True,True,True,0.0,True,2.5e-05,0.053775354403625256,0.051500455387753684,-0.002274899015871584,-0.0019537440163767284,nan,0.002688767720181263,True,strict_relative_improvement,False,-0.2733682416251944,0.053775354403625256,0.051500455387753684,-0.002274899015871584,-0.0019546307449221315,nan,0.002688767720181263,True,strict_relative_improvement,False,-0.27303845168508634,0.053775354403625256,0.017841484332889006,0.018725887416294565,True,0.22797740715843,0.15739939381864249,True,0.0,0.0,True,2.026160661123361e-08,0.0,True,True,0.005255295164598123,-0.2733682416251944,False
Walker2d-v5,low_frequency,conservative_s0025,disabled,0.0,0.0,causal_ema_conservative_transfer,0.04,0.025,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,328.0777378367128,328.0777378367128,0.0,0.0,0.0,0.0,True,True,True,True,True,0.0,True,2.5e-05,0.05292447386044431,0.0506942874776916,-0.002230186382752718,-0.0019031030423348973,nan,0.0026462236930222156,True,strict_relative_improvement,False,-0.2808230659588005,0.05292447386044431,0.0506942874776916,-0.002230186382752718,-0.0019022254667868282,nan,0.0026462236930222156,True,strict_relative_improvement,False,-0.28115469912737323,0.05292447386044431,0.018459215504791696,0.019235217203580023,True,0.22606241800749027,0.1557712648536824,True,0.0,0.0,True,2.058103787117686e-08,0.0,True,True,0.0051911260274264195,-0.28115469912737323,False
Walker2d-v5,high_frequency,conservative_s0025,disabled,0.0,0.0,causal_ema_conservative_transfer,0.04,0.025,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,341.0132620420143,341.0132620420143,0.0,0.0,0.0,0.0,True,True,True,True,True,0.0,True,2.5e-05,0.053123475415324556,0.05087173650644462,-0.002251738908879932,-0.001935505560148021,nan,0.002656173770766228,True,strict_relative_improvement,False,-0.2713181714802927,0.053123475415324556,0.05087173650644462,-0.002251738908879932,-0.0019284320780587427,nan,0.002656173770766228,True,strict_relative_improvement,False,-0.27398120586724767,0.053123475415324556,0.017814393710819016,0.01864482622313129,True,0.22644606940148904,0.15638916753240864,True,0.0,0.0,True,2.0684008547416305e-08,0.0,True,True,0.005228014694770377,-0.27398120586724767,False
Walker2d-v5,mixed,conservative_s0025,disabled,0.0,0.0,causal_ema_conservative_transfer,0.04,0.025,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,327.89256647274715,327.89256647274715,0.0,0.0,0.0,0.0,True,True,True,True,True,0.0,True,2.5e-05,0.052774733332940624,0.05055087843240155,-0.002223854900539076,-0.0019052731160107861,nan,0.0026387366666470314,True,strict_relative_improvement,False,-0.27796011625829903,0.052774733332940624,0.05055087843240155,-0.002223854900539076,-0.0018946416524707242,nan,0.0026387366666470314,True,strict_relative_improvement,False,-0.2819891137988422,0.052774733332940624,0.018709376606103383,0.019553170377792084,True,0.22579957109308946,0.15575681284523665,True,0.0,0.0,True,2.1247552780540052e-08,0.0,True,True,0.00518618012937231,-0.2819891137988422,False
Walker2d-v5,ood_chirp,conservative_s0025,disabled,0.0,0.0,causal_ema_conservative_transfer,0.04,0.025,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,324.7085484816264,324.7085484816264,0.0,0.0,0.0,0.0,True,True,True,True,True,0.0,True,2.5e-05,0.05297145784927232,0.050739711530631865,-0.0022317463186404445,-0.0019008626264755955,nan,0.002648572892463616,True,strict_relative_improvement,False,-0.2823068483844992,0.05297145784927232,0.050739711530631865,-0.0022317463186404445,-0.001911815014577869,nan,0.002648572892463616,True,strict_relative_improvement,False,-0.2781716448062107,0.05297145784927232,0.018246816790154673,0.01895544743655826,True,0.2262809103012257,0.1564096740225538,True,0.0,0.0,True,2.0424134299520275e-08,0.0,True,True,0.005197376634687575,-0.2823068483844992,False
HalfCheetah-v5,standard,conservative_s0050,disabled,0.0,0.0,causal_ema_conservative_transfer,0.04,0.05,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,612.3387782905579,612.3387782905579,0.0,0.0,0.0,0.0,True,True,True,True,True,0.0,True,2.5e-05,0.004601744601761293,0.00422154430404406,-0.0003802002977172337,-0.0002855370632642339,nan,0.00023008723008806467,True,strict_relative_improvement,True,0.24099483119921997,0.004601744601761293,0.00422154430404406,-0.0003802002977172337,-0.00028611640923995057,nan,0.00023008723008806467,True,strict_relative_improvement,True,0.2435127717885127,0.004601744601761293,0.08233071670847368,0.08799768866638638,True,0.46110272718420325,0.3235385948523149,True,0.0,0.0,True,1.4694017113240564e-08,0.0,True,True,0.0030149340515222525,0.0,True
HalfCheetah-v5,low_frequency,conservative_s0050,disabled,0.0,0.0,causal_ema_conservative_transfer,0.04,0.05,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,527.0652536400744,527.0652536400744,0.0,0.0,0.0,0.0,True,True,True,True,True,0.0,True,2.5e-05,0.005635590740113458,0.005163819268153718,-0.0004717714719597383,-0.000323769385647924,nan,0.0002817795370056729,True,strict_relative_improvement,True,0.14901667129010052,0.005635590740113458,0.005163819268153718,-0.0004717714719597383,-0.00032125289867830284,nan,0.0002817795370056729,True,strict_relative_improvement,True,0.14008597676074414,0.005635590740113458,0.08010619009988992,0.0855075356465799,True,0.4570422424048064,0.31909755740501416,True,0.0,0.0,True,1.4681352035984948e-08,0.0,True,True,0.0032455047272115,0.0,True
HalfCheetah-v5,high_frequency,conservative_s0050,disabled,0.0,0.0,causal_ema_conservative_transfer,0.04,0.05,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,533.317394584012,533.317394584012,0.0,0.0,0.0,0.0,True,True,True,True,True,0.0,True,2.5e-05,0.004560247182357969,0.004194417167987376,-0.00036583001437059243,-0.00028871274106838775,nan,0.00022801235911789846,True,strict_relative_improvement,True,0.26621531475450816,0.004560247182357969,0.004194417167987376,-0.00036583001437059243,-0.0002877383386557591,nan,0.00022801235911789846,True,strict_relative_improvement,True,0.2619418516124299,0.004560247182357969,0.07962367180271164,0.08429901073507484,True,0.4615564330364822,0.3233637670102891,True,0.0,0.0,True,1.4608082807300882e-08,0.0,True,True,0.003018251332663125,0.0,True
HalfCheetah-v5,mixed,conservative_s0050,disabled,0.0,0.0,causal_ema_conservative_transfer,0.04,0.05,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,518.0166855466032,518.0166855466032,0.0,0.0,0.0,0.0,True,True,True,True,True,0.0,True,2.5e-05,0.005469924830756864,0.005018613561211575,-0.0004513112695452891,-0.0003196983922669837,nan,0.0002734962415378432,True,strict_relative_improvement,True,0.16893157459623662,0.005469924830756864,0.005018613561211575,-0.0004513112695452891,-0.0003181313301676435,nan,0.0002734962415378432,True,strict_relative_improvement,True,0.16320183553098008,0.005469924830756864,0.0782190409556742,0.08284407573636629,True,0.4593762466310897,0.32133630127364254,True,0.0,0.0,True,1.461404844278835e-08,0.0,True,True,0.0032524798973266825,0.0,True
HalfCheetah-v5,ood_chirp,conservative_s0050,disabled,0.0,0.0,causal_ema_conservative_transfer,0.04,0.05,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,531.245885585688,531.245885585688,0.0,0.0,0.0,0.0,True,True,True,True,True,0.0,True,2.5e-05,0.0052914964126223605,0.00485374644685889,-0.000437749965763471,-0.0003051077421986126,nan,0.000264574820631118,True,strict_relative_improvement,True,0.15320022317621598,0.0052914964126223605,0.00485374644685889,-0.000437749965763471,-0.00030870260027880545,nan,0.000264574820631118,True,strict_relative_improvement,True,0.16678752551896214,0.0052914964126223605,0.08169218652466453,0.08750776377132373,True,0.4587704630022975,0.32145017552055843,True,0.0,0.0,True,1.4610019426342726e-08,0.0,True,True,0.003189036643816417,0.0,True
