OBJECTID,Route_Number,Route_Name,Ridership_Total,Route_Hour,Route_Hour_Description,Route_Date
1301,10B,Dalhousie - Micmac Terminal,80,17,5:00pm to 5:29pm,1767434400000
14277,10B,Dalhousie - Micmac Terminal,48,17.5,5:30pm to 5:59pm,1767434400000
1719,10B,Dalhousie - Micmac Terminal,47,18,6:00pm to 6:29pm,1767434400000
1742,10B,Dalhousie - Micmac Terminal,61,18.5,6:30pm to 6:59pm,1767434400000
1764,10B,Dalhousie - Micmac Terminal,47,19,7:00pm to 7:29pm,1767434400000
15292,10B,Dalhousie - Micmac Terminal,32,19.5,7:30pm to 7:59pm,1767434400000
15312,10B,Dalhousie - Micmac Terminal,19,20,8:00pm to 8:29pm,1767434400000
15338,10B,Dalhousie - Micmac Terminal,26,20.5,8:30pm to 8:59pm,1767434400000
15358,10B,Dalhousie - Micmac Terminal,28,21,9:00pm to 9:29pm,1767434400000
2316,10B,Dalhousie - Micmac Terminal,21,21.5,9:30pm to 9:59pm,1767434400000
2336,10B,Dalhousie - Micmac Terminal,43,22,10:00pm to 10:29pm,1767434400000
2637,10B,Dalhousie - Micmac Terminal,10,22.5,10:30pm to 10:59pm,1767434400000
2655,10B,Dalhousie - Micmac Terminal,6,23,11:00pm to 11:29pm,1767434400000
16009,10B,Dalhousie - Micmac Terminal,8,23.5,11:30pm to 11:59pm,1767434400000
16021,10B,Dalhousie - Micmac Terminal,2,24,12:00am to 12:29am,1767434400000
16518,10B,Dalhousie - Micmac Terminal,26,6.5,6:30am to 6:59am,1767520800000
3189,10B,Dalhousie - Micmac Terminal,19,7,7:00am to 7:29am,1767520800000
3208,10B,Dalhousie - Micmac Terminal,11,7.5,7:30am to 7:59am,1767520800000
12899,10B,Dalhousie - Micmac Terminal,23,8,8:00am to 8:29am,1767520800000
13488,10B,Dalhousie - Micmac Terminal,22,8.5,8:30am to 8:59am,1767520800000
13505,10B,Dalhousie - Micmac Terminal,22,9,9:00am to 9:29am,1767520800000
3841,10B,Dalhousie - Micmac Terminal,26,9.5,9:30am to 9:59am,1767520800000
3860,10B,Dalhousie - Micmac Terminal,21,10,10:00am to 10:29am,1767520800000
13561,10B,Dalhousie - Micmac Terminal,44,10.5,10:30am to 10:59am,1767520800000
3897,10B,Dalhousie - Micmac Terminal,55,11,11:00am to 11:29am,1767520800000
14821,10B,Dalhousie - Micmac Terminal,35,11.5,11:30am to 11:59am,1767520800000
4024,10B,Dalhousie - Micmac Terminal,47,12,12:00pm to 12:29pm,1767520800000
14854,10B,Dalhousie - Micmac Terminal,47,12.5,12:30pm to 12:59pm,1767520800000
14865,10B,Dalhousie - Micmac Terminal,52,13,1:00pm to 1:29pm,1767520800000
4092,10B,Dalhousie - Micmac Terminal,71,13.5,1:30pm to 1:59pm,1767520800000
6437,10B,Dalhousie - Micmac Terminal,69,14,2:00pm to 2:29pm,1767520800000
20545,10B,Dalhousie - Micmac Terminal,40,14.5,2:30pm to 2:59pm,1767520800000
6476,10B,Dalhousie - Micmac Terminal,86,15,3:00pm to 3:29pm,1767520800000
20965,10B,Dalhousie - Micmac Terminal,57,15.5,3:30pm to 3:59pm,1767520800000
20983,10B,Dalhousie - Micmac Terminal,69,16,4:00pm to 4:29pm,1767520800000
6813,10B,Dalhousie - Micmac Terminal,65,16.5,4:30pm to 4:59pm,1767520800000
6828,10B,Dalhousie - Micmac Terminal,57,17,5:00pm to 5:29pm,1767520800000
21782,10B,Dalhousie - Micmac Terminal,61,17.5,5:30pm to 5:59pm,1767520800000
21802,10B,Dalhousie - Micmac Terminal,24,18,6:00pm to 6:29pm,1767520800000
7007,10B,Dalhousie - Micmac Terminal,33,18.5,6:30pm to 6:59pm,1767520800000
22122,10B,Dalhousie - Micmac Terminal,25,19,7:00pm to 7:29pm,1767520800000
22145,10B,Dalhousie - Micmac Terminal,21,19.5,7:30pm to 7:59pm,1767520800000
7058,10B,Dalhousie - Micmac Terminal,27,20,8:00pm to 8:29pm,1767520800000
7420,10B,Dalhousie - Micmac Terminal,22,20.5,8:30pm to 8:59pm,1767520800000
7437,10B,Dalhousie - Micmac Terminal,7,21,9:00pm to 9:29pm,1767520800000
7459,10B,Dalhousie - Micmac Terminal,22,21.5,9:30pm to 9:59pm,1767520800000
7847,10B,Dalhousie - Micmac Terminal,19,22,10:00pm to 10:29pm,1767520800000
23010,10B,Dalhousie - Micmac Terminal,19,22.5,10:30pm to 10:59pm,1767520800000
23024,10B,Dalhousie - Micmac Terminal,8,23,11:00pm to 11:29pm,1767520800000
23033,10B,Dalhousie - Micmac Terminal,9,23.5,11:30pm to 11:59pm,1767520800000
7886,10B,Dalhousie - Micmac Terminal,4,24,12:00am to 12:29am,1767520800000
23235,10B,Dalhousie - Micmac Terminal,8,24.5,12:30am to 12:59am,1767520800000
7900,10B,Dalhousie - Micmac Terminal,52,5.5,5:30am to 5:59am,1767607200000
8389,10B,Dalhousie - Micmac Terminal,27,6,6:00am to 6:29am,1767607200000
23855,10B,Dalhousie - Micmac Terminal,40,6.5,6:30am to 6:59am,1767607200000
8467,10B,Dalhousie - Micmac Terminal,62,7,7:00am to 7:29am,1767607200000
20553,10B,Dalhousie - Micmac Terminal,126,7.5,7:30am to 7:59am,1767607200000
8543,10B,Dalhousie - Micmac Terminal,62,8,8:00am to 8:29am,1767607200000
20622,10B,Dalhousie - Micmac Terminal,96,8.5,8:30am to 8:59am,1767607200000
21418,10B,Dalhousie - Micmac Terminal,55,9.5,9:30am to 9:59am,1767607200000
21443,10B,Dalhousie - Micmac Terminal,38,10,10:00am to 10:29am,1767607200000
25966,10B,Dalhousie - Micmac Terminal,24,10.5,10:30am to 10:59am,1767607200000
6851,10B,Dalhousie - Micmac Terminal,64,11,11:00am to 11:29am,1767607200000
26483,10B,Dalhousie - Micmac Terminal,54,11.5,11:30am to 11:59am,1767607200000
27161,10B,Dalhousie - Micmac Terminal,60,12,12:00pm to 12:29pm,1767607200000
27182,10B,Dalhousie - Micmac Terminal,60,12.5,12:30pm to 12:59pm,1767607200000
7398,10B,Dalhousie - Micmac Terminal,64,13,1:00pm to 1:29pm,1767607200000
9206,10B,Dalhousie - Micmac Terminal,111,13.5,1:30pm to 1:59pm,1767607200000
27816,10B,Dalhousie - Micmac Terminal,47,14,2:00pm to 2:29pm,1767607200000
27838,10B,Dalhousie - Micmac Terminal,173,14.5,2:30pm to 2:59pm,1767607200000
10119,10B,Dalhousie - Micmac Terminal,46,15,3:00pm to 3:29pm,1767607200000
10143,10B,Dalhousie - Micmac Terminal,86,15.5,3:30pm to 3:59pm,1767607200000
27850,10B,Dalhousie - Micmac Terminal,90,16,4:00pm to 4:29pm,1767607200000
10969,10B,Dalhousie - Micmac Terminal,147,16.5,4:30pm to 4:59pm,1767607200000
11187,10B,Dalhousie - Micmac Terminal,122,17,5:00pm to 5:29pm,1767607200000
24679,10B,Dalhousie - Micmac Terminal,68,17.5,5:30pm to 5:59pm,1767607200000
25473,10B,Dalhousie - Micmac Terminal,35,18,6:00pm to 6:29pm,1767607200000
25503,10B,Dalhousie - Micmac Terminal,57,18.5,6:30pm to 6:59pm,1767607200000
9106,10B,Dalhousie - Micmac Terminal,34,19,7:00pm to 7:29pm,1767607200000
9133,10B,Dalhousie - Micmac Terminal,30,19.5,7:30pm to 7:59pm,1767607200000
9154,10B,Dalhousie - Micmac Terminal,29,20,8:00pm to 8:29pm,1767607200000
9179,10B,Dalhousie - Micmac Terminal,28,20.5,8:30pm to 8:59pm,1767607200000
26528,10B,Dalhousie - Micmac Terminal,15,21,9:00pm to 9:29pm,1767607200000
9463,10B,Dalhousie - Micmac Terminal,26,21.5,9:30pm to 9:59pm,1767607200000
10596,10B,Dalhousie - Micmac Terminal,57,5.5,5:30am to 5:59am,1767693600000
10895,10B,Dalhousie - Micmac Terminal,38,6,6:00am to 6:29am,1767693600000
28232,10B,Dalhousie - Micmac Terminal,88,6.5,6:30am to 6:59am,1767693600000
11575,10B,Dalhousie - Micmac Terminal,70,7,7:00am to 7:29am,1767693600000
34128,10B,Dalhousie - Micmac Terminal,142,7.5,7:30am to 7:59am,1767693600000
34164,10B,Dalhousie - Micmac Terminal,56,8,8:00am to 8:29am,1767693600000
34381,10B,Dalhousie - Micmac Terminal,96,8.5,8:30am to 8:59am,1767693600000
34812,10B,Dalhousie - Micmac Terminal,57,9.5,9:30am to 9:59am,1767693600000
35291,10B,Dalhousie - Micmac Terminal,51,10,10:00am to 10:29am,1767693600000
35314,10B,Dalhousie - Micmac Terminal,45,10.5,10:30am to 10:59am,1767693600000
35337,10B,Dalhousie - Micmac Terminal,39,11,11:00am to 11:29am,1767693600000
35646,10B,Dalhousie - Micmac Terminal,79,11.5,11:30am to 11:59am,1767693600000
36136,10B,Dalhousie - Micmac Terminal,61,12,12:00pm to 12:29pm,1767693600000
36158,10B,Dalhousie - Micmac Terminal,96,12.5,12:30pm to 12:59pm,1767693600000
12257,10B,Dalhousie - Micmac Terminal,79,13,1:00pm to 1:29pm,1767693600000
36305,10B,Dalhousie - Micmac Terminal,97,13.5,1:30pm to 1:59pm,1767693600000
36699,10B,Dalhousie - Micmac Terminal,57,14,2:00pm to 2:29pm,1767693600000
12700,10B,Dalhousie - Micmac Terminal,178,14.5,2:30pm to 2:59pm,1767693600000
12725,10B,Dalhousie - Micmac Terminal,98,15,3:00pm to 3:29pm,1767693600000
37996,10B,Dalhousie - Micmac Terminal,145,15.5,3:30pm to 3:59pm,1767693600000
13080,10B,Dalhousie - Micmac Terminal,82,16,4:00pm to 4:29pm,1767693600000
38065,10B,Dalhousie - Micmac Terminal,154,16.5,4:30pm to 4:59pm,1767693600000
38946,10B,Dalhousie - Micmac Terminal,52,17,5:00pm to 5:29pm,1767693600000
34100,10B,Dalhousie - Micmac Terminal,123,17.5,5:30pm to 5:59pm,1767693600000
34417,10B,Dalhousie - Micmac Terminal,23,18,6:00pm to 6:29pm,1767693600000
14102,10B,Dalhousie - Micmac Terminal,50,18.5,6:30pm to 6:59pm,1767693600000
34755,10B,Dalhousie - Micmac Terminal,32,19,7:00pm to 7:29pm,1767693600000
34781,10B,Dalhousie - Micmac Terminal,45,19.5,7:30pm to 7:59pm,1767693600000
35372,10B,Dalhousie - Micmac Terminal,30,20,8:00pm to 8:29pm,1767693600000
35580,10B,Dalhousie - Micmac Terminal,29,20.5,8:30pm to 8:59pm,1767693600000
35600,10B,Dalhousie - Micmac Terminal,17,21,9:00pm to 9:29pm,1767693600000
35621,10B,Dalhousie - Micmac Terminal,18,21.5,9:30pm to 9:59pm,1767693600000
15726,10B,Dalhousie - Micmac Terminal,57,5.5,5:30am to 5:59am,1767780000000
36975,10B,Dalhousie - Micmac Terminal,23,6,6:00am to 6:29am,1767780000000
37008,10B,Dalhousie - Micmac Terminal,68,6.5,6:30am to 6:59am,1767780000000
37042,10B,Dalhousie - Micmac Terminal,71,7,7:00am to 7:29am,1767780000000
16414,10B,Dalhousie - Micmac Terminal,124,7.5,7:30am to 7:59am,1767780000000
38608,10B,Dalhousie - Micmac Terminal,76,8,8:00am to 8:29am,1767780000000
38923,10B,Dalhousie - Micmac Terminal,106,8.5,8:30am to 8:59am,1767780000000
16996,10B,Dalhousie - Micmac Terminal,63,9.5,9:30am to 9:59am,1767780000000
17762,10B,Dalhousie - Micmac Terminal,40,10,10:00am to 10:29am,1767780000000
39674,10B,Dalhousie - Micmac Terminal,67,10.5,10:30am to 10:59am,1767780000000
39801,10B,Dalhousie - Micmac Terminal,66,11,11:00am to 11:29am,1767780000000
39822,10B,Dalhousie - Micmac Terminal,95,11.5,11:30am to 11:59am,1767780000000
18164,10B,Dalhousie - Micmac Terminal,73,12,12:00pm to 12:29pm,1767780000000
18188,10B,Dalhousie - Micmac Terminal,83,12.5,12:30pm to 12:59pm,1767780000000
18865,10B,Dalhousie - Micmac Terminal,50,13,1:00pm to 1:29pm,1767780000000
19350,10B,Dalhousie - Micmac Terminal,116,13.5,1:30pm to 1:59pm,1767780000000
40866,10B,Dalhousie - Micmac Terminal,78,14,2:00pm to 2:29pm,1767780000000
40886,10B,Dalhousie - Micmac Terminal,234,14.5,2:30pm to 2:59pm,1767780000000
40908,10B,Dalhousie - Micmac Terminal,87,15,3:00pm to 3:29pm,1767780000000
41879,10B,Dalhousie - Micmac Terminal,218,15.5,3:30pm to 3:59pm,1767780000000
41917,10B,Dalhousie - Micmac Terminal,79,16,4:00pm to 4:29pm,1767780000000
42242,10B,Dalhousie - Micmac Terminal,128,16.5,4:30pm to 4:59pm,1767780000000
21279,10B,Dalhousie - Micmac Terminal,101,17,5:00pm to 5:29pm,1767780000000
21681,10B,Dalhousie - Micmac Terminal,112,17.5,5:30pm to 5:59pm,1767780000000
43192,10B,Dalhousie - Micmac Terminal,17,18,6:00pm to 6:29pm,1767780000000
18193,10B,Dalhousie - Micmac Terminal,42,18.5,6:30pm to 6:59pm,1767780000000
18219,10B,Dalhousie - Micmac Terminal,12,19,7:00pm to 7:29pm,1767780000000
18800,10B,Dalhousie - Micmac Terminal,35,19.5,7:30pm to 7:59pm,1767780000000
43659,10B,Dalhousie - Micmac Terminal,29,20,8:00pm to 8:29pm,1767780000000
43683,10B,Dalhousie - Micmac Terminal,39,20.5,8:30pm to 8:59pm,1767780000000
43704,10B,Dalhousie - Micmac Terminal,25,21,9:00pm to 9:29pm,1767780000000
20003,10B,Dalhousie - Micmac Terminal,19,21.5,9:30pm to 9:59pm,1767780000000
1592,10C,Dalhousie,6,5.5,5:30am to 5:59am,1767261600000
1597,10C,Dalhousie,37,6,6:00am to 6:29am,1767261600000
28581,10C,Dalhousie,12,6.5,6:30am to 6:59am,1767261600000
1622,10C,Dalhousie,17,7,7:00am to 7:29am,1767261600000
29075,10C,Dalhousie,18,7.5,7:30am to 7:59am,1767261600000
29093,10C,Dalhousie,12,8,8:00am to 8:29am,1767261600000
1671,10C,Dalhousie,24,8.5,8:30am to 8:59am,1767261600000
29141,10C,Dalhousie,21,9,9:00am to 9:29am,1767261600000
29733,10C,Dalhousie,29,9.5,9:30am to 9:59am,1767261600000
29754,10C,Dalhousie,26,10,10:00am to 10:29am,1767261600000
29776,10C,Dalhousie,31,10.5,10:30am to 10:59am,1767261600000
17447,10C,Dalhousie,33,11,11:00am to 11:29am,1767261600000
17468,10C,Dalhousie,36,11.5,11:30am to 11:59am,1767261600000
17612,10C,Dalhousie,36,12,12:00pm to 12:29pm,1767261600000
30605,10C,Dalhousie,22,12.5,12:30pm to 12:59pm,1767261600000
17648,10C,Dalhousie,31,13,1:00pm to 1:29pm,1767261600000
18977,10C,Dalhousie,30,13.5,1:30pm to 1:59pm,1767261600000
31595,10C,Dalhousie,50,14,2:00pm to 2:29pm,1767261600000
19015,10C,Dalhousie,60,14.5,2:30pm to 2:59pm,1767261600000
19032,10C,Dalhousie,62,15,3:00pm to 3:29pm,1767261600000
19611,10C,Dalhousie,55,15.5,3:30pm to 3:59pm,1767261600000
19630,10C,Dalhousie,43,16,4:00pm to 4:29pm,1767261600000
32150,10C,Dalhousie,43,16.5,4:30pm to 4:59pm,1767261600000
31086,10C,Dalhousie,48,17,5:00pm to 5:29pm,1767261600000
17491,10C,Dalhousie,26,17.5,5:30pm to 5:59pm,1767261600000
17507,10C,Dalhousie,26,18,6:00pm to 6:29pm,1767261600000
32700,10C,Dalhousie,7,18.5,6:30pm to 6:59pm,1767261600000
32714,10C,Dalhousie,29,19,7:00pm to 7:29pm,1767261600000
17564,10C,Dalhousie,19,19.5,7:30pm to 7:59pm,1767261600000
17579,10C,Dalhousie,23,20,8:00pm to 8:29pm,1767261600000
33061,10C,Dalhousie,21,20.5,8:30pm to 8:59pm,1767261600000
33074,10C,Dalhousie,29,21,9:00pm to 9:29pm,1767261600000
33091,10C,Dalhousie,15,21.5,9:30pm to 9:59pm,1767261600000
33108,10C,Dalhousie,23,22,10:00pm to 10:29pm,1767261600000
33313,10C,Dalhousie,18,22.5,10:30pm to 10:59pm,1767261600000
18949,10C,Dalhousie,17,23,11:00pm to 11:29pm,1767261600000
18964,10C,Dalhousie,0,23.5,11:30pm to 11:59pm,1767261600000
33804,10C,Dalhousie,20,5,5:00am to 5:29am,1767348000000
19645,10C,Dalhousie,34,5.5,5:30am to 5:59am,1767348000000
33835,10C,Dalhousie,62,6,6:00am to 6:29am,1767348000000
31026,10C,Dalhousie,31,6.5,6:30am to 6:59am,1767348000000
34654,10C,Dalhousie,68,7,7:00am to 7:29am,1767348000000
32438,10C,Dalhousie,37,7.5,7:30am to 7:59am,1767348000000
32766,10C,Dalhousie,98,8,8:00am to 8:29am,1767348000000
32992,10C,Dalhousie,36,8.5,8:30am to 8:59am,1767348000000
44125,10C,Dalhousie,57,9,9:00am to 9:29am,1767348000000
33134,10C,Dalhousie,77,9.5,9:30am to 9:59am,1767348000000
44178,10C,Dalhousie,51,10,10:00am to 10:29am,1767348000000
44657,10C,Dalhousie,56,10.5,10:30am to 10:59am,1767348000000
33292,10C,Dalhousie,61,11,11:00am to 11:29am,1767348000000
44707,10C,Dalhousie,52,11.5,11:30am to 11:59am,1767348000000
34173,10C,Dalhousie,76,12,12:00pm to 12:29pm,1767348000000
34195,10C,Dalhousie,72,12.5,12:30pm to 12:59pm,1767348000000
34212,10C,Dalhousie,96,13,1:00pm to 1:29pm,1767348000000
47882,10C,Dalhousie,72,13.5,1:30pm to 1:59pm,1767348000000
212,10C,Dalhousie,122,14,2:00pm to 2:29pm,1767348000000
47919,10C,Dalhousie,81,14.5,2:30pm to 2:59pm,1767348000000
264,10C,Dalhousie,124,15,3:00pm to 3:29pm,1767348000000
954,10C,Dalhousie,92,15.5,3:30pm to 3:59pm,1767348000000
993,10C,Dalhousie,149,16,4:00pm to 4:29pm,1767348000000
1504,10C,Dalhousie,30,16.5,4:30pm to 4:59pm,1767348000000
62691,10C,Dalhousie,149,17,5:00pm to 5:29pm,1767348000000
2539,10C,Dalhousie,31,17.5,5:30pm to 5:59pm,1767348000000
3051,10C,Dalhousie,75,18,6:00pm to 6:29pm,1767348000000
3645,10C,Dalhousie,97,18.5,6:30pm to 6:59pm,1767348000000
47175,10C,Dalhousie,55,19,7:00pm to 7:29pm,1767348000000
4167,10C,Dalhousie,35,19.5,7:30pm to 7:59pm,1767348000000
47961,10C,Dalhousie,8,20,8:00pm to 8:29pm,1767348000000
4204,10C,Dalhousie,45,20.5,8:30pm to 8:59pm,1767348000000
4604,10C,Dalhousie,49,21,9:00pm to 9:29pm,1767348000000
8287,10C,Dalhousie,34,21.5,9:30pm to 9:59pm,1767348000000
48026,10C,Dalhousie,57,22,10:00pm to 10:29pm,1767348000000
61628,10C,Dalhousie,26,22.5,10:30pm to 10:59pm,1767348000000
9747,10C,Dalhousie,21,23,11:00pm to 11:29pm,1767348000000
9763,10C,Dalhousie,17,23.5,11:30pm to 11:59pm,1767348000000
9773,10C,Dalhousie,17,24,12:00am to 12:29am,1767348000000
9786,10C,Dalhousie,0,24.5,12:30am to 12:59am,1767348000000
61978,10C,Dalhousie,7,5.5,5:30am to 5:59am,1767434400000
9802,10C,Dalhousie,29,6,6:00am to 6:29am,1767434400000
61998,10C,Dalhousie,31,6.5,6:30am to 6:59am,1767434400000
62853,10C,Dalhousie,21,7,7:00am to 7:29am,1767434400000
62876,10C,Dalhousie,23,7.5,7:30am to 7:59am,1767434400000
62895,10C,Dalhousie,40,8,8:00am to 8:29am,1767434400000
10835,10C,Dalhousie,43,8.5,8:30am to 8:59am,1767434400000
10854,10C,Dalhousie,47,9,9:00am to 9:29am,1767434400000
10877,10C,Dalhousie,50,9.5,9:30am to 9:59am,1767434400000
11079,10C,Dalhousie,63,10,10:00am to 10:29am,1767434400000
90,10C,Dalhousie,72,10.5,10:30am to 10:59am,1767434400000
299,10C,Dalhousie,59,11,11:00am to 11:29am,1767434400000
317,10C,Dalhousie,51,11.5,11:30am to 11:59am,1767434400000
331,10C,Dalhousie,81,12,12:00pm to 12:29pm,1767434400000
11746,10C,Dalhousie,92,12.5,12:30pm to 12:59pm,1767434400000
566,10C,Dalhousie,83,13,1:00pm to 1:29pm,1767434400000
11778,10C,Dalhousie,96,13.5,1:30pm to 1:59pm,1767434400000
13111,10C,Dalhousie,82,14,2:00pm to 2:29pm,1767434400000
638,10C,Dalhousie,85,14.5,2:30pm to 2:59pm,1767434400000
13146,10C,Dalhousie,135,15,3:00pm to 3:29pm,1767434400000
1242,10C,Dalhousie,108,15.5,3:30pm to 3:59pm,1767434400000
13181,10C,Dalhousie,122,16,4:00pm to 4:29pm,1767434400000
13198,10C,Dalhousie,130,16.5,4:30pm to 4:59pm,1767434400000
14254,10C,Dalhousie,101,17,5:00pm to 5:29pm,1767434400000
1693,10C,Dalhousie,75,17.5,5:30pm to 5:59pm,1767434400000
14291,10C,Dalhousie,86,18,6:00pm to 6:29pm,1767434400000
1743,10C,Dalhousie,87,18.5,6:30pm to 6:59pm,1767434400000
1765,10C,Dalhousie,67,19,7:00pm to 7:29pm,1767434400000
15293,10C,Dalhousie,11,19.5,7:30pm to 7:59pm,1767434400000
2267,10C,Dalhousie,48,20,8:00pm to 8:29pm,1767434400000
2300,10C,Dalhousie,90,21,9:00pm to 9:29pm,1767434400000
2317,10C,Dalhousie,25,21.5,9:30pm to 9:59pm,1767434400000
15501,10C,Dalhousie,28,22,10:00pm to 10:29pm,1767434400000
15519,10C,Dalhousie,18,22.5,10:30pm to 10:59pm,1767434400000
15996,10C,Dalhousie,15,23,11:00pm to 11:29pm,1767434400000
2670,10C,Dalhousie,7,23.5,11:30pm to 11:59pm,1767434400000
16022,10C,Dalhousie,19,24,12:00am to 12:29am,1767434400000
2688,10C,Dalhousie,0,24.5,12:30am to 12:59am,1767434400000
16034,10C,Dalhousie,11,5.5,5:30am to 5:59am,1767520800000
2701,10C,Dalhousie,43,6,6:00am to 6:29am,1767520800000
3178,10C,Dalhousie,14,6.5,6:30am to 6:59am,1767520800000
3190,10C,Dalhousie,18,7,7:00am to 7:29am,1767520800000
17015,10C,Dalhousie,29,7.5,7:30am to 7:59am,1767520800000
12900,10C,Dalhousie,36,8,8:00am to 8:29am,1767520800000
13489,10C,Dalhousie,23,8.5,8:30am to 8:59am,1767520800000
3259,10C,Dalhousie,44,9,9:00am to 9:29am,1767520800000
13528,10C,Dalhousie,30,9.5,9:30am to 9:59am,1767520800000
3861,10C,Dalhousie,38,10,10:00am to 10:29am,1767520800000
3883,10C,Dalhousie,66,10.5,10:30am to 10:59am,1767520800000
14236,10C,Dalhousie,72,11,11:00am to 11:29am,1767520800000
3915,10C,Dalhousie,69,11.5,11:30am to 11:59am,1767520800000
4025,10C,Dalhousie,78,12,12:00pm to 12:29pm,1767520800000
4052,10C,Dalhousie,59,12.5,12:30pm to 12:59pm,1767520800000
14866,10C,Dalhousie,101,13,1:00pm to 1:29pm,1767520800000
20140,10C,Dalhousie,90,13.5,1:30pm to 1:59pm,1767520800000
20154,10C,Dalhousie,74,14,2:00pm to 2:29pm,1767520800000
6459,10C,Dalhousie,74,14.5,2:30pm to 2:59pm,1767520800000
6477,10C,Dalhousie,69,15,3:00pm to 3:29pm,1767520800000
6491,10C,Dalhousie,116,15.5,3:30pm to 3:59pm,1767520800000
6507,10C,Dalhousie,98,16,4:00pm to 4:29pm,1767520800000
20998,10C,Dalhousie,108,16.5,4:30pm to 4:59pm,1767520800000
6829,10C,Dalhousie,66,17,5:00pm to 5:29pm,1767520800000
21783,10C,Dalhousie,80,17.5,5:30pm to 5:59pm,1767520800000
6897,10C,Dalhousie,69,18,6:00pm to 6:29pm,1767520800000
21828,10C,Dalhousie,24,18.5,6:30pm to 6:59pm,1767520800000
7022,10C,Dalhousie,50,19,7:00pm to 7:29pm,1767520800000
22146,10C,Dalhousie,29,19.5,7:30pm to 7:59pm,1767520800000
22261,10C,Dalhousie,25,20,8:00pm to 8:29pm,1767520800000
22285,10C,Dalhousie,24,20.5,8:30pm to 8:59pm,1767520800000
22300,10C,Dalhousie,27,21,9:00pm to 9:29pm,1767520800000
7460,10C,Dalhousie,18,21.5,9:30pm to 9:59pm,1767520800000
7848,10C,Dalhousie,32,22,10:00pm to 10:29pm,1767520800000
23011,10C,Dalhousie,12,22.5,10:30pm to 10:59pm,1767520800000
7870,10C,Dalhousie,24,23,11:00pm to 11:29pm,1767520800000
7882,10C,Dalhousie,0,23.5,11:30pm to 11:59pm,1767520800000
23237,10C,Dalhousie,30,5,5:00am to 5:29am,1767607200000
7901,10C,Dalhousie,54,5.5,5:30am to 5:59am,1767607200000
8390,10C,Dalhousie,95,6,6:00am to 6:29am,1767607200000
23856,10C,Dalhousie,75,6.5,6:30am to 6:59am,1767607200000
24174,10C,Dalhousie,150,7,7:00am to 7:29am,1767607200000
20554,10C,Dalhousie,114,7.5,7:30am to 7:59am,1767607200000
20593,10C,Dalhousie,170,8,8:00am to 8:29am,1767607200000
8767,10C,Dalhousie,49,8.5,8:30am to 8:59am,1767607200000
8792,10C,Dalhousie,60,9,9:00am to 9:29am,1767607200000
8816,10C,Dalhousie,80,9.5,9:30am to 9:59am,1767607200000
9058,10C,Dalhousie,62,10,10:00am to 10:29am,1767607200000
25967,10C,Dalhousie,81,10.5,10:30am to 10:59am,1767607200000
25988,10C,Dalhousie,80,11,11:00am to 11:29am,1767607200000
6865,10C,Dalhousie,143,11.5,11:30am to 11:59am,1767607200000
27162,10C,Dalhousie,103,12,12:00pm to 12:29pm,1767607200000
27183,10C,Dalhousie,83,12.5,12:30pm to 12:59pm,1767607200000
7399,10C,Dalhousie,97,13,1:00pm to 1:29pm,1767607200000
9207,10C,Dalhousie,22,13.5,1:30pm to 1:59pm,1767607200000
27817,10C,Dalhousie,78,14,2:00pm to 2:29pm,1767607200000
27839,10C,Dalhousie,48,14.5,2:30pm to 2:59pm,1767607200000
22993,10C,Dalhousie,200,15,3:00pm to 3:29pm,1767607200000
10144,10C,Dalhousie,177,15.5,3:30pm to 3:59pm,1767607200000
27851,10C,Dalhousie,220,16,4:00pm to 4:29pm,1767607200000
10970,10C,Dalhousie,117,16.5,4:30pm to 4:59pm,1767607200000
28682,10C,Dalhousie,122,17,5:00pm to 5:29pm,1767607200000
11229,10C,Dalhousie,63,17.5,5:30pm to 5:59pm,1767607200000
11258,10C,Dalhousie,67,18,6:00pm to 6:29pm,1767607200000
9039,10C,Dalhousie,81,18.5,6:30pm to 6:59pm,1767607200000
9107,10C,Dalhousie,76,19,7:00pm to 7:29pm,1767607200000
9134,10C,Dalhousie,30,19.5,7:30pm to 7:59pm,1767607200000
9155,10C,Dalhousie,45,20,8:00pm to 8:29pm,1767607200000
26512,10C,Dalhousie,56,20.5,8:30pm to 8:59pm,1767607200000
9444,10C,Dalhousie,76,21,9:00pm to 9:29pm,1767607200000
26551,10C,Dalhousie,49,21.5,9:30pm to 9:59pm,1767607200000
27128,10C,Dalhousie,65,22,10:00pm to 10:29pm,1767607200000
9498,10C,Dalhousie,36,22.5,10:30pm to 10:59pm,1767607200000
27638,10C,Dalhousie,27,23,11:00pm to 11:29pm,1767607200000
27653,10C,Dalhousie,19,23.5,11:30pm to 11:59pm,1767607200000
27663,10C,Dalhousie,13,24,12:00am to 12:29am,1767607200000
10584,10C,Dalhousie,0,24.5,12:30am to 12:59am,1767607200000
27781,10C,Dalhousie,28,5,5:00am to 5:29am,1767693600000
27788,10C,Dalhousie,48,5.5,5:30am to 5:59am,1767693600000
28197,10C,Dalhousie,127,6,6:00am to 6:29am,1767693600000
28233,10C,Dalhousie,78,6.5,6:30am to 6:59am,1767693600000
32971,10C,Dalhousie,202,7,7:00am to 7:29am,1767693600000
11607,10C,Dalhousie,103,7.5,7:30am to 7:59am,1767693600000
11647,10C,Dalhousie,204,8,8:00am to 8:29am,1767693600000
34382,10C,Dalhousie,73,8.5,8:30am to 8:59am,1767693600000
