scenario,baseline,n,total_return_mean,total_return_std,mean_reward_mean,mean_reward_std,base_mean_reward_mean,base_mean_reward_std,leakage_reward_penalty_mean,leakage_reward_penalty_std,leakage_reward_penalty_total_mean,leakage_reward_penalty_total_std,sharpe_mean,sharpe_std,sortino_mean,sortino_std,max_drawdown_mean,max_drawdown_std,calmar_mean,calmar_std,turnover_mean,turnover_std,transaction_cost_mean,transaction_cost_std,inventory_drift_mean_mean,inventory_drift_mean_std,post_shift_mean_pnl_mean,post_shift_mean_pnl_std,post_shift_cum_pnl_120_mean,post_shift_cum_pnl_120_std,recovery_cost_120_mean,recovery_cost_120_std,promotion_count_mean,promotion_count_std,promotion_delay_mean,promotion_delay_std,PromotionDelay_mean,PromotionDelay_std,ShockResponseTime_mean,ShockResponseTime_std,regime_promotion_accuracy_mean,regime_promotion_accuracy_std,regime_promotion_precision_mean,regime_promotion_precision_std,regime_promotion_recall_mean,regime_promotion_recall_std,UpperHFPower_mean,UpperHFPower_std,LowerLFDrift_mean,LowerLFDrift_std,FocusScore_mean,FocusScore_std,freq_attr_n_mean,freq_attr_n_std,freq_attr_high_component_pnl_mean,freq_attr_high_component_pnl_std,freq_attr_high_component_pnl_total_mean,freq_attr_high_component_pnl_total_std,freq_attr_high_frequency_cost_mean,freq_attr_high_frequency_cost_std,freq_attr_high_frequency_cost_total_mean,freq_attr_high_frequency_cost_total_std,freq_attr_leakage_cost_mean,freq_attr_leakage_cost_std,freq_attr_leakage_cost_total_mean,freq_attr_leakage_cost_total_std,freq_attr_low_component_pnl_mean,freq_attr_low_component_pnl_std,freq_attr_low_component_pnl_total_mean,freq_attr_low_component_pnl_total_std,freq_attr_low_frequency_cost_mean,freq_attr_low_frequency_cost_std,freq_attr_low_frequency_cost_total_mean,freq_attr_low_frequency_cost_total_std,freq_attr_lower_credit_mean,freq_attr_lower_credit_std,freq_attr_lower_credit_total_mean,freq_attr_lower_credit_total_std,freq_attr_promotion_adaptation_cost_mean,freq_attr_promotion_adaptation_cost_std,freq_attr_promotion_adaptation_cost_total_mean,freq_attr_promotion_adaptation_cost_total_std,freq_attr_task_reward_mean,freq_attr_task_reward_std,freq_attr_task_reward_total_mean,freq_attr_task_reward_total_std,freq_attr_upper_credit_mean,freq_attr_upper_credit_std,freq_attr_upper_credit_total_mean,freq_attr_upper_credit_total_std
localized_burst,vanilla_rl,5,-0.8480112515001961,0.006410970147943876,-0.002645424186010754,5.8688485855748304e-05,-0.002622208305016608,5.840951235431894e-05,2.3215880994146193e-05,8.362613395286989e-07,0.01671543431578526,0.000602108164460663,-50.51481073067455,1.7984775547611223,-51.64058716995886,1.9209921864554595,0.8475742069057993,0.0064847419700401225,-1.0005163389701694,9.821471183192223e-05,338.81102695062356,6.879489739120366,2.0328661617037413,0.04127693843472223,0.004389383710114552,0.0001268628671868758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0017857142857142857,0.0035714285714285713,0.5,0.0,0.0,0.0,0.0,0.0,0.4487569361434004,0.011266811287911125,0.007659087257130759,0.0006953566399855902,-0.016888589417975195,0.009359243409488785,720.0,0.0,1.013926037349529e-05,8.580568542142252e-06,0.0073002674689166104,0.0061780093503424225,0.0029800686504507555,5.6461008021869925e-05,2.145649428324544,0.040651925775746355,2.3215880994146193e-05,8.362613395286989e-07,0.01671543431578526,0.000602108164460663,0.0001998564266186556,2.4274610220525397e-06,0.143896627165432,0.0017477719358778285,6.979592014984967e-06,3.290397718635436e-06,0.005025306250789176,0.002369086357417514,-0.0029916765909478284,5.6603902296219335e-05,-2.154007145482437,0.04075480965327794,0.0,0.0,0.0,0.0,-0.002622208305016608,5.840951235431894e-05,-1.8879899796119577,0.04205484889510967,-1.8587532512058063e-05,3.0829376360273053e-06,-0.013383023408681808,0.002219715097939659
localized_burst,hrl_raw,5,-0.6816681276831471,0.00723106793786954,-0.0016438479120089301,3.26367695010009e-05,-0.001620158175868394,3.231134542663011e-05,2.3689736140536172e-05,8.488869672640401e-07,0.017056610021186042,0.0006111986164301088,-47.064937342987896,1.145971941699655,-49.476224439073285,1.3971422975664822,0.6810598649766748,0.007326559048826811,-1.0008947167153326,0.00015785684301850312,215.47856919934253,3.6598355774020366,1.292871415196055,0.021959013464412164,0.015833014408395955,0.00036001716701294315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0012987012987012987,0.0025974025974025974,0.5,0.0,0.0,0.0,0.0,0.0,0.4487569361434004,0.011266811287911125,0.012909966629004847,0.0009509610459483032,-0.018644900303692112,0.006738259223996091,720.0,0.0,7.848544755388632e-06,8.66212229591166e-06,0.005650952223879814,0.006236728053056394,0.0019622719483886925,3.0799589830816514e-05,1.4128358028398584,0.022175704678187927,2.3689736140536172e-05,8.488869672640401e-07,0.017056610021186042,0.0006111986164301088,0.00019931405152086345,2.4248015195886313e-06,0.14350611709502165,0.0017458570941038154,4.4372879281177834e-06,3.4034524667048676e-06,0.003194847308244804,0.002450485776027505,-0.0019741168164589605,3.0964758573475475e-05,-1.4213641078504515,0.022294626172902295,0.0,0.0,0.0,0.0,-0.001620158175868394,3.231134542663011e-05,-1.1665138866252438,0.02326416870717372,-1.6282155998385865e-05,3.1598379393373947e-06,-0.011723152318837823,0.0022750833163229242
localized_burst,raw_history,5,-0.014997681346958447,0.01133368263570723,-4.4470354796045685e-05,1.4801308985098056e-05,-2.1928126522545442e-05,1.601217729924146e-05,2.2542228273500236e-05,1.5487095893580303e-06,0.01623040435692017,0.0011150709043377819,-1.3207515368197305,0.9960381311538477,-1.9940506743723283,1.4684650512996191,0.030622334999910517,0.005625100306327486,-0.45351985614171947,0.3023966974837568,28.248548549257936,0.9433973336906631,0.16949129129554766,0.005660384002143984,0.0004681225566651803,3.988560846428437e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.3224255301502493,0.28798970154870696,0.5,0.0,0.0,0.0,0.0,0.0,0.02440497194236168,0.0016052986834693922,0.3791776696817418,0.017012437340265297,0.16369515223536968,0.0345854229057244,720.0,0.0,-1.918436913557898e-06,1.1364723254418232e-05,-0.0013812745777616868,0.008182600743181128,0.0003786107912444379,1.5458366708296267e-05,0.2725997696959953,0.011130024029973304,2.2542228273500236e-05,1.5487095893580303e-06,0.01623040435692017,0.0011150709043377819,0.00021633112674815895,6.293712301864273e-06,0.15575841125867446,0.004531472857342281,3.6687547545941016e-06,3.099401179433048e-06,0.0026415034233077533,0.0022315688491917948,-0.00038988190538118806,1.5057236720586052e-05,-0.2807149718744554,0.010841210438821969,0.0,0.0,0.0,0.0,-2.1928126522545442e-05,1.601217729924146e-05,-0.01578825109623272,0.01152876765545385,-1.493986889134422e-05,2.902166615163117e-06,-0.010756705601767839,0.0020895599629174445
localized_burst,freq_single_policy,5,-0.2279358822260556,0.007365437062765001,-0.00037409405755857986,1.3759428020587328e-05,-0.0003606811679658488,1.3281149124463736e-05,1.3412889592731049e-05,5.452784881390916e-07,0.009657280506766355,0.0003926005114601459,-18.056884018692415,0.6310354435428205,-24.285071308640795,0.5738787870041323,0.2259344499954631,0.0071639891024136435,-1.0088401106885996,0.001261206572484216,72.87855185621541,1.437655060464509,0.43727131113729245,0.008625930362787073,0.0007683401904963458,2.2467036933559957e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.05571482824291814,0.04526940930971058,0.5,0.0,0.0,0.0,0.0,0.0,0.08353576654109199,0.004150380746515858,0.11981019091774785,0.0041110357036248015,-0.18535083242372832,0.06058290249562691,720.0,0.0,2.920561233996214e-06,1.2254988377213042e-05,0.0021028040884772735,0.00882359163159339,0.0007608219985925804,1.376963227611374e-05,0.5477918389866578,0.009914135238801894,1.3412889592731049e-05,5.452784881390916e-07,0.009657280506766355,0.0003926005114601459,0.00024525621664960945,4.139184684511809e-06,0.17658447598771881,0.0029802129728485035,3.8687643561278715e-06,4.317481947222882e-06,0.002785510336412067,0.003108587002000475,-0.000767528443388946,1.3987983135375207e-05,-0.5526204792400411,0.010071347857470157,0.0,0.0,0.0,0.0,-0.0003606811679658488,1.3281149124463736e-05,-0.25969044093541116,0.009562427369613888,-1.0575209152493394e-05,4.2661812709436895e-06,-0.007614150589795243,0.0030716505150794565
localized_burst,lf_upper_only,5,0.015604967708663686,0.01345778736160941,-7.245731376579298e-05,1.6401263135811962e-05,2.1360249104572895e-05,1.8458718580178462e-05,9.381756287036586e-05,2.5592404037992037e-06,0.06754864526666342,0.0018426530907354282,1.8769798296369054,1.8699920717309635,2.6731482033980085,2.5772616746422528,0.009009462050702365,0.0027133415357003064,1.9745634317056548,1.9842565763471043,5.550445033550371,0.2600993693643906,0.03330267020130223,0.0015605962161863423,2.9982335195721133e-05,7.675229291123035e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,17.913659640905543,15.202379796370021,0.5,0.0,0.0,0.0,0.0,0.0,0.0021353936400135025,0.0011472884663458107,1.7384107675516263,0.08493145756381736,1.1104602308094589,0.05322778632724104,720.0,0.0,6.721874987970153e-07,7.799735840374098e-06,0.0004839749991338507,0.005615809805069349,0.00013326943614100478,1.7694142647276465e-05,0.09595399402152345,0.012739782706039057,9.381756287036586e-05,2.5592404037992037e-06,0.06754864526666342,0.0018426530907354282,6.700173488908707e-05,1.6104681537460596e-05,0.048241249120142694,0.01159537070697163,8.65526326374759e-06,5.627291547459163e-06,0.006231789549898265,0.004051649914170598,-0.00018017821757618772,1.8787024406258767e-05,-0.12972831665485515,0.01352665757250631,0.0,0.0,0.0,0.0,2.1360249104572895e-05,1.8458718580178462e-05,0.015379379355292483,0.013290277377728492,-5.556404469893053e-05,6.387239500047658e-06,-0.040006112183229976,0.0045988124400343135
localized_burst,hf_lower_only,5,-0.017783018908592775,0.004125939913915109,-7.108940775174469e-05,5.727665270793118e-06,-3.1195096831166005e-05,6.084353646561223e-06,3.9894310920578686e-05,8.188808461263283e-07,0.028723903862816653,0.0005895942092109572,-7.732803070141422,1.8336117843853657,-11.36012691144779,2.3477738373042936,0.018270526029595023,0.0034792759432656795,-0.9644643984345107,0.06722444335531476,7.571275065048612,0.31067325550524955,0.04542765039029166,0.001864039533031497,0.0031330349486263023,0.00027595640720297517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,13.74593061744747,7.094855426302685,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.853212608585739,0.011273097240689438,0.040749351452294205,0.007910167018517301,720.0,0.0,3.1337517027141103e-07,2.3037988856426985e-06,0.00022563012259541596,0.0016587351976627429,9.825472663283664e-05,5.106046389558186e-06,0.07074340317564239,0.0036763534004818927,3.9894310920578686e-05,8.188808461263283e-07,0.028723903862816653,0.0005895942092109572,3.785155677122028e-05,4.469396787507177e-06,0.027253120875278602,0.0032179656870051673,6.462371614079407e-07,6.919143927730051e-07,0.00046529075621371734,0.0004981783627965637,-0.00011820188209312598,5.241372971713663e-06,-0.08510535510705071,0.00377378853963384,0.0,0.0,0.0,0.0,-3.1195096831166005e-05,6.084353646561223e-06,-0.022460469718439523,0.004380734625524081,-2.0593392621697284e-05,9.110874258574111e-07,-0.014827242687622044,0.000655982946617336
localized_burst,allfreq_alllayers,5,-0.24480948643744851,0.010875507044531055,-0.0004107744632251526,2.1116731635616917e-05,-0.00039107024005899106,2.0100149341982104e-05,1.9236512760046984e-05,6.696735241339658e-07,0.013850289187233827,0.00048216493737645476,-18.50466760695279,0.9302953949917586,-24.224904134199413,0.8862892706441613,0.2429044990536418,0.010653462129947265,-1.0078184186692372,0.0010763258162547566,76.6848815963706,1.8607303633633323,0.46010928957822356,0.01116438218017999,0.0005911236773755159,1.8566679467736132e-05,0.0,0.0,0.0,0.0,0.0,0.0,131.2,91.67420575058178,-1.0,0.0,-1.0,0.0,0.05593819725842197,0.03351183598170963,0.40888888888888886,0.06366264288234845,0.0,0.0,0.0,0.0,0.08569855210734803,0.005477924965844712,0.22594100623287244,0.009876745459930721,-0.15405738961068988,0.08687256694485983,720.0,0.0,2.8954550558425134e-06,1.2507767769298063e-05,0.0020847276402066097,0.009005592793894606,0.0007936295370483655,1.7406083684413016e-05,0.5714132666748233,0.012532380252777362,1.9236512760046984e-05,6.696735241339658e-07,0.013850289187233827,0.00048216493737645476,0.0002462572322096725,4.089750394736609e-06,0.1773052071909642,0.002944620284210363,3.9261300822525616e-06,4.381073081480748e-06,0.002826813659221844,0.0031543726186661395,-0.0008032477934283892,1.7620483748332035e-05,-0.5783384112684401,0.012686748298799051,4.6771040611468195e-07,6.577823610280107e-07,0.00033675149240257096,0.00047360329994016777,-0.00039107024005899106,2.0100149341982104e-05,-0.2815705728424735,0.014472107526227112,-1.4012096868390732e-05,4.330770286726187e-06,-0.010088709745241328,0.003118154606442855
localized_burst,swapped,5,-0.13994710113784656,0.017965669398167617,-0.0002328169827052791,3.206472318601274e-05,-0.00021585624718317345,3.0063431305973253e-05,1.6493025115990972e-05,1.6010973605999521e-06,0.0118749780835135,0.0011527900996319658,-13.876780686753694,2.0328432808493804,-19.838082757377208,2.1054025315545926,0.14064309357401555,0.01708785101820911,-0.9941024563435293,0.010559878027350627,45.19679634151025,1.6915978086215453,0.2711807780490615,0.010149586851729283,0.0031345871644861247,0.0007270349254727466,0.0,0.0,0.0,0.0,0.0,0.0,131.2,91.67420575058178,-1.0,0.0,-1.0,0.0,0.0393697719259517,0.02036253278837054,0.40888888888888886,0.06366264288234845,0.0,0.0,0.0,0.0,0.08670619148411299,0.010499122547363387,0.23422847289516505,0.04244903347047921,-0.4673740967770499,0.012969794801124802,720.0,0.0,1.483659121431502e-06,1.0766836775726199e-05,0.0010682345674306818,0.007752122478522863,0.0005108676397212041,1.8276506600837647e-05,0.3678247005992669,0.013159084752603101,1.6493025115990972e-05,1.6010973605999521e-06,0.0118749780835135,0.0011527900996319658,0.00016556923753695274,1.925080092989076e-05,0.11920985102660595,0.013860576669521344,4.444942140816636e-06,2.8033744066962562e-06,0.003200358341387978,0.0020184295728213042,-0.0005191141522791997,1.8910956057850018e-05,-0.37376218964102376,0.013615888361652007,4.6771040611468195e-07,6.577823610280107e-07,0.00033675149240257096,0.00047360329994016777,-0.00021585624718317345,3.0063431305973253e-05,-0.1554164979718849,0.02164567054030074,-1.3159165104926801e-05,2.946425489887469e-06,-0.009474598875547297,0.0021214263527189778
localized_burst,no_promotion,5,0.014669338765627215,0.013440309776794652,-7.46290942953947e-05,1.7450998286479456e-05,2.0112227252275632e-05,1.845630090825986e-05,9.474132154767033e-05,1.5508919704143104e-06,0.06821375151432264,0.001116642218698304,1.7209660642128946,1.8706025344041766,2.3658910419987835,2.4750744528464415,0.009259561279063733,0.002736610867262211,1.8320894109556556,1.927542858611635,5.797054885417618,0.25564415943201296,0.0347823293125057,0.0015338649565920775,1.449255266133896e-05,4.149632254798032e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,13.572950819672133,12.222894068624651,0.5,0.0,0.0,0.0,0.0,0.0,0.0021353936400135025,0.0011472884663458107,1.8285361301732839,0.05389960633227006,1.0445920224971545,0.05232617074500709,720.0,0.0,6.996556709179599e-07,7.789862215777599e-06,0.0005037520830609309,0.005608700795359872,0.00013529774630618795,1.762465482423424e-05,0.09741437734045533,0.012689751473448654,9.474132154767033e-05,1.5508919704143104e-06,0.06821375151432264,0.001116642218698304,6.775034739849382e-05,1.6021088000299655e-05,0.048780250126915545,0.01153518336021575,8.494109253233502e-06,5.549567006018572e-06,0.00611575866232812,0.003995688244333372,-0.00018266840708002313,1.8290313718838894e-05,-0.13152125309761664,0.013169025877563998,0.0,0.0,0.0,0.0,2.0112227252275632e-05,1.845630090825986e-05,0.014480803621638455,0.013288536653947098,-5.586477002706867e-05,5.993164471044556e-06,-0.04022263441948944,0.004315078419152081
localized_burst,no_leakage,5,-0.001547720023043131,0.013878226874680896,-4.41972821563142e-06,1.9467560576060203e-05,-3.9520178095167385e-06,1.927712055623965e-05,0.0,0.0,0.0,0.0,-0.533811154557094,2.1274517723987736,-0.6721553560404059,3.086058722949362,0.019113031994436168,0.0053599556043168505,0.029166599237172842,0.9223719754099051,11.28952395377718,0.9722417197880655,0.0677371437226631,0.005833450318728395,0.000855028531390383,6.803041171487394e-05,0.0,0.0,0.0,0.0,0.0,0.0,131.2,91.67420575058178,-1.0,0.0,-1.0,0.0,6.583974081474082,4.059182434473224,0.40888888888888886,0.06366264288234845,0.0,0.0,0.0,0.0,0.0037069466553082664,0.0014270780581554178,0.8915413359254151,0.02497754442695517,0.8999526620862236,0.056642979781480106,720.0,0.0,1.9488752792022866e-06,7.98739609988972e-06,0.0014031902010256461,0.005750925191920598,0.00018788037859414225,2.1961302938633457e-05,0.13527387258778242,0.015812138115816093,0.0,0.0,0.0,0.0,8.988853025553825e-05,1.5898770694300993e-05,0.06471974178398754,0.011447114899896716,6.301000820148022e-06,4.408626593238564e-06,0.004536720590506575,0.003174211147131766,-0.00018788037859414225,2.1961302938633457e-05,-0.13527387258778242,0.015812138115816093,4.6771040611468195e-07,6.577823610280107e-07,0.00033675149240257096,0.00047360329994016777,-3.9520178095167385e-06,1.927712055623965e-05,-0.002845452822852051,0.013879526800492549,-6.768711226262704e-06,4.3986668800659915e-06,-0.004873472082909147,0.0031670401536475143
