full_variant_id,comparator_variant_id,analysis_scope,hypothesis_role,scenarios,metric,higher_is_better,raw_full_minus_comparator_mean,directional_improvement_mean,directional_ci95_low,directional_ci95_high,paired_effect_size_dz,p_value_raw,bootstrap_draws,randomization_draws,independent_training_replicates,heldout_paths_per_replicate,scenario_count,inferential_unit,path_seed_role,multiplicity_family,p_value_holm,claim_status
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:persistent_shift,secondary_baseline,persistent_shift,max_drawdown,False,-0.005885906926257193,0.005885906926257193,0.005530833904043413,0.006263779850804498,6.329771539100287,1.999960000799984e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:max_drawdown,0.0007199856002879943,supported_improvement
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:persistent_shift,secondary_baseline,persistent_shift,turnover,False,0.8420751071519877,-0.8420751071519877,-0.9842969214503097,-0.7070045081302911,-2.3975550256848055,1.999960000799984e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:turnover,0.0007199856002879943,supported_harm
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:persistent_shift,secondary_baseline,persistent_shift,LowerLFDriftAbs,False,-0.004538297607550977,0.004538297607550977,0.004107447227559237,0.004942087855332672,4.2367492876740265,1.999960000799984e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:LowerLFDriftAbs,0.0007199856002879943,supported_improvement
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:promotion_recovery,secondary_baseline,promotion_recovery,total_return,True,-0.007923234009926191,-0.007923234009926191,-0.013316965732272472,-0.0027916429754242106,-0.5807082620072623,0.009499810003799925,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:total_return,0.10449791004179917,inconclusive
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:promotion_recovery,secondary_baseline,promotion_recovery,sharpe,True,-45.424332494560055,-45.424332494560055,-65.22062995429884,-26.100975045566347,-0.9117060647479589,7.999840003199936e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:sharpe,0.0014399712005759885,supported_harm
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:promotion_recovery,secondary_baseline,promotion_recovery,max_drawdown,False,0.005229749395020605,-0.005229749395020605,-0.009974853160403904,-0.0006252006482885555,-0.4324452881654695,0.047039059218815626,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:max_drawdown,0.3292734145317094,inconclusive
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:promotion_recovery,secondary_baseline,promotion_recovery,turnover,False,-1.857568213497015,1.857568213497015,1.6057779236580332,2.1134630754774517,2.8374217437983877,1.999960000799984e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:turnover,0.0007199856002879943,supported_improvement
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:promotion_recovery,secondary_baseline,promotion_recovery,LowerLFDriftAbs,False,-0.004883303016028301,0.004883303016028301,0.004350219309847363,0.005391881328843326,3.671501327233824,1.999960000799984e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:LowerLFDriftAbs,0.0007199856002879943,supported_improvement
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:stationary_low_noise,secondary_baseline,stationary_low_noise,total_return,True,-0.0018435995054205366,-0.0018435995054205366,-0.0040408586891062075,0.00037560080583155564,-0.326862855937255,0.12303753924921501,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:total_return,0.615187696246075,inconclusive
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:stationary_low_noise,secondary_baseline,stationary_low_noise,sharpe,True,-2.7433530450933947,-2.7433530450933947,-16.700462957578427,10.873146704615712,-0.07765716101623661,0.7032459350812984,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:sharpe,1.0,inconclusive
