scenario,promotion_threshold,promotion_ratio,promotion_mid_gain,promotion_adapt_gain,freq_sharpe,noprom_sharpe,sharpe_delta,freq_return,noprom_return,return_delta,freq_post_shift_pnl,noprom_post_shift_pnl,post_shift_delta,freq_recovery_cost,noprom_recovery_cost,recovery_cost_delta,recovery_score,freq_promotion_count,freq_promotion_delay,freq_focus
persistent_shift,0.00045,0.15,0.0,0.0,15.84779072871435,15.84779072871435,0.0,0.24262805603606843,0.24262805603606843,0.0,0.06047758388492589,0.06047758388492589,0.0,0.0014347341615043186,0.0014347341615043186,0.0,-0.0019600000000000004,85.0,19.6,0.8246003255289323
persistent_shift,0.00045,0.15,0.0,0.1,15.933784217392603,15.84779072871435,0.08599348867825363,0.24299072181285658,0.24262805603606843,0.0003626657767881458,0.06045795409598672,0.06047758388492589,-1.962978893917111e-05,0.0014186989501761315,0.0014347341615043186,-1.603521132818712e-05,-0.001963594577610984,75.8,19.6,0.8544757453470462
persistent_shift,0.00045,0.15,0.0,0.25,16.010606207082876,15.84779072871435,0.16281547836852717,0.243813386996557,0.24262805603606843,0.001185330960488562,0.06032749402120685,0.06047758388492589,-0.00015008986371903982,0.0014277495731400557,0.0014347341615043186,-6.984588364262936e-06,-0.0021031052753547773,57.6,19.6,0.8626962022213087
persistent_shift,0.00045,0.15,0.0,0.5,16.067345907750557,15.84779072871435,0.2195551790362078,0.24493565900180642,0.24262805603606843,0.0023076029657379815,0.06035263244193895,0.06047758388492589,-0.00012495144298694388,0.0014260405610101153,0.0014347341615043186,-8.693600494203346e-06,-0.002076257842492741,57.4,19.6,0.8592971612023191
persistent_shift,0.00045,0.15,0.0,0.75,16.062031782934547,15.84779072871435,0.21424105422019757,0.245762663949212,0.24262805603606843,0.0031346079131435722,0.06032188581728818,0.06047758388492589,-0.00015569806763771066,0.00143131827460745,0.0014347341615043186,-3.415886896868548e-06,-0.0021122821807408425,57.2,19.6,0.8550087266458843
persistent_shift,0.00045,0.15,0.5,0.0,15.839961540903804,15.84779072871435,-0.00782918781054498,0.2424635663492006,0.24262805603606843,-0.00016448968686783028,0.06045200568195032,0.06047758388492589,-2.5578202975572173e-05,0.0014347341615043186,0.0014347341615043186,0.0,-0.0019855782029755725,85.0,19.6,0.8212496609478863
persistent_shift,0.00045,0.15,0.5,0.1,15.931953523541301,15.84779072871435,0.08416279482695188,0.24297715616928056,0.24262805603606843,0.00034910013321212685,0.06045574555906178,0.06047758388492589,-2.183832586410972e-05,0.0014186989501761315,0.0014347341615043186,-1.603521132818712e-05,-0.0019658031145359228,75.8,19.6,0.8504398656064064
persistent_shift,0.00045,0.15,0.5,0.25,16.011315452462995,15.84779072871435,0.16352472374864568,0.24382578341585873,0.24262805603606843,0.001197727379790292,0.060328203427359284,0.06047758388492589,-0.00014938045756660717,0.0014277495731400557,0.0014347341615043186,-6.984588364262936e-06,-0.0021023958692023446,57.6,19.6,0.8597902285428848
persistent_shift,0.00045,0.15,0.5,0.5,16.072404751247326,15.84779072871435,0.22461402253297713,0.24496581541793047,0.24262805603606843,0.002337759381862037,0.06035310092051518,0.06047758388492589,-0.00012448296441071316,0.0014260405610101153,0.0014347341615043186,-8.693600494203346e-06,-0.0020757893639165104,57.4,19.6,0.8585663799830752
persistent_shift,0.00045,0.15,0.5,0.75,16.071541067344942,15.84779072871435,0.2237503386305928,0.24579102025985972,0.24262805603606843,0.0031629642237912814,0.06032289641566726,0.06047758388492589,-0.00015468746925863253,0.00143131827460745,0.0014347341615043186,-3.415886896868548e-06,-0.0021112715823617643,57.2,19.6,0.8548946742511863
persistent_shift,0.00045,0.15,1.0,0.0,15.827182218300493,15.84779072871435,-0.02060851041385625,0.24222870312456196,0.24262805603606843,-0.0003993529115064731,0.06042282783056437,0.06047758388492589,-5.4756054361518314e-05,0.0014347341615043186,0.0014347341615043186,0.0,-0.0020147560543615187,85.0,19.6,0.8174194288761789
persistent_shift,0.00045,0.15,1.0,0.1,15.928688931018396,15.84779072871435,0.08089820230404676,0.24294260126498002,0.24262805603606843,0.00031454522891158354,0.06045144170428561,0.06047758388492589,-2.6142180640280344e-05,0.0014186989501761315,0.0014347341615043186,-1.603521132818712e-05,-0.0019701069693120934,75.8,19.6,0.8477489435439587
persistent_shift,0.00045,0.15,1.0,0.25,16.011293956606043,15.84779072871435,0.16350322789169347,0.2438296161650193,0.24262805603606843,0.0012015601289508682,0.06032852362748842,0.06047758388492589,-0.0001490602574374736,0.0014277495731400557,0.0014347341615043186,-6.984588364262936e-06,-0.002102075669073211,57.6,19.6,0.8570582617741419
persistent_shift,0.00045,0.15,1.0,0.5,16.07570394344779,15.84779072871435,0.22791321473344262,0.24497912740463357,0.24262805603606843,0.002351071368565133,0.06035357348193214,0.06047758388492589,-0.00012401040299375027,0.0014260405610101153,0.0014347341615043186,-8.693600494203346e-06,-0.0020753168024995475,57.4,19.6,0.8547366577878123
persistent_shift,0.00045,0.15,1.0,0.75,16.078277208662747,15.84779072871435,0.23048647994839833,0.24581188434921705,0.24262805603606843,0.003183828313148618,0.06032392828819146,0.06047758388492589,-0.0001536555967344283,0.00143131827460745,0.0014347341615043186,-3.415886896868548e-06,-0.00211023970983756,57.2,19.6,0.8549161850370555
