ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy
0,Warmup,8.5,0.8,22.998,12,0.4324,-5594.588,3881.288,4970,0,33.99,34.58,-60.0,60.0,-1.1257,0.2905,-13.176351547241211,24.574993133544922,2675.96142578125,2662.273193359375,28.309839248657227,-1.2915252447128296,61.71244430541992,61.39250564575195,142.1378936767578,111760.03125,0.1,0.9970341324806213,4970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,33.99062169284168,34.57643468927983,262,42.19173381740886,38.97587675483604,0.7530352754683063,0.5914103512542691,0.24305180187672423,0.16553784686900674,0.3035,9.89,0.0527,2.991
30,BiLevel,8.1,0.9,11.026,12,0.7713,-4404.052,3050.461,4287,262,-2.55,52.81,-60.0,60.0,-1.0273,0.3537,-9.363773345947266,11.80225658416748,1423.516357421875,1411.5037841796875,12.833621978759766,1.6939936876296997,17.97722053527832,34.93804168701172,121.69232177734375,66155.0703125,0.1,0.9942361116409302,9257,4.06,46.63,-107.37,103.43,-1.874,0.0,-1.5274866819381714,0.9006246328353882,13.909360885620117,4.044102668762207,0.9247729182243347,3.4030401706695557,4.2726545333862305,28.362680435180664,0.3,262,-2.5519499884223587,52.80808717130672,238,-3.408965390606929,8.892873341409786,0.8423679440855374,0.6131376784788067,0.22766502316096493,0.15919729836022842,0.4632,10.66,0.0531,2.962
