timestamp,event_type,side,price,size,order_id
34200.004241176,add,bid,585.33,18.0,16113575
34200.025551909,add,ask,585.91,18.0,16120456
34200.201743336,cancel,ask,585.91,18.0,16120456
34200.201780978,cancel,ask,585.92,18.0,16120480
34200.205573445,add,bid,585.36,18.0,16167159
34200.271739507,add,bid,585.73,20.0,3647217
34200.271739507,add,ask,585.74,40.0,5740544
34200.275016159,trade,ask,585.74,40.0,5740544
34200.275016159,trade,ask,585.75,25.0,3570647
34200.275057494,trade,bid,585.73,1.0,3647217
34200.275063291,trade,bid,585.73,10.0,3647217
34200.275072491,trade,ask,585.75,25.0,3570647
34200.275072491,trade,ask,585.75,5.0,3647221
34200.275072491,trade,ask,585.75,7.0,3647222
34200.275072491,trade,ask,585.75,20.0,5230851
34200.275072491,trade,ask,585.78,25.0,1373927
34200.275072491,trade,ask,585.78,20.0,1601225
34200.275072491,trade,ask,585.79,100.0,hidden_17
34200.275072491,trade,ask,585.8,4.0,2606421
34200.275072491,trade,ask,585.82,5.0,1364835
34200.275072491,trade,ask,585.83,7.0,7277867
34200.275072491,trade,ask,585.9,3.0,hidden_21
34200.275072491,trade,ask,585.9,200.0,hidden_22
34200.275072491,trade,ask,585.91,1.0,hidden_23
34200.275072491,trade,ask,585.92,1.0,hidden_24
34200.275072491,trade,ask,585.92,300.0,hidden_25
34200.275072491,trade,ask,585.93,37.0,16166035
34200.275123235,add,bid,585.74,50.0,16182649
34200.28039589,add,bid,585.77,18.0,16183794
34200.347390612,add,ask,585.93,100.0,16196199
34200.358687488,trade,ask,585.93,4.0,16166035
34200.417746832,trade,bid,585.77,18.0,16183794
34200.417746832,trade,bid,585.73,9.0,3647217
34200.417746832,trade,bid,585.72,23.0,hidden_33
34200.418943908,trade,bid,585.72,77.0,hidden_34
34200.418943908,trade,bid,585.7,23.0,2109823
34200.419089711,add,ask,585.92,18.0,16211220
34200.459503459,cancel,bid,585.7,100.0,16186225
34200.610751386,cancel,ask,585.92,18.0,16211220
34200.701389248,add,ask,585.87,100.0,16265573
34200.763059946,trade,bid,585.7,1.0,2109823
34200.833761339,add,bid,585.7,100.0,16284218
34200.834524603,cancel,bid,585.7,100.0,16284218
34200.887406162,trade,ask,585.86,47.0,hidden_43
34200.887488522,add,bid,585.7,18.0,16291236
34200.887548747,add,bid,585.71,18.0,16291244
34200.911977878,add,bid,585.74,100.0,16294463
34201.00965512,trade,bid,585.75,200.0,hidden_47
34201.00965512,trade,bid,585.75,300.0,hidden_48
34201.011352575,trade,bid,585.74,100.0,16294463
34201.014980201,trade,bid,585.7,26.0,2109823
34201.015080514,trade,bid,585.69,20.0,3237773
34201.015180053,add,bid,585.66,18.0,16310817
34201.043832887,add,bid,585.69,18.0,16316688
34201.171271698,cancel,bid,585.69,18.0,16316688
34201.17297637,trade,bid,585.65,5.0,3583158
34201.17297637,trade,bid,585.64,20.0,3647220
34201.17297637,trade,bid,585.6,3.0,4731250
34201.17297637,trade,bid,585.59,15.0,3647224
34201.17297637,trade,bid,585.55,1.0,4725584
34201.17297637,trade,bid,585.5,9.0,2118573
34201.17297637,trade,bid,585.5,5.0,3562118
34201.17297637,trade,bid,585.5,25.0,9480911
34201.17297637,trade,bid,585.5,17.0,hidden_63
34201.173094452,add,ask,585.87,18.0,16337399
34201.1731408,add,ask,585.86,5.0,16337407
34201.173141799,add,ask,585.86,13.0,16337408
34201.173174928,add,bid,585.48,18.0,16337414
34201.17320583,add,ask,585.84,18.0,16337423
34201.183611554,trade,bid,585.5,53.0,hidden_69
34201.183713008,add,bid,585.49,15.0,16338748
34201.188030854,trade,bid,585.5,20.0,hidden_71
34201.188124042,add,ask,585.83,15.0,16339418
34201.384238778,cancel,bid,585.49,15.0,16338748
34201.39750588,add,ask,585.8,100.0,16365896
34201.536315252,add,ask,585.77,18.0,16380157
34201.732217592,add,bid,585.47,18.0,16396043
34201.73236517,cancel,ask,585.77,18.0,16380157
34201.732368385,cancel,ask,585.78,18.0,16380182
34201.732392812,cancel,ask,585.8,18.0,16380190
