check,claim,status,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,noninferiority_margin,win_rate,sign_p_value
transit_real_demand_control_objective_vs_base,Freq-HRL improves the composite control objective under real AFC/APC demand traces,supported,control_objective,full_real_freqhrl,base_real_ema,increase,6,1.8114274241451875,1.28256587126095,2.4538887158636626,1.8114274241451875,1.28256587126095,2.455658168688026,,1.0,0.03125
transit_real_demand_control_reward_vs_base,Freq-HRL improves reward under real AFC/APC demand traces,supported,reward_mean,full_real_freqhrl,base_real_ema,increase,6,1.6834868920214543,1.1721058685448769,2.3034313883274398,1.6834868920214543,1.1721058685448769,2.305312231872156,,1.0,0.03125
transit_real_demand_control_wait_vs_base,Freq-HRL lowers wait proxy under real AFC/APC demand traces,supported,wait_proxy,full_real_freqhrl,base_real_ema,decrease,6,-1.674093575629235,-2.281750974403621,-1.1727880039632244,1.674093575629235,1.1727880039632244,2.2830341124267717,,1.0,0.03125
transit_real_demand_control_lower_lf_vs_base,Freq-HRL lowers lower-LF drift under real AFC/APC demand traces,supported,LowerLFDrift,full_real_freqhrl,base_real_ema,decrease,6,-0.30257772016495865,-0.3978236653688718,-0.19692228663199698,0.30257772016495865,0.19692228663199704,0.3995897428706634,,1.0,0.03125
transit_real_demand_control_raw_lower_lf_vs_base,Freq-HRL lowers raw lower-LF drift under real AFC/APC demand traces,supported,RawLowerLFDriftAbs,full_real_freqhrl,base_real_ema,decrease,6,-0.018490157797068665,-0.01908985879641734,-0.01788757381986503,0.018490157797068665,0.01786805835206781,0.019090903227680728,,1.0,0.03125
transit_native_real_demand_control_score_vs_interval,Native Freq-HRL improves control score under real AFC/APC demand profiles,supported,control_score,native_real_freqhrl,native_real_interval,increase,6,99.67253356386679,62.30438793805423,137.02988725357832,99.67253356386679,61.692953753100056,139.5113618436438,,1.0,0.03125
transit_native_real_demand_reward_vs_interval,Native Freq-HRL improves reward under real AFC/APC demand profiles,supported,ep_reward,native_real_freqhrl,native_real_interval,increase,6,98.76583333333367,59.99974166666679,137.15153333333404,98.76583333333367,59.40466666666665,140.21650000000076,,1.0,0.03125
transit_native_real_demand_wait_vs_interval,Native Freq-HRL lowers wait under real AFC/APC demand profiles,positive_mixed,avg_wait_min,native_real_freqhrl,native_real_interval,decrease,6,-0.0829999999999993,-0.22483333333333042,0.05666666666666635,0.0829999999999993,-0.05842916666666717,0.22487499999999688,,0.6666666666666666,0.6875
transit_native_real_demand_board_wait_vs_interval,Native Freq-HRL lowers actual boarded passenger wait under real AFC/APC demand profiles,positive_mixed,native_avg_board_wait_min,native_real_freqhrl,native_real_interval,decrease,6,-0.08326712773411948,-0.2250987895954791,0.05639255668876212,0.08326712773411948,-0.05816675255229837,0.22514081451292828,,0.6666666666666666,0.6875
transit_native_real_demand_alighted_vs_interval,Native Freq-HRL preserves or improves completed passenger alightings under real AFC/APC demand profiles,not_supported,native_alighted_pax,native_real_freqhrl,native_real_interval,increase,6,-4.833333333333333,-9.833333333333334,-0.8333333333333334,-4.833333333333333,-9.666666666666666,-0.8333333333333334,,0.16666666666666666,0.375
