check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,sign_p_value,status
adaptive_wavelet_vs_ema_sharpe,sharpe,adaptive_wavelet,ema,increase,12,-7.096340334689067,-245.83187572909577,213.61343333707495,-7.096340334689067,-245.45898356838333,202.38343687162717,0.6666666666666666,0.38769531250000044,not_supported
adaptive_wavelet_vs_ema_total_return,total_return,adaptive_wavelet,ema,increase,12,-4.453961122303599e-05,-0.0004972689012233018,0.0004062290513984746,-4.453961122303599e-05,-0.0004782727108873411,0.00043213565438163573,0.25,0.14599609375000028,not_supported
adaptive_wavelet_vs_ema_max_drawdown,max_drawdown,adaptive_wavelet,ema,decrease,12,-5.623932953163768e-05,-0.0004990993923891624,0.0004072722533795726,5.623932953163768e-05,-0.0003894443991786602,0.0005168323525112968,0.6666666666666666,0.38769531250000044,positive_mixed
adaptive_wavelet_vs_ema_avg_slippage_bps,avg_slippage_bps,adaptive_wavelet,ema,decrease,12,0.009771544883540402,-0.002983468688934728,0.027596954690321463,-0.009771544883540402,-0.02723907239064436,0.0029838293549242895,0.25,0.21875000000000014,not_supported
adaptive_wavelet_vs_ema_partial_fill_rate,partial_fill_rate,adaptive_wavelet,ema,decrease,12,0.0020891364902506926,-0.00046425255338905513,0.005106778087279477,-0.0020891364902506926,-0.004990714948932219,0.00046425255338905513,0.08333333333333333,0.21875000000000014,not_supported
adaptive_wavelet_vs_ema_fill_rate,fill_rate,adaptive_wavelet,ema,increase,12,-0.002089136490250696,-0.0051067780872794755,0.0004642525533890436,-0.002089136490250696,-0.004990714948932218,0.0004642525533890436,0.08333333333333333,0.21875000000000014,not_supported
neural_state_space_vs_ema_sharpe,sharpe,neural_state_space,ema,increase,12,-26.426251900248445,-270.75425415041394,197.9512429089439,-26.426251900248445,-272.94448623636055,194.54841119474682,0.3333333333333333,0.38769531250000044,not_supported
neural_state_space_vs_ema_total_return,total_return,neural_state_space,ema,increase,12,4.602054175408451e-05,-0.00043036709431871676,0.0005579804060189406,4.602054175408451e-05,-0.00041356940393439887,0.000564981376238368,0.3333333333333333,0.38769531250000044,inconclusive
neural_state_space_vs_ema_max_drawdown,max_drawdown,neural_state_space,ema,decrease,12,-7.958014560111026e-05,-0.0005977460645740435,0.00040663312883713036,7.958014560111026e-05,-0.0003792356527231875,0.0005936950374139002,0.4166666666666667,0.7744140624999997,inconclusive
neural_state_space_vs_ema_avg_slippage_bps,avg_slippage_bps,neural_state_space,ema,decrease,12,0.004465154242242143,-0.0030352166889235357,0.013668746207087095,-0.004465154242242143,-0.013498305304267733,0.0033225983201259452,0.4166666666666667,0.6875000000000016,not_supported
neural_state_space_vs_ema_partial_fill_rate,partial_fill_rate,neural_state_space,ema,decrease,12,0.0012766945218198693,-0.00046425255338903665,0.003136606313834727,-0.0012766945218198693,-0.0032497678737233027,0.000580315691736305,0.16666666666666666,0.6875000000000016,not_supported
neural_state_space_vs_ema_fill_rate,fill_rate,neural_state_space,ema,increase,12,-0.0012766945218198702,-0.003136606313834727,0.000464252553389043,-0.0012766945218198702,-0.003249767873723306,0.0005803156917363038,0.16666666666666666,0.6875000000000016,not_supported
state_space_vs_ema_sharpe,sharpe,state_space,ema,increase,12,2.5769874443684517,-53.149754691313014,59.51514376065512,2.5769874443684517,-52.29170503835754,60.447471953596995,0.5,1.0,positive_mixed
state_space_vs_ema_total_return,total_return,state_space,ema,increase,12,0.00044150001994684257,9.796868409245688e-05,0.000798731316809769,0.00044150001994684257,0.00010620166512548385,0.0007901801237532972,0.75,0.14599609375000028,supported
state_space_vs_ema_max_drawdown,max_drawdown,state_space,ema,decrease,12,-0.0004447692467823376,-0.0007839045176319212,-0.00013772487409149177,0.0004447692467823376,0.00014605032131835422,0.0007783364123866157,0.8333333333333334,0.03857421875000006,supported
state_space_vs_ema_avg_slippage_bps,avg_slippage_bps,state_space,ema,decrease,12,-0.0175217374537802,-0.04401389654675431,0.0014919062601089898,0.0175217374537802,-0.0015154339543118887,0.044637747147025744,0.5833333333333334,0.21875000000000014,positive_mixed
state_space_vs_ema_partial_fill_rate,partial_fill_rate,state_space,ema,decrease,12,-0.005106778087279486,-0.011374187558031573,0.00011606313834725916,0.005106778087279486,-0.00011606313834725916,0.011263927576601654,0.25,1.0,inconclusive
state_space_vs_ema_fill_rate,fill_rate,state_space,ema,increase,12,0.005222841225626741,0.0,0.01149025069637883,0.005222841225626741,0.0,0.011377089136490234,0.25,0.6249999999999994,inconclusive
