ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv
0,Warmup,7.4,0.9,24.968,12,0.5671,-5609.211,3937.329,4970,0,33.98,34.11,-60.0,60.0,-1.1286,0.2744,-9.772651672363281,20.041221618652344,2150.48193359375,2137.23681640625,22.683307647705078,-51.84463882446289,3394.15869140625,-3.4519431591033936,306.8040771484375,80888.734375,0.3,1.030447006225586,4970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,33.97552000054269,34.10980569467908,262,35.79517575045277,29.062548252410792,0.7461617670976375,0.597186649130881,0.23897752237245348,0.16383582849666542
1,Warmup,8.2,0.7,9.68,12,0.3598,-5511.914,3699.562,4971,0,3.19,38.69,-60.0,60.0,-1.1088,0.2678,-9.528635025024414,6.242414474487305,447.9031677246094,436.3023376464844,7.193983554840088,-47.96216583251953,1449.9757080078125,-28.20220947265625,220.92340087890625,22815.32421875,0.3,1.0575025081634521,9941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.194787211575287,38.689939739503856,262,10.995344823755715,6.532396933671675,0.5707385696148298,0.6168289705290088,0.2261862931893811,0.15698473628161028
2,Warmup,11.0,0.8,26.773,12,0.5273,-6049.02,4388.679,4971,0,39.96,32.31,-60.0,60.0,-1.2169,0.1832,-12.753105163574219,7.943439483642578,582.0291748046875,570.6055908203125,6.39985466003418,-52.729549407958984,3073.69921875,-28.183734893798828,678.0946044921875,28583.6875,0.3,1.0898116827011108,14912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39.964619144560515,32.30940591447001,262,42.71576811373233,28.36835108242537,0.8097610447952872,0.6554762827354707,0.20216166463370824,0.14236205263082122
