seed,variant,status,ep_reward,avg_wait_min,headway_cv,score,upper_plan_decisions,upper_plan_reuse_ratio,upper_plan_target_mean,upper_plan_target_std,terminal_launch_shift_mean,terminal_launch_shift_std,freq_promotion_strength,shared_ppo_lower_samples,shared_ppo_gate_evaluations,shared_ppo_gate_replans,shared_ppo_gate_value_mean,shared_ppo_wait_replan_count,shared_ppo_wait_replan_pressure_mean,shared_ppo_wait_replan_shift_pressure_mean,shared_ppo_wait_replan_gap_ratio_mean,shared_ppo_wait_replan_same_hold_mean,shared_ppo_wait_replan_same_wait_mean,shared_ppo_wait_replan_shift_mean_s,shared_ppo_wait_replan_shift_abs_mean_s,shared_ppo_loss
361,interval_only,supported_native_episode_loop,-3024.825,5.679,0.3388,-6.3566,66.0,0.7480916030534351,334.68928714320253,4.60989385336234,-44.469465648854964,4.372561796136647,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.8967704772949
371,interval_only,supported_native_episode_loop,-2620.089,8.455,0.3905,-9.236,66.0,0.7480916030534351,345.5290591322815,6.10818796500646,-44.25190839694657,4.982172050697761,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2554.550811767578
381,interval_only,supported_native_episode_loop,-19745.804,30.258,0.605,-31.468,66.0,0.7480916030534351,343.4254576376073,8.471993995773094,-44.26335877862596,4.6744507144652765,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71140.87236328125
391,interval_only,supported_native_episode_loop,-14607.586,5.777,0.6161,-7.0092,66.0,0.7480916030534351,337.1279697521725,11.709158045000505,-43.95038167938932,5.318968993332332,0.8461538461538461,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.51510162353514
401,interval_only,supported_native_episode_loop,-2754.551,5.077,0.3706,-5.8182,66.0,0.7480916030534351,345.6708123907068,5.325494002055849,-44.23664122137404,4.64352468961172,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29228.127856445313
411,interval_only,supported_native_episode_loop,-20649.724,16.569,0.5165,-17.602,66.0,0.7480916030534351,338.2202395198,8.440823688818112,-44.47709923664122,4.3682418229466045,0.23076923076923078,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36286.40073242188
421,interval_only,supported_native_episode_loop,-2844.59,4.172,0.5253,-5.2226,66.0,0.7480916030534351,342.3742865893677,7.903812660658103,-44.274809160305345,4.851305695203409,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1437.886594390869
431,interval_only,supported_native_episode_loop,-9106.576,5.04,0.4311,-5.9022,66.0,0.7480916030534351,339.5258826712843,9.699268743482872,-44.50381679389313,4.240614325727498,1.0,4972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7629.95078125
441,interval_only,supported_native_episode_loop,-19724.943,40.103,0.2776,-40.6582,66.0,0.7480916030534351,343.4237148128393,9.03064989669402,-44.36259541984733,4.662892917817485,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24350.5318359375
451,interval_only,supported_native_episode_loop,-2704.577,4.44,0.4856,-5.4112,66.0,0.7480916030534351,346.8749451432709,4.364217517095395,-44.19465648854962,5.25570301624597,1.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18555.609948730467
461,interval_only,supported_native_episode_loop,-19093.921,6.143,0.3428,-6.8286,66.0,0.7480916030534351,350.0373791874972,6.445714676179932,-44.416030534351144,4.493274308823671,0.5384615384615384,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7397.263354492187
471,interval_only,supported_native_episode_loop,-19841.365,9.301,0.4813,-10.2636,66.0,0.7480916030534351,337.764455010175,6.946568033790847,-44.270992366412216,4.901222601012377,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1218.47234954834
481,interval_only,supported_native_episode_loop,-3102.591,5.214,0.4491,-6.1122000000000005,66.0,0.7480916030534351,341.16953292031025,6.919706041153595,-44.20992366412214,4.915877919493491,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6775.162747192383
491,interval_only,supported_native_episode_loop,-14474.477,5.186,0.57,-6.326,66.0,0.7480916030534351,338.0536445509538,5.363466777280714,-44.267175572519086,4.979843995657164,0.6923076923076924,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2977.2111328125
501,interval_only,supported_native_episode_loop,-3119.134,4.7,0.4577,-5.6154,66.0,0.7480916030534351,332.93125294656244,10.022646769835905,-44.35496183206107,4.7566701057279985,0.3846153846153846,4972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13302.658923339844
511,interval_only,supported_native_episode_loop,-2709.404,5.706,0.4824,-6.670800000000001,66.0,0.7480916030534351,339.70220589935406,5.413347004373555,-44.1412213740458,5.308704794942783,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.95219841003416
521,interval_only,supported_native_episode_loop,-18714.49,5.816,0.6446,-7.1052,66.0,0.7480916030534351,331.7239937807787,13.678025107903055,-44.461832061068705,4.34447895689587,0.0,4972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18648.476635742187
531,interval_only,supported_native_episode_loop,-2824.355,7.353,0.5181,-8.389199999999999,66.0,0.7480916030534351,340.6719429763522,5.956349413399539,-44.41984732824427,4.481436176684767,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8145.216174316406
541,interval_only,supported_native_episode_loop,-15310.671,6.123,0.6089,-7.3408,66.0,0.7480916030534351,337.1873188003025,6.772198203509418,-44.396946564885496,4.5920265933230295,1.0,4972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22107.770703125
551,interval_only,supported_native_episode_loop,-2702.971,6.565,0.4744,-7.513800000000001,66.0,0.7480916030534351,343.42007783601304,6.842035190603947,-44.05343511450382,4.780387695637148,0.9732971731083753,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6027.2531066894535
561,interval_only,supported_native_episode_loop,-9312.926,4.891,0.3895,-5.67,66.0,0.7480916030534351,335.6276712290355,6.856030707669428,-44.465648854961835,4.372533476883643,1.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31712.950463867186
571,interval_only,supported_native_episode_loop,-8763.262,3.613,0.4997,-4.6124,66.0,0.7480916030534351,329.8693081921293,4.272634349656671,-44.54961832061068,4.126277253949163,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3547.8203521728515
581,interval_only,supported_native_episode_loop,-18925.051,6.076,0.3642,-6.804399999999999,66.0,0.7480916030534351,339.36119988339243,5.155822089123099,-44.5,4.281818476494403,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38503.1783203125
591,interval_only,supported_native_episode_loop,-18440.731,4.487,0.5168,-5.5206,66.0,0.7480916030534351,340.6066428488751,4.586588636742459,-44.534351145038165,4.1614327206997945,0.3846153846153846,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3253.6305084228516
601,interval_only,supported_native_episode_loop,-13169.16,5.922,0.5112,-6.9444,66.0,0.7480916030534351,345.0388983543289,4.997172804065277,-44.33206106870229,4.796671351816728,1.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4710.2279052734375
611,interval_only,supported_native_episode_loop,-9286.583,5.525,0.5976,-6.7202,66.0,0.7480916030534351,348.3116418481707,6.830011619643055,-44.36641221374046,4.498016707768245,0.23076923076923078,4972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2468.268408203125
621,interval_only,supported_native_episode_loop,-3025.812,5.312,0.4356,-6.1832,66.0,0.7480916030534351,333.4725587502691,5.724692615023479,-44.14885496183206,5.3756571252808,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2741.061834716797
631,interval_only,supported_native_episode_loop,-3825.939,6.027,0.4097,-6.8464,66.0,0.7480916030534351,350.25928282684265,13.48953121575323,-9.641221374045802,38.92115119985515,1.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.36533203125
641,interval_only,supported_native_episode_loop,-17614.726,6.913,0.4372,-7.7874,66.0,0.7480916030534351,339.68209668603413,15.902224749492543,-38.916030534351144,13.677327407308097,1.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4246.495953369141
651,interval_only,supported_native_episode_loop,-18256.062,4.818,0.7198,-6.2576,66.0,0.7480916030534351,334.1772224022308,6.325217849365166,-44.30916030534351,4.957051425686204,0.8461538461538461,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17290.791247558594
661,interval_only,supported_native_episode_loop,-18975.947,7.267,0.4217,-8.1104,66.0,0.7480916030534351,339.70614435208284,4.932110443969375,-44.39312977099237,4.535907474447344,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9302.890966796875
671,interval_only,supported_native_episode_loop,-14958.885,28.323,0.4986,-29.3202,66.0,0.7480916030534351,341.5089482992205,5.522473685474318,-44.47328244274809,4.35246397580544,0.5384615384615384,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44772.983154296875
681,interval_only,supported_native_episode_loop,-18409.773,17.33,0.5711,-18.472199999999997,66.0,0.7480916030534351,338.59159250611265,4.886159782476476,-44.461832061068705,4.383834948682797,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6171.113549804688
691,interval_only,supported_native_episode_loop,-11018.262,4.069,0.6297,-5.3284,66.0,0.7480916030534351,337.2545020176254,4.910111686501213,-44.43129770992366,4.493533674162735,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8305.60707397461
701,interval_only,supported_native_episode_loop,-2838.217,4.634,0.4631,-5.5602,66.0,0.7480916030534351,346.7656806216137,7.805148244011808,-43.33969465648855,6.2458435570246555,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.1077205657959
711,interval_only,supported_native_episode_loop,-5632.91,7.603,0.4253,-8.4536,66.0,0.7480916030534351,346.7567979277071,4.616042367446713,-44.343511450381676,4.678635855807003,1.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1738.2264465332032
721,interval_only,supported_native_episode_loop,-7854.993,5.301,0.6006,-6.5022,66.0,0.7480916030534351,341.72661081003474,6.706043760588888,-44.31679389312977,4.88130336542467,0.8461538461538461,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2141.8769256591795
731,interval_only,supported_native_episode_loop,-15801.68,4.31,0.6711,-5.6522,66.0,0.7480916030534351,346.8998312273098,5.027738474928736,-44.091603053435115,5.359518010799318,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43489.91495361328
741,interval_only,supported_native_episode_loop,-18201.119,5.629,0.5186,-6.6662,66.0,0.7480916030534351,336.81764576768757,5.44208858468173,-44.270992366412216,5.009822238616569,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54285.37626953125
751,interval_only,supported_native_episode_loop,-17203.965,4.775,0.4829,-5.7408,66.0,0.7480916030534351,336.04816377272135,7.6742513323778265,-44.545801526717554,4.1447798409655,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1535.092477416992
761,interval_only,supported_native_episode_loop,-19436.661,26.361,0.4319,-27.224800000000002,66.0,0.7480916030534351,349.5940999709922,5.2999299406089015,-44.33587786259542,4.668573980133893,1.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31074.258081054686
771,interval_only,supported_native_episode_loop,-5719.848,4.133,0.4006,-4.9342,66.0,0.7480916030534351,344.47406896638273,7.358554056902102,-44.33206106870229,4.804621934679346,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.2746856689453
781,interval_only,supported_native_episode_loop,-3224.858,11.102,0.4212,-11.9444,66.0,0.7480916030534351,347.8775275863233,4.930254705683251,-44.24045801526717,4.798159294422132,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721.6873191833496
791,interval_only,supported_native_episode_loop,-9332.058,13.522,0.4875,-14.497,66.0,0.7480916030534351,336.9834898769476,5.77669443409575,-44.530534351145036,4.1724540736731415,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2205.7575408935545
801,interval_only,supported_native_episode_loop,-20498.446,20.955,0.6869,-22.328799999999998,66.0,0.7480916030534351,333.1309061341613,4.665664711742581,-44.5,4.256786229966639,1.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8621.12607421875
811,interval_only,supported_native_episode_loop,-2678.923,7.686,0.2857,-8.2574,66.0,0.7480916030534351,351.9976217044295,4.184548778720296,-43.9236641221374,5.899434984733239,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.4742065429688
821,interval_only,supported_native_episode_loop,-11050.38,5.864,0.5635,-6.991,66.0,0.7480916030534351,333.2661911437833,4.279024199750071,-44.52290076335878,4.193489408312964,1.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4216.934704589844
831,interval_only,supported_native_episode_loop,-17933.715,4.229,0.5204,-5.2698,66.0,0.7480916030534351,336.5850292096611,9.33409880249232,-44.48854961832061,4.347266250253307,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116787.37060546875
201,native_promotion_replan,supported_native_episode_loop,-18997.582,5.2,0.5484,-6.2968,84.0,0.6793893129770993,335.27296138050906,7.958094745341308,-44.43511450381679,4.462907751407808,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22997.115307617187
211,native_promotion_replan,supported_native_episode_loop,-4652.857,11.577,0.4942,-12.5654,149.0,0.4312977099236641,342.0501073270296,5.256688178524055,-44.458015267175576,4.408111090827894,0.8285988307921028,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.09691963195803
221,native_promotion_replan,supported_native_episode_loop,-18502.085,4.79,0.3789,-5.5478000000000005,134.0,0.48854961832061067,343.7036953462596,6.04883237553387,-44.33587786259542,4.749625436453823,0.0,4972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48596.560302734375
231,native_promotion_replan,supported_native_episode_loop,-10220.851,4.394,0.5542,-5.5024,126.0,0.5190839694656488,335.24651574378703,9.957778300604947,-44.49236641221374,4.290716382126527,0.8461538461538461,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.4621520996094
241,native_promotion_replan,supported_native_episode_loop,-2793.096,8.528,0.478,-9.484,123.0,0.5305343511450382,325.4917639179084,7.003200665361501,-44.38931297709924,4.640631240103601,1.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5342.564877319336
251,native_promotion_replan,supported_native_episode_loop,-2550.177,3.776,0.4284,-4.6328,107.0,0.5916030534351145,344.49008507648193,7.077690912146215,-44.06106870229008,4.6892043062564825,1.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.10931687355041
261,native_promotion_replan,supported_native_episode_loop,-2730.128,7.324,0.4328,-8.1896,145.0,0.44656488549618323,340.55557771871867,7.800087487459686,-44.52671755725191,4.198015242190195,1.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1494.4503219604492
271,native_promotion_replan,supported_native_episode_loop,-19903.238,19.487,0.4719,-20.430799999999998,147.0,0.4389312977099237,334.36577857599303,4.937650481317598,-44.530534351145036,4.1724540736731415,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35420.1615234375
281,native_promotion_replan,supported_native_episode_loop,-15327.618,4.501,0.6716,-5.844200000000001,143.0,0.4541984732824427,334.18204907935694,5.374487039981453,-44.538167938931295,4.134715401658565,0.0,4972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20795.861706542968
291,native_promotion_replan,supported_native_episode_loop,-11462.481,5.486,0.4934,-6.472799999999999,127.0,0.5152671755725191,346.20407349741413,5.5889557986065705,-44.400763358778626,4.48531099082984,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31338.73908691406
301,native_promotion_replan,supported_native_episode_loop,-3056.533,6.223,0.5567,-7.336399999999999,141.0,0.4618320610687023,347.0646193474941,13.806253401226261,-30.729007633587788,17.91410373855379,0.5384615384615384,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1457.4388679504395
311,native_promotion_replan,supported_native_episode_loop,-13132.895,5.553,0.4918,-6.5366,128.0,0.5114503816793893,347.30895487251985,12.071216006631174,-39.3206106870229,13.667405465052441,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47862.56892089844
321,native_promotion_replan,supported_native_episode_loop,-2841.968,4.792,0.5859,-5.9638,102.0,0.6106870229007634,330.60732002015635,5.911430043350924,-44.50381679389313,4.277357473815105,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28995.45615234375
331,native_promotion_replan,supported_native_episode_loop,-3805.244,5.668,0.4203,-6.5086,109.0,0.583969465648855,343.59041707616575,5.911112817557625,-44.19083969465649,5.139451516488187,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.7437744140625
341,native_promotion_replan,supported_native_episode_loop,-17232.903,15.661,0.5349,-16.7308,95.0,0.6374045801526718,329.25303855124326,4.783259921689977,-44.538167938931295,4.160482172865041,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9598.953100585937
351,native_promotion_replan,supported_native_episode_loop,-16924.406,5.25,0.4705,-6.191,126.0,0.5190839694656488,341.21658271150733,6.101013358455999,-44.06106870229008,4.972835714266209,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1617.029736328125
361,native_promotion_replan,supported_native_episode_loop,-3021.975,5.679,0.3388,-6.3566,116.0,0.5572519083969466,335.65289074758846,4.520155688307106,-44.469465648854964,4.372561796136647,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.6913829803467
371,native_promotion_replan,supported_native_episode_loop,-2619.211,8.455,0.3905,-9.236,101.0,0.6145038167938931,345.6032349260822,6.310465138149051,-44.25190839694657,4.982172050697761,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2554.727268981934
381,native_promotion_replan,supported_native_episode_loop,-19794.597,30.296,0.4426,-31.1812,119.0,0.5458015267175572,342.9826105015301,8.262804806788346,-44.4236641221374,4.461015734490215,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70853.95234375
391,native_promotion_replan,supported_native_episode_loop,-14616.015,5.765,0.6159,-6.9967999999999995,136.0,0.48091603053435117,337.95995120938494,11.330840483856754,-43.908396946564885,5.378002100271534,0.8679309139489686,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.7898223876953
401,native_promotion_replan,supported_native_episode_loop,-2756.701,5.081,0.3705,-5.822,114.0,0.5648854961832062,346.08684633466726,6.18150216188237,-44.041984732824424,4.745644112822667,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29229.443237304688
411,native_promotion_replan,supported_native_episode_loop,-20614.972,16.509,0.371,-17.251,193.0,0.2633587786259542,338.1152615461451,9.641592546851221,-44.47709923664122,4.3682418229466045,0.23076923076923078,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36262.39243164063
421,native_promotion_replan,supported_native_episode_loop,-2855.189,4.172,0.5253,-5.2226,94.0,0.6412213740458015,341.59489000757003,7.759928670389893,-44.274809160305345,4.851305695203409,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1437.902214050293
431,native_promotion_replan,supported_native_episode_loop,-9149.147,5.051,0.3815,-5.814,189.0,0.2786259541984733,337.71052519911495,9.301511915372895,-44.51145038167939,4.239700429093315,1.0,4972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7709.369476318359
441,native_promotion_replan,supported_native_episode_loop,-19720.427,40.103,0.2776,-40.6582,90.0,0.6564885496183206,343.54522774282833,10.069845949426478,-44.30534351145038,4.682912139190092,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24348.448291015626
