seed,variant,status,ep_reward,avg_wait_min,headway_cv,score,upper_plan_decisions,upper_plan_reuse_ratio,freq_promotion_strength,shared_ppo_lower_samples,shared_ppo_gate_evaluations,shared_ppo_gate_replans,shared_ppo_gate_value_mean,shared_ppo_loss
151,native_promotion_replan,supported_native_episode_loop,-5918.565,13.869,0.5083,-14.8856,126.0,0.5190839694656488,1.0,4970.0,0.0,0.0,0.0,2156.7151580810546
161,native_promotion_replan,supported_native_episode_loop,-2798.431,4.44,0.4512,-5.3424000000000005,104.0,0.6030534351145038,0.0,4971.0,0.0,0.0,0.0,12350.803576660157
171,native_promotion_replan,supported_native_episode_loop,-16088.774,20.877,0.4954,-21.8678,88.0,0.6641221374045801,0.8461538461538461,4970.0,0.0,0.0,0.0,2474.9033142089843
181,native_promotion_replan,supported_native_episode_loop,-19822.32,14.453,0.6218,-15.6966,114.0,0.5648854961832062,0.0,4969.0,0.0,0.0,0.0,89390.84594726562
191,native_promotion_replan,supported_native_episode_loop,-3449.775,4.617,0.4139,-5.4448,141.0,0.4618320610687023,1.0,4969.0,0.0,0.0,0.0,49128.84426269531
201,native_promotion_replan,supported_native_episode_loop,-18941.303,5.273,0.5776,-6.4281999999999995,83.0,0.683206106870229,0.0,4970.0,0.0,0.0,0.0,23317.062390136718
211,native_promotion_replan,supported_native_episode_loop,-4810.614,11.565,0.4938,-12.5526,149.0,0.4312977099236641,1.0,4970.0,0.0,0.0,0.0,362.4335029602051
221,native_promotion_replan,supported_native_episode_loop,-18372.131,4.871,0.4531,-5.777200000000001,135.0,0.4847328244274809,0.0,4972.0,0.0,0.0,0.0,49942.26669921875
231,native_promotion_replan,supported_native_episode_loop,-10351.622,4.461,0.5303,-5.5216,126.0,0.5190839694656488,0.8461538461538461,4970.0,0.0,0.0,0.0,674.943278503418
241,native_promotion_replan,supported_native_episode_loop,-2768.955,8.756,0.4943,-9.7446,123.0,0.5305343511450382,1.0,4970.0,0.0,0.0,0.0,5373.114126586914
251,native_promotion_replan,supported_native_episode_loop,-2547.609,3.821,0.3375,-4.496,103.0,0.6068702290076335,1.0,4970.0,0.0,0.0,0.0,39.531894254684445
261,native_promotion_replan,supported_native_episode_loop,-2737.658,7.317,0.6153,-8.5476,142.0,0.4580152671755725,1.0,4970.0,0.0,0.0,0.0,1530.4433837890624
271,native_promotion_replan,supported_native_episode_loop,-20542.188,23.031,0.2869,-23.604799999999997,148.0,0.4351145038167939,0.5384615384615384,4970.0,0.0,0.0,0.0,34870.13295898437
281,native_promotion_replan,supported_native_episode_loop,-15254.275,4.52,0.5008,-5.521599999999999,145.0,0.44656488549618323,0.0,4972.0,0.0,0.0,0.0,21745.952099609374
291,native_promotion_replan,supported_native_episode_loop,-11578.567,5.511,0.4634,-6.4378,124.0,0.5267175572519084,0.0,4971.0,0.0,0.0,0.0,31728.989501953125
301,native_promotion_replan,supported_native_episode_loop,-2972.929,6.194,0.5751,-7.3442,139.0,0.46946564885496184,0.5384615384615384,4971.0,0.0,0.0,0.0,1517.7509887695312
311,native_promotion_replan,supported_native_episode_loop,-13159.489,5.479,0.4855,-6.45,126.0,0.5190839694656488,0.0,4970.0,0.0,0.0,0.0,49456.31370849609
321,native_promotion_replan,supported_native_episode_loop,-2792.332,4.866,0.4523,-5.7706,100.0,0.6183206106870229,0.0,4970.0,0.0,0.0,0.0,29542.517626953126
331,native_promotion_replan,supported_native_episode_loop,-3744.758,5.616,0.3937,-6.4033999999999995,112.0,0.5725190839694656,0.0,4970.0,0.0,0.0,0.0,203.05607147216796
341,native_promotion_replan,supported_native_episode_loop,-16767.293,13.594,0.5769,-14.7478,96.0,0.6335877862595419,0.0,4970.0,0.0,0.0,0.0,9487.618933105468
351,native_promotion_replan,supported_native_episode_loop,-16899.257,5.28,0.4916,-6.2632,126.0,0.5190839694656488,0.0,4969.0,0.0,0.0,0.0,1671.0481552124024
361,native_promotion_replan,supported_native_episode_loop,-3080.216,5.763,0.335,-6.433,115.0,0.5610687022900763,0.0,4970.0,0.0,0.0,0.0,409.69984703063966
371,native_promotion_replan,supported_native_episode_loop,-2596.647,8.684,0.3927,-9.469399999999998,100.0,0.6183206106870229,0.0,4970.0,0.0,0.0,0.0,2647.7316513061523
381,native_promotion_replan,supported_native_episode_loop,-19759.987,30.385,0.608,-31.601000000000003,118.0,0.549618320610687,0.0,4970.0,0.0,0.0,0.0,71709.34213867187
391,native_promotion_replan,supported_native_episode_loop,-14536.259,5.865,0.689,-7.243,135.0,0.4847328244274809,1.0,4971.0,0.0,0.0,0.0,419.41367416381837
401,native_promotion_replan,supported_native_episode_loop,-2763.674,5.013,0.4417,-5.8964,112.0,0.5725190839694656,0.0,4970.0,0.0,0.0,0.0,29622.826013183592
411,native_promotion_replan,supported_native_episode_loop,-20680.147,17.539,0.5413,-18.6216,191.0,0.27099236641221375,0.23076923076923078,4970.0,0.0,0.0,0.0,37625.65971679687
421,native_promotion_replan,supported_native_episode_loop,-2854.197,4.282,0.5266,-5.3352,97.0,0.6297709923664122,0.0,4970.0,0.0,0.0,0.0,1457.0745086669922
431,native_promotion_replan,supported_native_episode_loop,-9107.923,5.125,0.5248,-6.1746,192.0,0.26717557251908397,1.0,4972.0,0.0,0.0,0.0,7887.909185791015
441,native_promotion_replan,supported_native_episode_loop,-19569.413,40.057,0.4513,-40.9596,89.0,0.6603053435114504,0.0,4971.0,0.0,0.0,0.0,24858.53359375
451,native_promotion_replan,supported_native_episode_loop,-2692.866,4.492,0.4936,-5.4792,136.0,0.48091603053435117,1.0,4970.0,0.0,0.0,0.0,18584.26809082031
461,native_promotion_replan,supported_native_episode_loop,-19075.101,7.036,0.3361,-7.7082,97.0,0.6297709923664122,0.5384615384615384,4970.0,0.0,0.0,0.0,7790.922766113281
151,native_learned_gate,supported_native_episode_loop,-4988.478,10.181,0.4548,-11.090599999999998,66.0,0.7480916030534351,0.0,4970.0,2.0,2.0,0.9820137900379085,1417.503207397461
161,native_learned_gate,supported_native_episode_loop,-2811.087,4.44,0.4427,-5.3254,66.0,0.7480916030534351,0.0,4971.0,2.0,2.0,0.9820137900379085,12343.659338378906
171,native_learned_gate,supported_native_episode_loop,-16021.059,20.814,0.3396,-21.4932,66.0,0.7480916030534351,0.8461538461538461,4970.0,0.0,0.0,0.0,2543.348779296875
181,native_learned_gate,supported_native_episode_loop,-19817.341,14.446,0.7058,-15.8576,66.0,0.7480916030534351,0.0,4969.0,2.0,2.0,0.9820137900379085,88851.82060546875
191,native_learned_gate,supported_native_episode_loop,-3857.225,5.063,0.4556,-5.9742,66.0,0.7480916030534351,1.0,4969.0,2.0,2.0,0.9820137900379085,48948.97412109375
201,native_learned_gate,supported_native_episode_loop,-18943.941,5.273,0.5776,-6.4281999999999995,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,23318.713720703126
211,native_learned_gate,supported_native_episode_loop,-4854.391,12.633,0.3867,-13.4064,66.0,0.7480916030534351,0.07692307692307698,4970.0,2.0,2.0,0.9820137900379085,332.04888076782225
221,native_learned_gate,supported_native_episode_loop,-18384.747,4.877,0.5907,-6.0584,66.0,0.7480916030534351,0.0,4972.0,2.0,2.0,0.9820137900379085,49937.06044921875
231,native_learned_gate,supported_native_episode_loop,-10341.952,4.473,0.4878,-5.4486,66.0,0.7480916030534351,0.8461538461538461,4970.0,2.0,2.0,0.9820137900379085,672.6781211853028
241,native_learned_gate,supported_native_episode_loop,-2785.135,8.757,0.4943,-9.7456,66.0,0.7480916030534351,1.0,4970.0,2.0,2.0,0.9820137900379085,5372.160424804688
251,native_learned_gate,supported_native_episode_loop,-2549.311,3.82,0.3465,-4.513,66.0,0.7480916030534351,1.0,4970.0,2.0,2.0,0.9820137900379085,39.33212757110596
261,native_learned_gate,supported_native_episode_loop,-2726.918,7.317,0.6153,-8.5476,66.0,0.7480916030534351,1.0,4970.0,2.0,2.0,0.9820137900379085,1530.466012573242
271,native_learned_gate,supported_native_episode_loop,-20538.821,23.018,0.2672,-23.552400000000002,66.0,0.7480916030534351,0.5384615384615384,4970.0,2.0,2.0,0.9820137900379085,34861.11391601562
281,native_learned_gate,supported_native_episode_loop,-15205.616,4.559,0.5006,-5.5602,66.0,0.7480916030534351,0.0,4972.0,2.0,2.0,0.9820137900379085,21580.32735595703
291,native_learned_gate,supported_native_episode_loop,-11551.62,5.42,0.5666,-6.5532,66.0,0.7480916030534351,0.0,4971.0,2.0,2.0,0.9820137900379085,32024.865625
301,native_learned_gate,supported_native_episode_loop,-2943.4,6.257,0.5555,-7.367999999999999,66.0,0.7480916030534351,0.5384615384615384,4971.0,2.0,2.0,0.9820137900379085,1517.7586288452148
311,native_learned_gate,supported_native_episode_loop,-13155.518,5.46,0.5097,-6.4794,66.0,0.7480916030534351,0.0,4970.0,2.0,2.0,0.9820137900379085,48933.46065673828
321,native_learned_gate,supported_native_episode_loop,-2791.552,4.866,0.4523,-5.7706,66.0,0.7480916030534351,0.0,4970.0,2.0,2.0,0.9820137900379085,29542.25615234375
331,native_learned_gate,supported_native_episode_loop,-3746.803,5.627,0.3937,-6.4144,66.0,0.7480916030534351,0.0,4970.0,2.0,2.0,0.9820137900379085,204.39190673828125
341,native_learned_gate,supported_native_episode_loop,-17131.523,15.929,0.561,-17.051000000000002,66.0,0.7480916030534351,0.0,4970.0,2.0,2.0,0.9820137900379085,9654.406701660157
351,native_learned_gate,supported_native_episode_loop,-16903.909,5.281,0.5388,-6.358599999999999,66.0,0.7480916030534351,0.0,4969.0,2.0,2.0,0.9820137900379085,1661.8710586547852
361,native_learned_gate,supported_native_episode_loop,-3082.667,5.763,0.3349,-6.4328,66.0,0.7480916030534351,0.0,4970.0,2.0,2.0,0.9820137900379085,410.3554775238037
371,native_learned_gate,supported_native_episode_loop,-2601.631,8.684,0.3927,-9.469399999999998,66.0,0.7480916030534351,0.0,4970.0,2.0,2.0,0.9820137900379085,2647.909761047363
381,native_learned_gate,supported_native_episode_loop,-19755.95,30.415,0.5863,-31.5876,66.0,0.7480916030534351,0.0,4970.0,2.0,2.0,0.9820137900379085,71354.17202148438
391,native_learned_gate,supported_native_episode_loop,-14541.98,5.862,0.6736,-7.2092,66.0,0.7480916030534351,1.0,4971.0,2.0,2.0,0.9820137900379085,413.028734588623
401,native_learned_gate,supported_native_episode_loop,-2760.911,5.013,0.4417,-5.8964,66.0,0.7480916030534351,0.0,4970.0,2.0,2.0,0.9820137900379085,29623.602673339843
411,native_learned_gate,supported_native_episode_loop,-20682.92,17.516,0.4815,-18.479,66.0,0.7480916030534351,0.23076923076923078,4970.0,2.0,2.0,0.9820137900379085,37690.68095703125
421,native_learned_gate,supported_native_episode_loop,-2831.234,4.282,0.5266,-5.3352,66.0,0.7480916030534351,0.0,4970.0,2.0,2.0,0.9820137900379085,1456.8361137390136
431,native_learned_gate,supported_native_episode_loop,-9105.42,5.125,0.5248,-6.1746,66.0,0.7480916030534351,1.0,4972.0,2.0,2.0,0.9820137900379085,7888.239343261719
441,native_learned_gate,supported_native_episode_loop,-19567.317,40.056,0.4513,-40.9586,66.0,0.7480916030534351,0.0,4971.0,2.0,2.0,0.9820137900379085,24940.218603515626
451,native_learned_gate,supported_native_episode_loop,-2685.672,4.493,0.4936,-5.4802,66.0,0.7480916030534351,1.0,4970.0,2.0,2.0,0.9820137900379085,18584.22479248047
461,native_learned_gate,supported_native_episode_loop,-19085.233,7.045,0.3495,-7.744,66.0,0.7480916030534351,0.5384615384615384,4970.0,2.0,2.0,0.9820137900379085,7791.907727050781
