environment,disturbance_mode,arm,upper_constraint_mode,upper_dual_lr,lower_dual_lr,lower_action_router_mode,lower_action_router_alpha,lower_action_router_strength,lower_action_router_training_schedule,lower_action_router_warmup_fraction,lower_action_router_ramp_fraction,upper_hf_penalty_coef,replicate_count,baseline_return_mean,candidate_return_mean,return_difference_mean,return_difference_one_sided_lower,return_difference_one_sided_upper,reward_noninferiority_margin,reward_noninferiority_pass,drift_materiality_floor,responsibility_drift_baseline_mean,responsibility_drift_candidate_mean,responsibility_drift_difference_mean,responsibility_drift_difference_one_sided_upper,responsibility_drift_candidate_one_sided_upper,responsibility_drift_required_reduction,responsibility_drift_baseline_material,responsibility_drift_gate_type,responsibility_drift_pass,responsibility_drift_normalized_slack,raw_lower_drift_baseline_mean,raw_lower_drift_candidate_mean,raw_lower_drift_difference_mean,raw_lower_drift_difference_one_sided_upper,raw_lower_drift_candidate_one_sided_upper,raw_lower_drift_required_reduction,raw_lower_drift_baseline_material,raw_lower_drift_gate_type,raw_lower_drift_pass,raw_lower_drift_normalized_slack,latent_lower_drift_mean,upper_hf_rms,upper_hf_rms_one_sided_upper,upper_hf_budget_pass,effective_lower_action_rms_mean,effective_lower_activity_margin_one_sided_lower,effective_lower_activity_pass,router_clip_rate_mean,router_clip_rate_one_sided_upper,router_clip_pass,reconstruction_rms_max,reconstruction_integrity_pass,minimum_normalized_safety_slack,condition_gate_pass
HalfCheetah-v5,standard,router_a004_s010_constant,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,constant,0.0,0.0,0.0,16,509.7367386705555,432.80998634525474,-76.92675232530078,-222.5227927071343,65.16937243980014,10.19473477341111,False,2.5e-05,0.0006138516323872195,0.0008053507686949751,0.0001914991363077555,0.00033956699298533656,nan,0.0,True,relative_noninferiority,False,-13.582679719413461,0.0030927172256426418,0.0028710305535927746,-0.0002216866720498669,0.0009933512279890868,nan,0.0003092717225642642,True,strict_relative_improvement,False,-4.211904469483712,0.003389224300737609,0.07054808137661785,0.07579597088718594,True,0.36959751760167675,0.26687740979229413,True,0.0,0.0,True,6.8846480409213375e-09,True,-20.827227255337338,False
HalfCheetah-v5,low_frequency,router_a004_s010_constant,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,constant,0.0,0.0,0.0,16,352.9624512751068,324.17304751000324,-28.789403765103593,-151.2489814410874,89.59011557357732,7.059249025502136,False,2.5e-05,0.0006341680147088006,0.0008536236344082512,0.00021945561969945068,0.00036048762255843085,nan,0.0,True,relative_noninferiority,False,-14.419504902337234,0.0037530803756759394,0.003177226701671078,-0.0005758536740048609,0.0007879955068568585,nan,0.000375308037567594,True,strict_relative_improvement,False,-3.09959667254645,0.0037557868707523362,0.0656557062210383,0.07094999444946244,True,0.36717988666167783,0.26363993919358125,True,0.0,0.0,True,7.541479770516317e-09,True,-20.425647529175926,False
HalfCheetah-v5,high_frequency,router_a004_s010_constant,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,constant,0.0,0.0,0.0,16,379.21670318507483,314.06078716383,-65.15591602124482,-143.6184110519847,13.6150738460436,7.584334063701497,False,2.5e-05,0.000674382255616358,0.0008463847364155049,0.00017200248079914684,0.00030674306977780696,nan,0.0,True,relative_noninferiority,False,-12.269722791112278,0.0032742092663834736,0.0027154169567817185,-0.0005587923096017556,0.0005133250684453,nan,0.00032742092663834736,True,strict_relative_improvement,False,-2.567783323184755,0.003191052786579773,0.06592853782556053,0.07120806557403953,True,0.369335404698894,0.2657648538237018,True,0.0,0.0,True,7.417722221549704e-09,True,-17.93619266315551,False
HalfCheetah-v5,mixed,router_a004_s010_constant,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,constant,0.0,0.0,0.0,16,292.0489489141506,272.5278440117235,-19.521104902427076,-91.0262529388724,48.14554715376751,5.840978978283013,False,2.5e-05,0.0007180838157744653,0.0008793672142536295,0.00016128339847916418,0.00030139020581951124,nan,0.0,True,relative_noninferiority,False,-12.055608232780449,0.003556775363032783,0.003052336507845539,-0.0005044388551872438,0.0006642810398322537,nan,0.0003556775363032783,True,strict_relative_improvement,False,-2.8676496883565794,0.0035985231081507993,0.06385005135401836,0.06898911300826845,True,0.36761645982439445,0.2632738888754601,True,0.0,0.0,True,7.253718880145842e-09,True,-14.58407473769578,False
HalfCheetah-v5,ood_chirp,router_a004_s010_constant,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,constant,0.0,0.0,0.0,16,360.9898096602302,315.3842411368804,-45.60556852334974,-154.50017553741898,56.266313999747695,7.219796193204604,False,2.5e-05,0.0006805179729159551,0.0008880428659918562,0.00020752489307590105,0.00035330239964849783,nan,0.0,True,relative_noninferiority,False,-14.132095985939912,0.0037586443650328926,0.0031098296541990193,-0.0006488147108338733,0.000704876291689064,nan,0.0003758644365032893,True,strict_relative_improvement,False,-2.875347128466344,0.003668435475997948,0.06601999516484132,0.0712930265277742,True,0.36799848679537195,0.2647836551726124,True,0.0,0.0,True,7.1904231221065485e-09,True,-20.39952034696453,False
Hopper-v5,standard,router_a004_s010_constant,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,constant,0.0,0.0,0.0,16,194.86911089068286,182.80293835379467,-12.066172536888164,-29.94567518639698,5.0173743523460725,3.8973822178136572,False,2.5e-05,0.03998106919289868,0.02760987026927486,-0.012371198923623815,-0.007257240145386433,nan,0.0,True,relative_noninferiority,True,290.2896058154573,0.08334280965944099,0.051572490034403284,-0.03177031962503772,-0.018207497777489916,nan,0.0083342809659441,True,strict_relative_improvement,True,1.1846513036805673,0.05727307304503243,0.1033320321051942,0.11219000450753207,False,0.2628111233582898,0.17110485784981058,True,0.0,0.0,True,1.85512161780221e-08,True,-6.683535643367261,False
Hopper-v5,low_frequency,router_a004_s010_constant,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,constant,0.0,0.0,0.0,16,193.4918246592992,184.74886513766006,-8.742959521639134,-24.66492560478991,6.162591272330589,3.869836493185984,False,2.5e-05,0.04199970991125456,0.028377759189366025,-0.013621950721888538,-0.008146667072799565,nan,0.0,True,relative_noninferiority,True,325.8666829119826,0.08637472550070993,0.05279802541896417,-0.03357670008174576,-0.01998060113130881,nan,0.008637472550070994,True,strict_relative_improvement,True,1.3132462668312137,0.058586499404146335,0.10794766958365688,0.11541275191631255,False,0.26461531641980923,0.17048457688422514,True,0.0,0.0,True,1.878461022938754e-08,True,-5.373635074303517,False
Hopper-v5,high_frequency,router_a004_s010_constant,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,constant,0.0,0.0,0.0,16,196.98015089934,182.96620177636683,-14.013949122973164,-33.38990295024153,4.149199035339191,3.9396030179868,False,2.5e-05,0.0405744352693298,0.027822412647948457,-0.012752022621381344,-0.0074286932317810354,nan,0.0,True,relative_noninferiority,True,297.1477292712414,0.08388153597168166,0.05180775033029282,-0.03207378564138884,-0.01844392238317731,nan,0.008388153597168166,True,strict_relative_improvement,True,1.1988059910352575,0.05752769303024943,0.10509249441299842,0.11365819465863938,False,0.2667100764038458,0.17413003068111216,True,0.0,0.0,True,1.6933825412293464e-08,True,-7.475448616978748,False
Hopper-v5,mixed,router_a004_s010_constant,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,constant,0.0,0.0,0.0,16,194.28366377533285,184.47510635117095,-9.808557424161913,-26.003928321629164,5.575322268181412,3.885673275506657,False,2.5e-05,0.04233195615723566,0.02849903584133752,-0.013832920315898146,-0.00832493488593379,nan,0.0,True,relative_noninferiority,True,332.9973954373516,0.08647481085109888,0.052934696155603964,-0.033540114695494914,-0.020084740603057035,nan,0.008647481085109888,True,strict_relative_improvement,True,1.3226116837238282,0.05873105422314434,0.10735531448109387,0.11464060581170801,False,0.2675520039725872,0.17260850978141326,True,0.0,0.0,True,1.5796457421024263e-08,True,-5.69225806645786,False
Hopper-v5,ood_chirp,router_a004_s010_constant,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,constant,0.0,0.0,0.0,16,196.61844031657103,184.62669659808938,-11.991743718481619,-29.3953961806105,4.499243250667054,3.9323688063314206,False,2.5e-05,0.04135646659525822,0.028006474963377874,-0.013349991631880345,-0.007769384758059995,nan,0.0,True,relative_noninferiority,True,310.7753903223998,0.08392427003793948,0.05244495219565397,-0.03147931784228551,-0.017648423159525792,nan,0.008392427003793949,True,strict_relative_improvement,True,1.1028986193800079,0.05822114224879944,0.1079979925667761,0.11542597823783891,False,0.2628637949040922,0.16983846558620552,True,0.0,0.0,True,1.7184481807149085e-08,True,-6.47523887720847,False
