seed,scenario,total_return,sharpe,max_drawdown,turnover,promotion_count,leakage_penalty,UpperHFPower,LowerLFDrift,LowerLFDriftAbs,RawLowerLFDrift,RawLowerLFDriftAbs,plan_smoothness,plan_coeff_abs,lower_lf_effect_filter_window,lower_lf_effect_filter_gain,lower_lf_raw_recenter_gain,raw_recenter_boost_mean
31415,persistent_shift,0.24707881185280467,12.234571338751918,0.04059448036373037,7.417371957943038,38,1.1755164290156093,0.0011160327982669856,1.1744003962173424,1.748531010463356e-05,1.1744003962173424,1.748531010463356e-05,3.814219415452554e-06,0.06342453392485334,0,1.0,0.0,0.0
27182,persistent_shift,0.2720458502428067,13.835880324134784,0.021817897638892747,6.899394818444906,54,1.487623656750701,0.0010601922314237514,1.4865634645192773,3.1152727275768515e-05,1.4865634645192773,3.1152727275768515e-05,5.46173113401614e-06,0.07471567784531864,0,1.0,0.0,0.0
16180,persistent_shift,0.2797444620705154,14.500820519937735,0.02489206189384885,5.92888322408915,58,1.7459256996500325,0.0006881142911972119,1.7452375853588353,4.7672169976590976e-05,1.7452375853588353,4.7672169976590976e-05,1.5070331100724688e-05,0.09539155344042391,0,1.0,0.0,0.0
11235,persistent_shift,0.33641057452409706,15.768631590980304,0.02328905458564634,5.957958508538377,0,1.6449950677129688,0.0007374968741118003,1.644257570838857,3.62820874632944e-05,1.644257570838857,3.62820874632944e-05,5.768601507001451e-06,0.07927878616843795,0,1.0,0.0,0.0
4242,persistent_shift,0.36025402208877066,17.41158884661434,0.01622710442797415,5.575993120731489,0,1.6908001712532887,0.00081790884441932,1.6899822624088694,3.982056869211629e-05,1.6899822624088694,3.982056869211629e-05,8.359591511290462e-06,0.0833399288526158,0,1.0,0.0,0.0
