config,n_train_seeds,n_eval_seeds,n_rollouts,service_cost_mean,service_cost_ci_low,service_cost_ci_high,avg_wait_observed_min_mean,avg_wait_observed_min_ci_low,avg_wait_observed_min_ci_high,restricted_wait_horizon_min_mean,restricted_wait_horizon_min_ci_low,restricted_wait_horizon_min_ci_high,passenger_unserved_rate_mean,passenger_unserved_rate_ci_low,passenger_unserved_rate_ci_high,headway_cv_mean,headway_cv_ci_low,headway_cv_ci_high,fleet_overshoot_mean,fleet_overshoot_ci_low,fleet_overshoot_ci_high,trip_launch_rate_mean,trip_launch_rate_ci_low,trip_launch_rate_ci_high,trip_completion_rate_mean,trip_completion_rate_ci_low,trip_completion_rate_ci_high,terminal_launch_shift_mean_mean,terminal_launch_shift_mean_ci_low,terminal_launch_shift_mean_ci_high,upper_delta_mean_mean,upper_delta_mean_ci_low,upper_delta_mean_ci_high,lower_action_mean_mean,lower_action_mean_ci_low,lower_action_mean_ci_high,avg_in_vehicle_observed_min_mean,avg_in_vehicle_observed_min_ci_low,avg_in_vehicle_observed_min_ci_high,restricted_in_vehicle_horizon_min_mean,restricted_in_vehicle_horizon_min_ci_low,restricted_in_vehicle_horizon_min_ci_high,avg_total_journey_observed_min_mean,avg_total_journey_observed_min_ci_low,avg_total_journey_observed_min_ci_high,restricted_total_journey_horizon_min_mean,restricted_total_journey_horizon_min_ci_low,restricted_total_journey_horizon_min_ci_high,holding_vehicle_seconds_mean,holding_vehicle_seconds_ci_low,holding_vehicle_seconds_ci_high,holding_passenger_seconds_mean,holding_passenger_seconds_ci_low,holding_passenger_seconds_ci_high,fleet_denied_dispatch_events_mean,fleet_denied_dispatch_events_ci_low,fleet_denied_dispatch_events_ci_high,fleet_denied_trips_mean,fleet_denied_trips_ci_low,fleet_denied_trips_ci_high,fleet_readiness_delay_mean_s_mean,fleet_readiness_delay_mean_s_ci_low,fleet_readiness_delay_mean_s_ci_high,fleet_readiness_delay_max_s_mean,fleet_readiness_delay_max_s_ci_low,fleet_readiness_delay_max_s_ci_high,holding_vehicle_seconds_per_launched_trip_mean,holding_vehicle_seconds_per_launched_trip_ci_low,holding_vehicle_seconds_per_launched_trip_ci_high,holding_passenger_min_per_generated_mean,holding_passenger_min_per_generated_ci_low,holding_passenger_min_per_generated_ci_high,fleet_denied_trip_rate_mean,fleet_denied_trip_rate_ci_low,fleet_denied_trip_rate_ci_high,fleet_denied_retry_trip_seconds_mean,fleet_denied_retry_trip_seconds_ci_low,fleet_denied_retry_trip_seconds_ci_high,commanded_holding_vehicle_seconds_mean,commanded_holding_vehicle_seconds_ci_low,commanded_holding_vehicle_seconds_ci_high,commanded_holding_passenger_seconds_mean,commanded_holding_passenger_seconds_ci_low,commanded_holding_passenger_seconds_ci_high,commanded_holding_passenger_min_per_generated_mean,commanded_holding_passenger_min_per_generated_ci_low,commanded_holding_passenger_min_per_generated_ci_high,terminal_actual_dispatch_gap_mean_s_mean,terminal_actual_dispatch_gap_mean_s_ci_low,terminal_actual_dispatch_gap_mean_s_ci_high,terminal_dispatch_execution_error_mean_s_mean,terminal_dispatch_execution_error_mean_s_ci_low,terminal_dispatch_execution_error_mean_s_ci_high,terminal_dispatch_execution_error_abs_mean_s_mean,terminal_dispatch_execution_error_abs_mean_s_ci_low,terminal_dispatch_execution_error_abs_mean_s_ci_high,lower_causal_guard_enabled_mean,lower_causal_guard_enabled_ci_low,lower_causal_guard_enabled_ci_high,lower_causal_guard_active_mean_mean,lower_causal_guard_active_mean_ci_low,lower_causal_guard_active_mean_ci_high,lower_causal_guard_limit_mean_s_mean,lower_causal_guard_limit_mean_s_ci_low,lower_causal_guard_limit_mean_s_ci_high,lower_causal_guard_adjustment_mean_s_mean,lower_causal_guard_adjustment_mean_s_ci_low,lower_causal_guard_adjustment_mean_s_ci_high,upper_interval_wait_cost_sum_mean,upper_interval_wait_cost_sum_ci_low,upper_interval_wait_cost_sum_ci_high,upper_interval_onboard_cost_sum_mean,upper_interval_onboard_cost_sum_ci_low,upper_interval_onboard_cost_sum_ci_high,upper_interval_dispatch_backlog_cost_sum_mean,upper_interval_dispatch_backlog_cost_sum_ci_low,upper_interval_dispatch_backlog_cost_sum_ci_high,upper_plan_raw_delta_mean_s_mean,upper_plan_raw_delta_mean_s_ci_low,upper_plan_raw_delta_mean_s_ci_high,upper_plan_projected_delta_mean_s_mean,upper_plan_projected_delta_mean_s_ci_low,upper_plan_projected_delta_mean_s_ci_high,upper_plan_projected_delta_sum_abs_mean_s_mean,upper_plan_projected_delta_sum_abs_mean_s_ci_low,upper_plan_projected_delta_sum_abs_mean_s_ci_high,service_cost_observed_mean,service_cost_observed_ci_low,service_cost_observed_ci_high,service_cost_restricted_mean,service_cost_restricted_ci_low,service_cost_restricted_ci_high
F_freqduet_protocol_v6_main_hiro,6,4,24,0.8940010833333334,0.71835121875,1.1811196833333333,6.974666666666667,5.256661458333333,9.927723958333333,6.974666666666667,5.256661458333333,9.927723958333333,0.0,0.0,0.0,0.19652916666666664,0.1799371875,0.23741666666666664,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.2727417302798982,-0.9688533715012723,0.2363390585241728,0.0,0.0,0.0,16.500416666666666,15.472458333333336,17.300041666666665,12.584702041666667,12.436746243750001,12.675738532291666,12.584702041666667,12.436746243750001,12.675738532291666,19.559331833333335,17.8716196625,22.54732746145833,19.559331833333335,17.8716196625,22.54732746145833,85799.16666666667,80458.89583333334,89956.50520833333,2100971.6666666665,1944441.4010416665,2217983.125,246615.625,223952.79375,263491.21562499995,232.0,230.0,233.5,941.2810115416665,854.7816555437499,1005.6916627385415,2323.9166666666665,2178.8302083333333,2439.0833333333335,327.477735375,307.0950222020833,343.3454398270834,1.7429219166666667,1.6393349166666666,1.818610921875,0.8854962500000001,0.8778627499999999,0.8912215,246615.625,223952.79375,263491.21562499995,85799.16666666667,80458.89583333334,89956.50520833333,2100971.6666666665,1944441.4010416665,2217983.125,1.7429219166666667,1.6393349166666666,1.818610921875,375.5698718333333,372.41432693020835,377.30817329166666,15.569871833333332,12.414326930208334,17.308173291666666,42.72516141666667,39.44498124791666,48.911512303125,1.0,1.0,1.0,0.771658625,0.7590142916666668,0.7818196395833333,25.744154624999997,25.046040680208336,27.147664278125,28.18561704166667,27.627243583333335,28.757116539583333,0.34813354166666666,0.2622247875,0.4958056885416666,0.6292349583333333,0.6218370510416666,0.6337867552083334,3.8732907083333337,3.6060679031250005,4.0,0.008461125,-0.092706003125,0.135563875,0.0,0.0,0.0,0.0,0.0,0.0,0.8940010833333334,0.71835121875,1.1811196833333333,0.8940010833333334,0.71835121875,1.1811196833333333
F_freqduet_protocol_v6_noguard_hiro,6,4,24,0.8536092916666665,0.7122622375000002,1.092021990625,5.913041666666667,4.727833333333334,7.826333333333333,6.156666666666666,4.727833333333334,8.54227395833333,0.0009496666666666667,0.0,0.0028664999999999997,0.23320833333333332,0.2199957291666667,0.24815458333333335,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.34478371501272265,-1.0307132633587786,0.14838581424936378,0.0,0.0,0.0,10.128750000000002,7.67125,12.732531250000001,11.922368708333332,11.618083846874999,12.270738911458333,11.911153458333336,11.606831598958335,12.266111254166669,17.835518708333336,16.467682491666665,19.861226034374997,18.067832166666665,16.467682491666665,20.502709083333333,52670.0,39894.583333333336,66209.453125,1295691.0416666667,937810.078125,1715456.088541666,66551.54166666667,29246.291666666664,126394.17708333331,162.0,124.32916666666667,200.0041666666666,254.01351770833335,111.62706731875,482.4205231635416,997.5416666666666,693.4854166666667,1432.6687499999987,201.03053425,152.26940204166667,252.70783614375,1.0755834166666667,0.7797308072916666,1.4261636520833334,0.6183205416666667,0.4745386385416667,0.7633748968749998,66551.54166666667,29246.291666666664,126394.17708333331,52670.0,39894.583333333336,66209.453125,1295691.0416666667,937810.078125,1715456.088541666,1.0755834166666667,0.7797308072916666,1.4261636520833334,365.103044875,362.7731850489583,368.6883012916667,5.103044875,2.7731850489583336,8.688301291666667,41.69918320833333,33.022719242708334,49.11949621041666,0.0,0.0,0.0,0.0,0.0,0.0,10.128846166666667,7.672035208333334,12.732587192708332,0.0,0.0,0.0,0.297810125,0.23579087500000004,0.39897166666666656,0.5955577083333333,0.5803415302083333,0.613305778125,1.0619888333333332,0.4764790104166666,1.9833457083333332,0.005366750000000001,-0.08926158854166667,0.13606170833333334,0.0,0.0,0.0,0.0,0.0,0.0,0.8292564166666666,0.7122622375000002,1.0212364562499998,0.8536092916666665,0.7122622375000002,1.092021990625
F_freqduet_protocol_v6_avlcompact_hiro,6,4,24,0.8467038333333333,0.6953895166666666,1.0786596843749996,5.783375,4.600492708333333,7.700213541666667,6.040125000000001,4.600492708333333,8.461916666666667,0.001004125,0.0,0.003029875,0.23766666666666666,0.2088565625,0.2744264583333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.4255725190839694,-1.0876272264631044,0.03372296437659023,0.0,0.0,0.0,9.647499999999999,6.931583333333332,12.323802083333332,11.862359750000001,11.552802631250001,12.174639129166666,11.8505265,11.541332940624999,12.161701943749998,17.645712166666666,16.366022599999997,19.625088328125003,17.89056545833333,16.366022599999997,20.316027374999997,50168.958333333336,36045.56770833333,64087.984375,1236558.125,855040.9583333334,1615528.75,48373.083333333336,27384.254166666666,76904.45937499999,155.70833333333334,118.91458333333334,191.459375,184.63008904166668,104.52005413958332,293.52847077291665,905.6666666666666,655.3312500000001,1214.7916666666667,191.48457379166666,137.57850274583333,244.610627425,1.0267192916666665,0.7117556114583334,1.3348638572916665,0.5943065416666666,0.453872340625,0.7307608531249999,48373.083333333336,27384.254166666666,76904.45937499999,50168.958333333336,36045.56770833333,64087.984375,1236558.125,855040.9583333334,1615528.75,1.0267192916666665,0.7117556114583334,1.3348638572916665,364.3858974583333,362.33910253854157,367.12055698541667,4.385897458333333,2.3391025385416673,7.120556985416666,38.01745775,30.466969115624998,44.94274453333333,0.0,0.0,0.0,0.0,0.0,0.0,9.647876583333334,6.931839856250002,12.324612499999997,0.0,0.0,0.0,0.291413,0.22941464895833336,0.39283627291666656,0.5925262916666667,0.5770668020833334,0.6080852354166667,0.7880918750000001,0.44614300937499995,1.2529235614583334,0.01960820833333334,-0.07084016666666666,0.14876042604166662,0.0,0.0,0.0,0.0,0.0,0.0,0.8210351666666668,0.6953895166666666,1.0035786666666666,0.8467038333333333,0.6953895166666666,1.0786596843749996
F_freqduet_protocol_v6_avlcompact_w2_hiro,6,4,24,0.813712625,0.6770017468749999,1.0452196260416666,5.681791666666666,4.57245,7.469541666666666,5.971541666666667,4.57245,8.345571875000001,0.001130625,0.0,0.00339775,0.21089583333333337,0.19276583333333333,0.22521666666666665,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.30661577608142493,-1.0318225190839696,0.19275604325699733,0.0,0.0,0.0,10.040416666666667,8.656635416666667,11.481385416666665,11.846976083333333,11.704437916666668,12.001457791666667,11.833592541666667,11.690583321875,11.99118925,17.52876525,16.430151632291665,19.314903445833334,17.805171458333334,16.430151632291665,20.13842665625,52214.791666666664,45018.541666666664,59707.35416666666,1229528.3333333333,1071387.84375,1408086.958333333,43800.541666666664,32249.458333333336,58246.86562499999,163.25,140.91562499999998,186.62604166666665,167.17764,123.08953562500002,222.31628113645831,819.6666666666666,669.7375,993.75,199.29309791666665,171.82649475208333,227.89066475520832,1.0217079166666667,0.8828747083333334,1.1728036291666664,0.6230916666666667,0.5378460625000001,0.7123133041666666,43800.541666666664,32249.458333333336,58246.86562499999,52214.791666666664,45018.541666666664,59707.35416666666,1229528.3333333333,1071387.84375,1408086.958333333,1.0217079166666667,0.8828747083333334,1.1728036291666664,363.408814125,362.5201922885417,364.6253606520834,3.4088141250000006,2.5201922885416668,4.625360652083333,36.418094375,30.40336479791667,42.072352708333334,0.0,0.0,0.0,0.0,0.0,0.0,10.041306041666667,8.657411848958333,11.48218342395833,0.0,0.0,0.0,0.286754125,0.228007503125,0.38272846145833334,0.5916797083333334,0.584529115625,0.5995596322916666,0.7135963333333333,0.5254066885416667,0.9489552218749999,0.017764583333333334,-0.08899441666666667,0.16444093124999987,0.0,0.0,0.0,0.0,0.0,0.0,0.784733625,0.6770017468749999,0.9578887697916666,0.813712625,0.6770017468749999,1.0452196260416666
F_freqduet_protocol_v6_avlcompact_w4_hiro,6,4,24,0.8119070416666666,0.6828520177083333,1.0383634322916666,5.5804583333333335,4.574788541666666,7.290198958333334,5.8745,4.574788541666666,8.173708333333332,0.0011462083333333333,0.0,0.0034386250000000007,0.21872499999999997,0.20238750000000003,0.23486739583333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.3070928753180661,-1.0063613231552162,0.20722805343511444,0.0,0.0,0.0,8.216666666666667,7.1510625,9.52875,11.653893333333334,11.534616430208334,11.812232041666666,11.6405125,11.52242775,11.798871575000001,17.234369541666666,16.219138078124995,18.95852321875,17.515037416666665,16.219138078124995,19.80016741875,42727.708333333336,37185.171875,49545.307291666664,993359.5833333334,864303.0677083333,1182378.9322916663,31094.375,24538.625,38903.083333333336,134.625,115.290625,157.7114583333333,118.68082066666666,93.65887408333333,148.48505095833335,715.7083333333334,622.496875,811.5020833333333,163.08285625,141.92813697291666,189.10422624687502,0.8254828333333332,0.7114963354166668,0.9876558822916666,0.5138358749999999,0.4400405270833333,0.6019521708333331,31094.375,24538.625,38903.083333333336,42727.708333333336,37185.171875,49545.307291666664,993359.5833333334,864303.0677083333,1182378.9322916663,0.8254828333333332,0.7114963354166668,0.9876558822916666,362.45897429166666,361.98765636979175,363.06121766666666,2.458974291666667,1.9876563697916667,3.0612176666666664,32.06187366666666,27.199589791666668,35.52520661875,0.0,0.0,0.0,0.0,0.0,0.0,8.216867,7.150994564583333,9.527943779166666,0.0,0.0,0.0,0.2816484166666667,0.22814382083333334,0.373584534375,0.5820255833333333,0.5761215000000001,0.589943475,0.506588125,0.399782125,0.6338072083333334,0.0022700416666666667,-0.10777201458333334,0.14538361874999986,0.0,0.0,0.0,0.0,0.0,0.0,0.782502125,0.6828520177083333,0.9501494697916667,0.8119070416666666,0.6828520177083333,1.0383634322916666
