comparison,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,sign_p_value,status
afc_daily_profile_vs_fourier,mse,afc_daily_profile,fourier,decrease,24,-7186235.182789865,-11227317.017685505,-4426375.239262286,7186235.182789865,4302324.061080188,10841796.878497355,1.0,1.1920928955078125e-07,supported
afc_daily_profile_vs_fourier,mae,afc_daily_profile,fourier,decrease,24,-1487.0750954324758,-1861.9975292413699,-1211.7628861938194,1487.0750954324758,1202.7411859291133,1831.995933466178,1.0,1.1920928955078125e-07,supported
afc_daily_profile_vs_fourier,poisson_nll_no_const,afc_daily_profile,fourier,decrease,24,-6612.499261306569,-8186.386690173029,-5459.888993164063,6612.499261306569,5409.274600267328,8028.920684335092,1.0,1.1920928955078125e-07,supported
dynamic_harmonic_nb_vs_fourier,mse,dynamic_harmonic_nb,fourier,decrease,24,16121.734715965664,6049.562880413584,30336.582843573877,-16121.734715965664,-30586.218060424988,-5768.623828906704,0.08333333333333333,3.5881996154785156e-05,not_supported
dynamic_harmonic_nb_vs_fourier,mae,dynamic_harmonic_nb,fourier,decrease,24,3.88590028156284,2.7103747004281002,5.366576703768015,-3.88590028156284,-5.392245648300982,-2.6566716536458097,0.0,1.1920928955078125e-07,not_supported
dynamic_harmonic_nb_vs_fourier,poisson_nll_no_const,dynamic_harmonic_nb,fourier,decrease,24,168.75362266682833,98.33790110455288,252.45354136196772,-168.75362266682833,-257.90659374828226,-93.42315510766481,0.125,0.0002771615982055664,not_supported
ema_vs_fourier,mse,ema,fourier,decrease,24,-64979.24311323361,-91793.58605351226,-44541.02524021776,64979.24311323361,43774.421102011744,92002.67796849631,1.0,1.1920928955078125e-07,supported
ema_vs_fourier,mae,ema,fourier,decrease,24,0.8683092055986682,0.18664181833668986,1.4558091032939875,-0.8683092055986682,-1.4768779721688983,-0.09135428845889094,0.25,0.022655844688415527,not_supported
ema_vs_fourier,poisson_nll_no_const,ema,fourier,decrease,24,-498.01813659508775,-584.3149798227176,-422.2208126906787,498.01813659508775,421.08237513729534,582.5838630606897,1.0,1.1920928955078125e-07,supported
