seed,scenario,total_reward,reward_mean,wait_proxy,headway_cv,hold_mean,promotion_count,leakage_penalty,UpperHFPower,LowerLFDrift,RawLowerLFDrift,plan_smoothness,plan_coeff_abs,wait_low_share,wait_high_share,wait_attr_penalty,wait_board_credit,wait_credit_relief,lower_lf_effect_filter_window,lower_lf_effect_filter_gain,upper_decision_count,promotion_replan_count
101,persistent_shift,-1076.880003825414,-4.487000015939225,4.1997557725617245,0.07100788831469294,7.559172519023121,0,0.001571576958717819,0.001571576958717819,0.0,0.999999964561403,0.0007237802082363258,7.760989369975395,0.9512666949247074,0.04873330507529251,0.0,0.0,0.0,12,1.0,240,0
131,persistent_shift,-1077.028891944557,-4.487620383102321,4.200597627586711,0.07088757519415236,7.559172519023121,0,0.0015659520465998123,0.0015659520465998123,0.0,0.999999964561403,0.000819257293757238,7.9189526781157,0.9690744168672166,0.030925583132783447,0.0,0.0,0.0,12,1.0,240,0
151,persistent_shift,-1076.3862915368782,-4.484942881403659,4.199457894816228,0.07043106916571434,7.559172519023121,0,0.0015485095720089873,0.0015485095720089873,0.0,0.999999964561403,0.0007221137799885489,7.752314127355487,0.9500863015422231,0.04991369845777701,0.0,0.0,0.0,12,1.0,240,0
181,persistent_shift,-1082.1890347819153,-4.509120978257981,4.200929331422391,0.0779882888479785,7.559172519023121,0,0.0015661254000312829,0.0015661254000312829,0.0,0.999999964561403,0.0007805754067491417,7.854417305971913,0.9554652448234985,0.044534755176501586,0.0,0.0,0.0,12,1.0,240,0
211,persistent_shift,-1084.7643381065575,-4.519851408777323,4.19895917129891,0.082214813723022,7.559172519023121,0,0.0015496855011492405,0.0015496855011492405,0.0,0.999999964561403,0.0007413446241511087,7.797813543722888,0.9612660326642569,0.038733967335743115,0.0,0.0,0.0,12,1.0,240,0
