variant,total_reward_mean,reward_mean_mean,wait_proxy_mean,headway_cv_mean,hold_mean_mean,promotion_count_mean,leakage_penalty_mean,UpperHFPower_mean,LowerLFDrift_mean,LowerLFDriftAbs_mean,RawLowerLFDrift_mean,RawLowerLFDriftAbs_mean,plan_smoothness_mean,plan_coeff_abs_mean,wait_low_share_mean,wait_high_share_mean,wait_attr_penalty_mean,wait_board_credit_mean,wait_credit_relief_mean,promotion_recovery_relief_mean,promotion_gate_value_mean,lower_lf_effect_filter_window_mean,lower_lf_effect_filter_gain_mean,lower_lf_raw_recenter_gain_mean,raw_recenter_reduction_mean_mean,upper_decision_count_mean,promotion_replan_count_mean,n,delta_reward_vs_interval,delta_wait_vs_interval,delta_replans_vs_interval,delta_raw_lower_lf_abs_vs_interval
interval_only,-429.48774044121467,-4.4738306295959855,4.1236556395464445,0.11148238217718412,3.931960879497084,25.0,1.0582578426870013,0.0023828563928740528,1.0558749862941272,7.570937981611265e-05,1.1345825379698076,0.008853338534839873,0.02009440686169728,0.4905864873843207,0.9536990575761936,0.04630094242380642,0.0,0.0,0.1258689727454479,0.0,0.0,12.0,1.0,1.0,3.543664204866876,12.0,0.0,10,0.0,0.0,0.0,0.0
deterministic_forced,-428.8467796541996,-4.467153954731246,4.114780841641782,0.1121954353100603,3.946701789820827,25.0,1.0710105981021814,0.005890910339971843,1.0651196877622096,7.467745126848595e-05,1.1372770892256112,0.008948127123528507,0.012232880118472747,0.46986599211274555,0.9536990575761936,0.04630094242380642,0.0,0.0,0.12086190209435159,0.007010919958618288,0.0,12.0,1.0,1.0,3.560907866411573,34.4,25.0,10,0.006676674864739773,-0.008874797904662834,25.0,9.478858868863446e-05
learned_gate,-429.0409710261873,-4.469176781522785,4.115794004609873,0.11265312434008426,3.855850973164775,25.0,1.0671971127643174,0.005908145272491662,1.0612889674918253,7.310809199567703e-05,1.1416704566802323,0.008577565875460182,0.02136713178104274,0.4552465578859758,0.9536990575761936,0.04630094242380642,0.0,0.0,0.12330165685051042,0.0068882919568634985,0.6779285116836317,12.0,1.0,1.0,3.481741755450583,30.0,20.1,10,0.004653848073200351,-0.007861634936571882,20.1,-0.00027577265937969025
