check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,sign_p_value,status
learned_gate_vs_interval_reward_mean,reward_mean,learned_gate,interval_only,increase,10,0.004653848073200795,0.0016189522844217929,0.007562367055446361,0.004653848073200795,0.0018948725265907362,0.007480071818040604,0.7,0.34375,supported
learned_gate_vs_interval_wait_proxy,wait_proxy,learned_gate,interval_only,decrease,10,-0.00786163493657197,-0.009634420896740811,-0.006195855116323389,0.00786163493657197,0.006355749720244377,0.009645134594436456,1.0,0.001953125,supported
learned_gate_vs_interval_RawLowerLFDriftAbs,RawLowerLFDriftAbs,learned_gate,interval_only,decrease,10,-0.00027577265937969286,-0.00029593533384446796,-0.0002540575532143807,0.00027577265937969286,0.00025448565436201183,0.000296624643108806,1.0,0.001953125,supported
learned_gate_vs_interval_promotion_replan_count,promotion_replan_count,learned_gate,interval_only,increase,10,20.1,14.9,25.5,20.1,15.2,25.5,1.0,0.001953125,supported
