seed,scenario,total_reward,reward_mean,wait_proxy,headway_cv,hold_mean,promotion_count,leakage_penalty,UpperHFPower,LowerLFDrift,LowerLFDriftAbs,RawLowerLFDrift,RawLowerLFDriftAbs,plan_smoothness,plan_coeff_abs,wait_low_share,wait_high_share,wait_attr_penalty,wait_board_credit,wait_credit_relief,promotion_recovery_relief,promotion_gate_value,lower_lf_effect_filter_window,lower_lf_effect_filter_gain,lower_lf_raw_recenter_gain,raw_recenter_reduction_mean,upper_decision_count,promotion_replan_count,real_demand_trace,demand_source,source,variant,control_objective
101,real_afc,-233.2784399006005,-4.859967497929177,4.565156708064875,0.08800501463595727,7.6989364891076235,34,1.0579221161977173,0.0641826570440011,0.9937394591537161,0.02909177981085187,0.9937394591537161,0.02909177981085187,0.0,0.0,0.6088322046280631,0.39116779537193686,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,48,0,True,real_trace,afc,base_real_ema,-5.1990622878751465
131,real_afc,-233.8925798059949,-4.872762079291561,4.5706173671034245,0.09044935744580328,7.699159962681648,34,1.0579074959624997,0.06417503296729993,0.9937324629951997,0.02909327764328537,0.9937324629951997,0.02909327764328537,0.0,0.0,0.6088322046280631,0.39116779537193686,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,48,0,True,real_trace,afc,base_real_ema,-5.21207697064213
151,real_afc,-232.414065823564,-4.841959704657583,4.546828860197389,0.08811608988159636,7.695643703851052,34,1.0562238898153624,0.06279857959076034,0.993425310224602,0.029057702174114974,0.993425310224602,0.029057702174114974,0.0,0.0,0.6269797311742401,0.37302026882575995,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,48,0,True,real_trace,afc,base_real_ema,-5.1802633209219575
101,real_afc,-173.73553266676896,-3.61949026389102,3.3252346198408715,0.09051581594522602,3.875428974532868,34,0.5759262299564056,0.008463077845430999,0.5674631521109746,0.00020276330579953715,1.220747290672845,0.009698436615442028,0.021651157402084276,0.646673965758603,0.8929139767469111,0.10708602325308884,0.017075070922415392,0.009868590606076555,2.39574967487205,0.0,0.0,12,1.0,1.0,3.121615655468131,36,34,True,real_trace,afc,full_real_freqhrl,-3.8366509905988613
131,real_afc,-174.26671490769164,-3.6305565605769092,3.327953860460853,0.09329070878842831,3.8776026840238025,34,0.5731732041527766,0.008462926661418013,0.5647102774913586,0.00020150742089693085,1.220110964498979,0.009703067741665695,0.021648341053914097,0.6466907060532129,0.8929139767469111,0.10708602325308884,0.017088753620752763,0.009868590606076555,2.3984577784619683,0.0,0.0,12,1.0,1.0,3.1233464869188183,36,34,True,real_trace,afc,full_real_freqhrl,-3.84762756403489
151,real_afc,-173.3278099245273,-3.6109960400943186,3.3117956462332567,0.09214111081441922,3.882695008406324,34,0.5596826171077212,0.008621835858809164,0.551060781248912,0.0002044769963562549,1.2338150958145542,0.009867637905583577,0.021182067032947716,0.6699377097948287,0.8947036168552045,0.10529638314479556,0.01697496225960734,0.00972868087542732,2.3532529778250257,0.0,0.0,12,1.0,1.0,3.133570763144886,36,34,True,real_trace,afc,full_real_freqhrl,-3.8263796785276254
101,real_apc,-221.78597892640624,-4.620541227633463,4.394741369754588,0.06518132105873622,7.563973675666769,33,1.002216222631736,0.00601259002754658,0.9962036326041893,0.028148063361390002,0.9962036326041893,0.028148063361390002,0.0,0.0,0.8123111008053613,0.18768889919463871,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,48,0,True,real_trace,apc,base_real_ema,-4.95166690978865
131,real_apc,-232.90127818077104,-4.852109962099397,4.666441579684506,0.05182208323286915,7.550533179070825,32,1.0132369865862647,0.01471471962865037,0.9985222669576144,0.02811466668631807,0.9985222669576144,0.02811466668631807,0.0,0.0,0.5689993941586305,0.4310006058413695,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,48,0,True,real_trace,apc,base_real_ema,-5.1941547384340945
151,real_apc,-217.54003042356788,-4.532083967157664,4.333550032905781,0.056063310570701276,7.5694229846120855,32,1.0142080926379868,0.013010810025657824,1.001197282612329,0.028329081091983576,1.001197282612329,0.028329081091983576,0.0,0.0,0.8257728456859819,0.17422715431401817,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,48,0,True,real_trace,apc,base_real_ema,-4.861215980929003
101,real_apc,-171.67337582104807,-3.5765286629385016,3.352703369262335,0.06498842580331377,4.044836655583514,34,0.8851159563981014,0.00763938043479255,0.8774765759633089,0.00017920306727434328,1.2374834009207192,0.010447489997801965,0.01382828049438864,0.5266835996301013,0.9321656221721505,0.0678343778278495,0.01738212959247037,0.004701459948579953,1.1817605299960225,0.0,0.0,12,1.0,1.0,3.2579178200615337,36,34,True,real_trace,apc,full_real_freqhrl,-3.8212832903418947
