ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy,w_wait,w_fleet,w_cv
0,Warmup,6.5,3.6,6.345,15,0.6237,-2888.536,1092.882,4971,0,10.43,36.44,-59.94,59.96,-0.5811,0.3166,-2.2037558555603027,3.0649526119232178,30.352832794189453,19.305286407470703,2.9167673587799072,-0.4852266013622284,0.6895267963409424,7.8936614990234375,15.652667045593262,508.9698791503906,0.1,1.0030022859573364,4971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.430539576735425,36.44492833139588,262,12.456277323788719,6.933084913861681,0.5588735353024091,0.5123718494840551,0.3000860608095903,0.18754208970635455,0.1629,9.6,0.0526,2.995,0.5,0.3,0.2
30,BiLevel,8.0,0.9,8.212,15,0.5772,-5042.985,2951.604,4970,262,41.87,29.63,-60.0,60.0,-1.0147,0.3391,-5.653195381164551,2.216188907623291,47.28266525268555,36.48283386230469,2.199439764022827,-0.36092036962509155,0.8770565390586853,9.749896049499512,31.314586639404297,1161.6016845703125,0.1,1.0048623085021973,9941,7.39,48.24,-104.07,104.82,-2.2622,0.5,-1.8465704917907715,1.0375672578811646,14.625287055969238,4.755251884460449,1.161968469619751,3.9369049072265625,5.3833208084106445,38.968448638916016,0.05,262,41.86613989708349,29.63154631546352,262,42.44188702733893,46.817708142180194,0.8212540056151713,0.5253507624736466,0.296872129544386,0.1777771079819673,0.385,10.2,0.0529,2.983,0.512,0.3,0.188
35,BiLevel,7.1,0.7,5.648,15,0.3875,-3664.656,1747.253,4969,262,19.4,29.7,-60.0,59.55,-0.7375,0.3693,-3.9656009674072266,1.373324990272522,33.69139099121094,23.173688888549805,1.4335215091705322,-0.02164214290678501,0.20609596371650696,6.710575580596924,33.91997146606445,349.0381164550781,0.1,1.006604552268982,14910,-2.81,45.5,-108.58,100.89,-1.7648,0.5,-1.6315230131149292,0.5112212300300598,12.544000625610352,2.8171277046203613,0.5114818811416626,2.671393394470215,3.543369770050049,16.13663101196289,0.05,524,19.399003889641847,29.696730318786326,262,26.52469978348205,17.502643260359765,0.5231307006700824,0.5295630415198291,0.29835679189595804,0.17208016658421285,0.4409,10.85,0.0533,2.953,0.525,0.297,0.178
