Date,Close
2016-05-31,101.14261627197266
2016-06-01,101.82861328125
2016-06-02,102.61138153076172
2016-06-03,101.99574279785156
2016-06-06,103.0950927734375
2016-06-07,103.3941421508789
2016-06-08,104.15928649902344
2016-06-09,103.49089813232422
2016-06-10,102.08368682861328
2016-06-13,100.97550964355469
2016-06-14,100.68528747558594
2016-06-15,100.75563049316406
2016-06-16,100.74685668945312
2016-06-17,100.31588745117188
2016-06-20,101.40644073486328
2016-06-21,101.21295928955078
2016-06-22,100.81719207763672
2016-06-23,102.74332427978516
2016-06-24,98.83831787109375
2016-06-27,95.59296417236328
2016-06-28,97.07054901123047
2016-06-29,99.27803039550781
2016-06-30,101.1250228881836
2016-07-01,101.48561096191406
2016-07-05,99.99046325683594
2016-07-06,100.71649169921875
2016-07-07,100.92874145507812
2016-07-08,103.28106689453125
2016-07-11,104.47490692138672
2016-07-12,105.87215423583984
2016-07-13,105.45650482177734
2016-07-14,105.56263732910156
2016-07-15,105.8544692993164
2016-07-18,106.03135681152344
2016-07-19,105.5007553100586
2016-07-20,106.19054412841797
2016-07-21,105.68644714355469
2016-07-22,106.47349548339844
2016-07-25,106.31431579589844
2016-07-26,106.82722473144531
2016-07-27,107.1279067993164
2016-07-28,106.853759765625
2016-07-29,107.06600189208984
2016-08-01,107.1544418334961
2016-08-02,105.6599349975586
2016-08-03,106.51771545410156
2016-08-04,106.61500549316406
2016-08-05,108.15371704101562
2016-08-08,108.10067749023438
2016-08-09,108.21565246582031
2016-08-10,107.43743133544922
2016-08-11,107.9503402709961
2016-08-12,108.05646514892578
2016-08-15,109.12650299072266
2016-08-16,108.2421646118164
2016-08-17,107.92381286621094
2016-08-18,108.71971893310547
2016-08-19,108.71971893310547
2016-08-22,108.96727752685547
2016-08-23,109.72784423828125
2016-08-24,108.83467864990234
2016-08-25,109.04691314697266
2016-08-26,108.82583618164062
2016-08-29,109.39180755615234
2016-08-30,109.59520721435547
2016-08-31,108.9761734008789
2016-09-01,109.0557632446289
2016-09-02,110.10809326171875
2016-09-06,110.21422576904297
2016-09-07,110.90398406982422
2016-09-08,110.68292999267578
2016-09-09,107.22517395019531
2016-09-12,108.71971893310547
2016-09-13,106.63268280029297
2016-09-14,106.65037536621094
2016-09-15,107.92381286621094
2016-09-16,107.76463317871094
2016-09-19,108.48094177246094
2016-09-20,108.02108764648438
2016-09-21,109.58636474609375
2016-09-22,111.16046905517578
2016-09-23,110.37340545654297
2016-09-26,109.27735137939453
2016-09-27,109.72075653076172
2016-09-28,110.56317901611328
2016-09-29,108.94923400878906
2016-09-30,110.1463851928711
2016-10-03,109.800537109375
2016-10-04,109.25959014892578
2016-10-05,109.91582489013672
2016-10-06,109.800537109375
2016-10-07,108.92266082763672
2016-10-10,110.2261962890625
2016-10-11,108.21319580078125
2016-10-12,108.1245346069336
2016-10-13,107.22891235351562
2016-10-14,106.79436492919922
2016-10-17,106.67021179199219
2016-10-18,107.2821044921875
2016-10-19,107.73435974121094
2016-10-20,107.41511535644531
2016-10-21,107.36192321777344
2016-10-24,108.04473876953125
2016-10-25,107.23776245117188
2016-10-26,106.17364501953125
2016-10-27,104.95874786376953
2016-10-28,104.66612243652344
2016-10-31,105.0828857421875
2016-11-01,103.79708099365234
2016-11-02,102.47576904296875
2016-11-03,101.97917938232422
2016-11-04,102.6353988647461
2016-11-07,105.14497375488281
2016-11-08,105.41986083984375
2016-11-09,108.66546630859375
2016-11-10,110.403564453125
2016-11-11,112.93976593017578
2016-11-14,114.5270767211914
2016-11-15,114.88179016113281
2016-11-16,114.8729019165039
2016-11-17,115.54683685302734
2016-11-18,116.15873718261719
2016-11-21,116.69967651367188
2016-11-22,117.76377868652344
2016-11-23,118.49980926513672
2016-11-25,118.8900146484375
2016-11-28,117.34698486328125
2016-11-29,117.2849349975586
2016-11-30,116.70853424072266
2016-12-01,116.14099884033203
2016-12-02,116.07888793945312
2016-12-05,118.07417297363281
2016-12-06,119.35111236572266
2016-12-07,120.51277923583984
2016-12-08,122.41049194335938
2016-12-09,122.64990234375
2016-12-12,121.3552474975586
2016-12-13,121.36408996582031
2016-12-14,119.84773254394531
2016-12-15,120.7433853149414
2016-12-16,120.52169036865234
2016-12-19,121.31092834472656
2016-12-20,122.33958435058594
2016-12-21,121.54142761230469
2016-12-22,120.49341583251953
2016-12-23,121.13450622558594
2016-12-27,121.67767333984375
2016-12-28,120.43106842041016
2016-12-29,120.53790283203125
2016-12-30,120.07488250732422
2017-01-03,120.67150115966797
2017-01-04,122.68390655517578
2017-01-05,121.2680892944336
2017-01-06,120.8228530883789
2017-01-09,120.03038787841797
2017-01-10,121.17902374267578
2017-01-11,121.39274597167969
2017-01-12,120.45777893066406
2017-01-13,121.3304214477539
2017-01-17,119.68315124511719
2017-01-18,120.07488250732422
2017-01-19,119.09542083740234
2017-01-20,119.70983123779297
2017-01-23,119.21118927001953
2017-01-24,121.0365982055664
2017-01-25,122.1763687133789
2017-01-26,121.68659210205078
2017-01-27,121.2680892944336
2017-01-30,119.57624816894531
2017-01-31,120.41329193115234
2017-02-01,120.34204864501953
2017-02-02,120.03929901123047
2017-02-03,121.87359619140625
2017-02-06,120.95645141601562
2017-02-07,120.42221069335938
2017-02-08,120.20845794677734
2017-02-09,121.90030670166016
2017-02-10,122.82636260986328
2017-02-13,123.14694213867188
2017-02-14,123.55647277832031
2017-02-15,124.29559326171875
2017-02-16,123.94827270507812
