ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy,w_wait,w_fleet,w_cv,N_fleet,fleet_overshoot
78,BiLevel,53.3,2.3,6.093,12,0.656,-5100.919,3294.16,4971,262,-20.87,41.7,-59.89,59.92,-1.0261,0.3807,14.155553817749023,1.1522777080535889,21.448440551757812,12.38044261932373,1.315609097480774,14.454346656799316,5.395957946777344,7.0658369064331055,5.453854560852051,1600.6534423828125,0.1,1.2902917861938477,392655,-10.97,30.52,-116.93,72.87,-2.3084,0.5,-3.689849376678467,0.16611342132091522,6.875070571899414,1.1338090896606445,0.16016487777233124,4.041303634643555,0.8521832823753357,10.463644027709961,0.05,12838,-20.873852608480373,41.69880610682972,262,-19.76934795881572,-18.419082458395707,0.7323189862509198,0.6812454316452253,0.23605237053266132,0.08270219782211335,1.0817,14.57,0.2061,1.293,0.533,0.402,0.065,9,3
79,BiLevel,46.9,2.0,5.161,15,0.547,-3918.69,2174.638,4972,262,-26.65,38.92,-59.94,59.77,-0.7882,0.4424,12.450918197631836,1.185455322265625,26.868152618408203,17.830678939819336,1.263023018836975,14.254039764404297,10.031923294067383,8.267047882080078,20.119165420532227,1275.29052734375,0.1,1.2941579818725586,397627,-10.43,30.95,-112.48,52.88,-1.001,0.5,-4.4402947425842285,0.17638176679611206,6.463061332702637,0.7652655839920044,0.16465327143669128,4.812961578369141,0.9681345224380493,3.161001205444336,0.05,13100,-26.653191973641814,38.91944140414458,262,-23.441086592799735,-16.999721731637653,0.7466202010487355,0.6806239950019122,0.23681334561964001,0.08256265937844776,1.1928,15.39,0.1583,1.403,0.573,0.358,0.07,15,0
80,BiLevel,51.2,2.3,4.425,14,0.5523,-3580.444,1893.968,4970,262,-32.34,36.51,-59.99,59.63,-0.7204,0.4368,12.410442352294922,1.0905723571777344,19.010406494140625,10.021636962890625,0.9561342000961304,13.229609489440918,5.7066545486450195,7.447505950927734,7.510779857635498,723.8353881835938,0.1,1.2979710102081299,402597,-16.82,33.74,-114.7,51.63,-1.6944,0.5,-4.278585433959961,0.16474610567092896,6.5036845207214355,0.8510652780532837,0.1562402844429016,4.62811279296875,0.6538957953453064,9.846677780151367,0.05,13362,-32.335000565077664,36.506458794853074,262,-30.790065529471946,-23.51162834006705,0.7802991403494911,0.6803643967773353,0.23709201957243953,0.08254358365022514,1.3151,16.27,0.116,1.283,0.621,0.304,0.075,11,3
81,BiLevel,52.5,2.0,4.593,16,0.316,-3683.413,1983.172,4972,262,-30.19,37.45,-59.97,59.86,-0.7408,0.4424,12.178478240966797,1.1372355222702026,17.946279525756836,8.973855972290039,1.0593466758728027,14.39411449432373,5.798778533935547,8.744733810424805,8.78922176361084,1024.4307861328125,0.1,1.301717758178711,407569,-12.28,28.17,-104.57,56.59,-1.5219,0.5,-3.993980884552002,0.2553286850452423,6.31624698638916,0.7067155241966248,0.1663767397403717,4.519258499145508,0.39900827407836914,4.865286827087402,0.05,13624,-30.193072474044648,37.4520361170089,262,-39.70845202552645,-23.72809918805173,0.7648379584098194,0.6791968575546701,0.23859304923528393,0.08221009321004609,1.3017,16.37,0.1186,1.128,0.664,0.255,0.081,13,3
82,BiLevel,41.9,2.2,4.572,15,0.3252,-3521.213,1888.437,4971,262,-30.55,35.62,-59.96,59.59,-0.7084,0.4456,13.0089750289917,1.2620251178741455,24.41644287109375,15.454452514648438,1.1974167823791504,15.55672550201416,7.680507659912109,9.934555053710938,6.7916107177734375,1329.811767578125,0.1,1.3054250478744507,412540,-10.49,30.46,-105.58,91.78,-1.5683,0.5,-4.143446922302246,0.2566135823726654,6.411769866943359,0.8454047441482544,0.19415390491485596,4.6698384284973145,0.2255411148071289,6.196497917175293,0.05,13886,-30.554116165188628,35.621957613255624,262,-28.435978642890326,-30.278628003910974,0.7416670801834371,0.6785711954518929,0.23947481673571971,0.0819539878123873,1.2967,15.53,0.1622,1.205,0.66,0.26,0.08,12,3
83,BiLevel,42.4,1.9,4.256,15,0.5574,-3593.262,1905.133,4971,262,-32.73,35.0,-59.97,59.65,-0.7228,0.4352,10.996129989624023,1.1856248378753662,19.52935791015625,10.590376853942871,1.1456406116485596,13.704880714416504,6.011544227600098,9.312176704406738,8.568571090698242,740.5687255859375,0.1,1.3091273307800293,417511,-13.13,31.54,-106.57,97.83,-1.1964,0.5,-3.9704790115356445,0.22183243930339813,6.501833438873291,0.9790245294570923,0.17279759049415588,4.431650638580322,0.4095103144645691,24.62485122680664,0.05,14148,-32.72802823743148,35.000003309589125,262,-37.053011134423706,-26.45544248105664,0.7615491743810481,0.6777497984239492,0.2403613874752389,0.08188881410081189,1.2276,15.9,0.1446,1.127,0.615,0.31,0.074,13,2
84,BiLevel,56.0,2.0,8.51,13,0.3155,-3779.246,2082.094,4970,262,-29.82,36.36,-59.97,59.76,-0.7604,0.4368,11.909772872924805,0.9275521039962769,18.158828735351562,9.262877464294434,0.9355243444442749,14.27196216583252,5.687875747680664,8.957465171813965,6.25096321105957,452.455810546875,0.1,1.3127390146255493,422481,-15.09,33.56,-106.52,91.63,-2.4731,0.5,-4.194880485534668,0.15049123764038086,6.382382869720459,0.8996729254722595,0.16785454750061035,4.510342597961426,0.30190715193748474,11.405312538146973,0.05,14410,-29.82442351984426,36.36499939971537,262,-29.831724354467894,-25.185700150226292,0.7433094576853575,0.6791915584213979,0.23930062646328612,0.08150781511531599,1.089,15.57,0.1611,1.132,0.632,0.291,0.076,10,3
85,BiLevel,45.4,1.8,5.823,12,0.7349,-4089.407,2306.197,4970,262,-31.45,35.35,-59.95,59.83,-0.8228,0.4346,13.123517990112305,1.0513962507247925,18.66181755065918,9.778141975402832,1.0493748188018799,14.900697708129883,5.609201908111572,8.96019172668457,3.253922700881958,642.4938354492188,0.1,1.316390037536621,427451,-15.44,33.94,-108.78,58.15,-2.168,0.5,-3.9193122386932373,0.18517650663852692,6.008997917175293,0.5643835067749023,0.17910249531269073,4.308187007904053,1.5828990936279297,10.0802001953125,0.05,14672,-31.448893631507513,35.35084709529221,262,-37.04473335052792,-26.56340420010843,0.7493494218799488,0.6802559243669063,0.23808048734628764,0.08166358828680606,0.8662,14.76,0.1769,1.377,0.617,0.309,0.074,9,3
86,BiLevel,44.7,1.8,3.979,13,0.5176,-3622.53,1985.597,4970,262,-28.92,35.58,-59.97,59.39,-0.7289,0.4388,11.313375473022461,1.1738935708999634,18.23777198791504,9.3789701461792,1.0448484420776367,14.238540649414062,8.460919380187988,9.783102989196777,8.531259536743164,1168.354248046875,0.1,1.3199619054794312,432421,-13.37,30.14,-106.45,60.41,-1.7108,0.5,-4.750885009765625,0.2169221192598343,6.152925491333008,0.7460328936576843,0.18928220868110657,5.199204444885254,0.7999977469444275,6.69297981262207,0.05,14934,-28.9157155479921,35.57986085252202,262,-35.82111195388593,-31.02721822450036,0.7152310978461757,0.6804418210687342,0.23784143578859593,0.0817167431426699,0.8726,16.31,0.1072,1.074,0.602,0.326,0.072,10,3
87,BiLevel,45.5,1.9,5.414,14,0.3311,-3534.886,1856.709,4970,262,-27.24,36.36,-59.96,59.77,-0.7112,0.4327,12.291923522949219,1.157001256942749,17.34604263305664,8.510902404785156,1.0555949211120605,15.420653343200684,4.481103897094727,10.188267707824707,4.091977596282959,1624.6722412109375,0.1,1.3235156536102295,437391,-12.05,33.78,-112.65,107.32,-1.7776,0.5,-4.482728004455566,0.1725715696811676,6.315304279327393,0.9470524191856384,0.15522417426109314,4.845942497253418,0.6225941777229309,2.320051670074463,0.05,15196,-27.237950242394714,36.36230413040496,262,-33.99442303055211,-17.311587109377506,0.7050198982041271,0.6805524281663947,0.23796280402412026,0.08148476780948496,0.8851,15.57,0.156,0.868,0.673,0.246,0.081,11,3
