environment,disturbance_mode,arm,upper_constraint_mode,upper_dual_lr,lower_dual_lr,lower_action_router_mode,lower_action_router_alpha,lower_action_router_strength,upper_hf_penalty_coef,replicate_count,baseline_return_mean,candidate_return_mean,return_difference_mean,return_difference_one_sided_lower,return_difference_one_sided_upper,reward_noninferiority_margin,reward_noninferiority_pass,drift_materiality_floor,responsibility_drift_baseline_mean,responsibility_drift_candidate_mean,responsibility_drift_difference_mean,responsibility_drift_difference_one_sided_upper,responsibility_drift_candidate_one_sided_upper,responsibility_drift_required_reduction,responsibility_drift_baseline_material,responsibility_drift_gate_type,responsibility_drift_pass,responsibility_drift_normalized_slack,raw_lower_drift_baseline_mean,raw_lower_drift_candidate_mean,raw_lower_drift_difference_mean,raw_lower_drift_difference_one_sided_upper,raw_lower_drift_candidate_one_sided_upper,raw_lower_drift_required_reduction,raw_lower_drift_baseline_material,raw_lower_drift_gate_type,raw_lower_drift_pass,raw_lower_drift_normalized_slack,latent_lower_drift_mean,upper_hf_rms,upper_hf_rms_one_sided_upper,upper_hf_budget_pass,effective_lower_action_rms_mean,effective_lower_activity_margin_one_sided_lower,effective_lower_activity_pass,router_clip_rate_mean,router_clip_rate_one_sided_upper,router_clip_pass,reconstruction_rms_max,reconstruction_integrity_pass,minimum_normalized_safety_slack,condition_gate_pass
HalfCheetah-v5,standard,router_a004_s006_reward,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.06,0.0,16,444.050911094619,572.9562814841256,128.90537038950671,-16.426544330734572,279.0263563852584,8.88101822189238,False,2.5e-05,0.0033967549568274576,0.0006203932497287638,-0.0027763617070986936,-0.0017465992840318288,nan,0.0003396754956827458,True,strict_relative_improvement,True,4.1419643342866825,0.0033967549568274576,0.0023080593535547466,-0.001088695603272711,0.0002757327921874194,nan,0.0003396754956827458,True,strict_relative_improvement,False,-1.8117535580045248,0.0025454927218674147,0.07793402619380624,0.08903608009769408,True,0.3672314360357011,0.25916633968083347,True,0.0,0.0,True,1.05756815499564e-08,True,-1.8117535580045248,False
HalfCheetah-v5,low_frequency,router_a004_s006_reward,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.06,0.0,16,352.19617182480084,470.72185379027985,118.525681965479,11.001816184618486,226.69167914081035,7.043923436496017,True,2.5e-05,0.004516351577449847,0.0006472919377313435,-0.0038690596397185036,-0.002360763512660355,nan,0.0004516351577449847,True,strict_relative_improvement,True,4.227147338235694,0.004516351577449847,0.0026635607097463907,-0.0018527908677034568,-1.2695432630425336e-05,nan,0.0004516351577449847,True,strict_relative_improvement,False,-0.9718900700870728,0.0029458633495312507,0.07686032699478512,0.08826400204537736,True,0.368416790136886,0.26116989083227005,True,0.0,0.0,True,9.072431588491471e-09,True,-0.9718900700870728,False
HalfCheetah-v5,high_frequency,router_a004_s006_reward,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.06,0.0,16,448.7323826309547,492.2872944084483,43.5549117774936,-81.02157872992767,173.7030396646156,8.974647652619094,False,2.5e-05,0.00416928934992062,0.0006764681502978438,-0.003492821199622776,-0.002326460323748556,nan,0.000416928934992062,True,strict_relative_improvement,True,4.579992484313543,0.00416928934992062,0.0024212371906854714,-0.0017480521592351484,-0.00024369012106547592,nan,0.000416928934992062,True,strict_relative_improvement,False,-0.41551161214053045,0.0026671219936167372,0.07702879762691832,0.08682956229851366,True,0.365659119967619,0.25809790701015123,True,0.0,0.0,True,8.822676826352482e-09,True,-8.027828374552724,False
HalfCheetah-v5,mixed,router_a004_s006_reward,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.06,0.0,16,365.9829770819041,403.36314334678144,37.3801662648773,-50.06700877041304,129.631473373064,7.319659541638082,False,2.5e-05,0.004806508929987631,0.0006895725502686678,-0.0041169363797189645,-0.002702220459738619,nan,0.00048065089299876315,True,strict_relative_improvement,True,4.62200237032655,0.004806508929987631,0.002812435248309357,-0.001994073681678275,-0.0002458196917192626,nan,0.00048065089299876315,True,strict_relative_improvement,False,-0.4885691563254931,0.0031074037240584025,0.07564827192447172,0.08519736496897146,True,0.3676617360919834,0.2601446619101566,True,0.0,0.0,True,9.227922217790164e-09,True,-5.840073433143373,False
HalfCheetah-v5,ood_chirp,router_a004_s006_reward,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.06,0.0,16,401.5782352544745,526.5583489349115,124.9801136804369,-0.05035758641512736,254.09979797604345,8.03156470508949,True,2.5e-05,0.004566701522065933,0.0006744417955110858,-0.003892259726554847,-0.002288206512314099,nan,0.00045667015220659336,True,strict_relative_improvement,True,4.0106329508457454,0.004566701522065933,0.002369210778569997,-0.002197490743495936,-0.0003892356085988533,nan,0.00045667015220659336,True,strict_relative_improvement,False,-0.14766575674346522,0.002609897551440298,0.07885392288481695,0.08945685577079993,True,0.3686427568329959,0.2614804583302874,True,0.0,0.0,True,9.230254949181556e-09,True,-0.14766575674346522,False
Hopper-v5,standard,router_a004_s006_reward,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.06,0.0,16,197.40764823994976,208.33183311629145,10.924184876341688,-14.277321420904931,36.04661654701626,3.9481529647989952,False,2.5e-05,0.06707362823251521,0.03612042921436522,-0.030953199018149993,-0.018695074388965723,nan,0.006707362823251521,True,strict_relative_improvement,True,1.787246624583659,0.06707362823251521,0.06808077117422784,0.0010071429417126293,0.017809703755227415,nan,0.006707362823251521,True,strict_relative_improvement,False,-3.6552468122775297,0.07259304000620248,0.08575433631084445,0.09471599565303727,True,0.29663877620721424,0.2017888286490043,True,0.0,0.0,True,1.8043760905594217e-08,True,-3.6552468122775297,False
Hopper-v5,low_frequency,router_a004_s006_reward,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.06,0.0,16,196.7542388808438,208.1657508085444,11.411511927700618,-13.641292103286103,36.53711059004711,3.935084777616876,False,2.5e-05,0.06969358079140504,0.03702679595976116,-0.03266678483164388,-0.020531596117418446,nan,0.006969358079140505,True,strict_relative_improvement,True,1.945980947495024,0.06969358079140504,0.07090593579546528,0.0012123550040602257,0.018038049697576566,nan,0.006969358079140505,True,strict_relative_improvement,False,-3.5881938469433767,0.07564854840212933,0.08897901499347619,0.09586269997309138,True,0.30269682367779016,0.20591542298462068,True,0.0,0.0,True,1.655883916821788e-08,True,-3.5881938469433767,False
Hopper-v5,high_frequency,router_a004_s006_reward,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.06,0.0,16,198.0937660246662,208.38016515671416,10.286399132047976,-14.855011874576054,35.36898557717755,3.961875320493324,False,2.5e-05,0.06716781463804333,0.03627179843929956,-0.030896016198743777,-0.018645846941448194,nan,0.006716781463804333,True,strict_relative_improvement,True,1.7760091707505592,0.06716781463804333,0.06830617530223429,0.0011383606641909533,0.017923198282036416,nan,0.006716781463804333,True,strict_relative_improvement,False,-3.6684206384593097,0.07283185615671246,0.08737237850885668,0.09614567036204003,True,0.2997443713452225,0.20386282467774325,True,0.0,0.0,True,1.6278810227575275e-08,True,-3.6684206384593097,False
Hopper-v5,mixed,router_a004_s006_reward,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.06,0.0,16,196.0903811061316,207.5577253200508,11.467344213919171,-12.213080516736493,36.02639684760981,3.921807622122632,False,2.5e-05,0.06969185978768258,0.03707158021712641,-0.03262027957055619,-0.020171851782294067,nan,0.006969185978768258,True,strict_relative_improvement,True,1.8944344208560298,0.06969185978768258,0.07105188222991674,0.0013600224422341493,0.01818106187140137,nan,0.006969185978768258,True,strict_relative_improvement,False,-3.608778403502257,0.075801722968689,0.08852092776992862,0.09556327297349362,True,0.3055143436803993,0.20825693570043174,True,0.0,0.0,True,1.762550316388792e-08,True,-3.608778403502257,False
Hopper-v5,ood_chirp,router_a004_s006_reward,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.06,0.0,16,196.51693166707946,206.57804860268973,10.061116935610276,-14.042458794247576,34.39642063763802,3.9303386333415893,False,2.5e-05,0.06858299886666383,0.03629878510040779,-0.032284213766256044,-0.020018105527544076,nan,0.0068582998866663835,True,strict_relative_improvement,True,1.9188145543857638,0.06858299886666383,0.06966566594012544,0.0010826670734616064,0.017597616787954976,nan,0.0068582998866663835,True,strict_relative_improvement,False,-3.565886164028423,0.07431232560769979,0.08674501141591505,0.09389165226814782,True,0.29970740230069254,0.2037568490534653,True,0.0,0.0,True,1.8011751692523155e-08,True,-3.565886164028423,False
