agency_id,agency_name,timezone,lat,lon,lat_span,lon_span
MTA NYCT,MTA New York City Transit,America/New_York,40.707679,-73.97669450000001,0.409396000000001,0.5506429999999938
MTA,Metropolitan Transportation Authority,America/New_York,0.0,0.0,0.0,0.0
MTABC,MTA Bus Company,America/New_York,40.74988,-73.85940049999999,0.3675139999999999,0.3137669999999986
