route_id,grouping_type,direction_id,direction_name,stop_sequence,stop_id
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,25,MTA_200580
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,26,MTA_202941
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,27,MTA_200612
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,28,MTA_202787
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,29,MTA_203052
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,30,MTA_200678
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,31,MTA_200614
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,32,MTA_203461
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,33,MTA_200616
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,34,MTA_203975
