route_id,grouping_type,direction_id,direction_name,stop_sequence,stop_id
MTA NYCT_B102,direction,1,Q TRAIN TO KINGS HWY,1,MTA_307894
MTA NYCT_B102,direction,1,Q TRAIN TO KINGS HWY,2,MTA_304011
MTA NYCT_B102,direction,1,Q TRAIN TO KINGS HWY,3,MTA_300363
MTA NYCT_B102,direction,1,Q TRAIN TO KINGS HWY,4,MTA_300012
MTA NYCT_B102,direction,1,Q TRAIN TO KINGS HWY,5,MTA_300016
MTA NYCT_B102,direction,1,Q TRAIN TO KINGS HWY,6,MTA_901778
MTA NYCT_B102,direction,1,Q TRAIN TO KINGS HWY,7,MTA_302852
MTA NYCT_B102,direction,1,Q TRAIN TO KINGS HWY,8,MTA_302854
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,0,MTA_505218
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,1,MTA_304418
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,2,MTA_304196
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,3,MTA_304197
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,4,MTA_304198
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,5,MTA_304199
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,6,MTA_304200
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,7,MTA_304201
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,8,MTA_308046
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,9,MTA_304203
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,10,MTA_304204
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,11,MTA_304205
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,12,MTA_304206
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,13,MTA_304207
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,14,MTA_306530
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,15,MTA_304209
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,16,MTA_304210
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,17,MTA_304211
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,18,MTA_304212
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,19,MTA_304213
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,20,MTA_304214
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,21,MTA_307948
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,22,MTA_307572
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,23,MTA_307573
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,24,MTA_307596
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,25,MTA_307575
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,26,MTA_307576
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,27,MTA_307577
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,28,MTA_302427
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,29,MTA_302428
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,30,MTA_302430
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,31,MTA_302431
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,32,MTA_307492
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,33,MTA_302433
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,34,MTA_306533
MTA NYCT_B52,direction,1,DOWNTOWN BKLYN TILLARY ST via GATES,35,MTA_901463
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,0,MTA_307175
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,1,MTA_307460
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,2,MTA_302945
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,3,MTA_307491
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,4,MTA_302947
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,5,MTA_302948
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,6,MTA_303017
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,7,MTA_302368
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,8,MTA_302369
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,9,MTA_307547
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,10,MTA_307548
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,11,MTA_307549
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,12,MTA_307550
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,13,MTA_307551
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,14,MTA_307552
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,15,MTA_307553
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,16,MTA_307674
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,17,MTA_307675
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,18,MTA_307676
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,19,MTA_307677
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,20,MTA_307678
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,21,MTA_307679
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,22,MTA_307680
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,23,MTA_307681
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,24,MTA_307682
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,25,MTA_307683
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,26,MTA_307684
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,27,MTA_307901
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,28,MTA_307686
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,29,MTA_307687
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,30,MTA_307688
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,31,MTA_307689
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,32,MTA_307690
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,33,MTA_307691
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,34,MTA_308596
MTA NYCT_B52,direction,0,RIDGEWOOD TERM via GATES,35,MTA_901258
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,0,MTA_552208
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,1,MTA_503174
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,2,MTA_550039
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,3,MTA_551526
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,4,MTA_504204
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,5,MTA_503666
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,6,MTA_503662
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,7,MTA_504205
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,8,MTA_503657
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,9,MTA_503655
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,10,MTA_503653
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,11,MTA_503650
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,12,MTA_503646
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,13,MTA_504206
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,14,MTA_504207
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,15,MTA_504209
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,16,MTA_504211
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,17,MTA_503682
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,18,MTA_503678
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,19,MTA_302166
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,20,MTA_302170
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,21,MTA_307855
