agency_id,route_id,short_name,long_name,description,route_type,color,text_color
MTA NYCT,MTA NYCT_SIM5,SIM5,Eltingville - Lower Manhattan Express,via F Capodanno / Giffords La,3,00933C,FFFFFF
MTA NYCT,MTA NYCT_SIM4,SIM4,Eltingville - Lower Manhattan Express,via Richmond Av,3,00933C,FFFFFF
MTA NYCT,MTA NYCT_B62,B62,Astoria - Downtown Brooklyn,via Bklyn Navy Yard / Manhattan Av / 21 St,3,00AEEF,FFFFFF
MTA NYCT,MTA NYCT_SIM1C,SIM1C,Eltingville - Manhattan Express,via Hylan Bl / Richmond Av,3,00933C,FFFFFF
MTA NYCT,MTA NYCT_SIM3,SIM3,Pt. Richmond - Midtown Manhattan Express,via Watchogue Rd,3,00933C,FFFFFF
MTA NYCT,MTA NYCT_B61,B61,Park Slope - Downtown Brooklyn,via Van Brunt St / Columbia St / 9th St,3,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_SIM2,SIM2,Tottenville - Lower Manhattan Express,via Huguenot Av / Hylan Bl,3,00933C,FFFFFF
MTA NYCT,MTA NYCT_B64,B64,Bay Ridge - Coney Island,via Bay Ridge Av / Bath Av,3,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_SIM1,SIM1,Eltingville - Lower Manhattan Express,via Hylan Bl / Richmond Av,3,00933C,FFFFFF
MTA NYCT,MTA NYCT_B63,B63,Bay Ridge - Cobble Hill,via 5th Av / Atlantic Av,3,006CB7,FFFFFF
MTA NYCT,MTA NYCT_S76,S76,St. George - Oakwood,via Richmond Rd / New Dorp Ln,3,B933AD,FFFFFF
MTA NYCT,MTA NYCT_Q36,Q36,Little Neck - Jamaica,via Jamaica Av / Hillside Av / Little Neck Pkwy,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_S78,S78,St. George - Bricktown Mall,via Hylan Blvd,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_S79+,S79-SBS,Staten Island Mall - Bay Ridge,Select Bus Service via Verrazano-Narrows Bridge / Hylan Blvd,3,006CB7,FFFFFF
MTA NYCT,MTA NYCT_Q38,Q38,Rego Park - Maspeth,via Metropolitan Av / 63 Dr,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_Q39,Q39,Long Island City - Glendale,via 48 Av / Forest Av,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_BX12+,Bx12-SBS,Bay Plaza - Inwood,Select Bus Service via Pelham Pkwy / Fordham Rd,3,006CB7,FFFFFF
MTA NYCT,MTA NYCT_Q30,Q30,Little Neck - Jamaica,via Horace Harding Expwy / Utopia Pkwy / Homelawn St,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_SIM24,SIM24,Prince's Bay - Midtown Manhattan Express,via Huguenot Av,3,00933C,FFFFFF
MTA NYCT,MTA NYCT_SIM25,SIM25,Tottenville - Midtown Manhattan Express,via Rossville Av,3,00933C,FFFFFF
MTA NYCT,MTA NYCT_S74,S74,St. George - Bricktown Mall,via Richmond Rd / Arthur Kill Rd,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_SIM26,SIM26,Tottenville - Midtown Manhattan Express,via Bloomingdale Rd,3,00933C,FFFFFF
MTA NYCT,MTA NYCT_Q31,Q31,Bayside - Jamaica,via Bell Blvd / Utopia Pkwy / Homelawn St,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_B54,B54,Downtown Brooklyn - Ridgewood,via Myrtle Av,3,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_B57,B57,Gowanus - Maspeth,via Flushing Av,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_SIM22,SIM22,Eltingville - Midtown Manhattan Express,via Arthur Kill Rd / Richmond Av,3,00933C,FFFFFF
MTA NYCT,MTA NYCT_L90,L90,L Shuttle Bus - Lorimer St - Myrtle Wyckoff Avs,via Wyckoff Av / Metropolitan Av,711,EE352E,FFFFFF
MTA NYCT,MTA NYCT_SIM23,SIM23,Annadale - Midtown Manhattan Express,via Arden Av,3,00933C,FFFFFF
MTA NYCT,MTA NYCT_L92,L92,L Shuttle Bus - Abingdon Sq - FDR Drive,via 14 St,711,EE352E,FFFFFF
MTA NYCT,MTA NYCT_BX2,Bx2,Kingsbridge Heights - Mott Haven,via Grand Concourse / E 149th St,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_T430,T430,J Shuttle Bus - Crescent St - Myrtle Ave,via Atlantic Av/Broadway,711,EE352E,FFFFFF
MTA NYCT,MTA NYCT_BX1,Bx1,Riverdale - Mott Haven,via Grand Concourse / E 138th St,3,00AEEF,FFFFFF
MTA NYCT,MTA NYCT_B70,B70,Dyker Heights - Sunset Park,via 92nd St / 3rd Av / 8th Av,3,B933AD,FFFFFF
MTA NYCT,MTA NYCT_BX4,Bx4,Westchester Sq - The Hub,via Westchester Av,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_X28,X28,Sea Gate / Bensonhurst - Manhattan Express,via Surf Av / Cropsey Av,3,00933C,FFFFFF
MTA NYCT,MTA NYCT_BX3,Bx3,Riverdale - George Washington Bridge,via Sedgwick Av / University Av / W 181st St,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_X27,X27,Bay Ridge - Manhattan Express,via Shore Rd,3,00933C,FFFFFF
MTA NYCT,MTA NYCT_BX6,Bx6,Hunts Point - Riverside Dr,via E 161st St / E 163rd St / W 155 St,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_BX5,Bx5,Pelham Bay - Gladstone Sq,via Bruckner Blvd  / Story Av,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_B74,B74,Sea Gate - Stillwell Av,via Mermaid Av,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_Q45,Q45,Fresh Meadows - Kew Gardens,via Union Turnpike,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_S86,S86,St. George - Oakwood LTD,via Richmond Rd / New Dorp Ln (S76 Limited),3,B933AD,FFFFFF
MTA NYCT,MTA NYCT_S89,S89,Eltingville - Bayonne LTD,via Richmond Av (S59 Limited),3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_Q46,Q46,LIJ Hospital - Kew Gardens,via Union Turnpike,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_Q48,Q48,Glen Oaks - Kew Gardens,via Union Turnpike,3,006CB7,FFFFFF
MTA NYCT,MTA NYCT_S81,S81,St. George - Grant City LTD,via Bay St / Father Capodanno Blvd (S51 Limited),3,006CB7,FFFFFF
MTA NYCT,MTA NYCT_M116,M116,West Side - East Harlem,via 116th St Crosstown,3,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_Q43,Q43,Floral Park - Jamaica,via Sutphin Blvd / Hillside Av,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_Q42,Q42,Addisleigh Park - Jamaica,via 174 St / Liberty Av / Sayres Av,3,00AEEF,FFFFFF
MTA NYCT,MTA NYCT_S84,S84,St. George - Bricktown Mall LTD,via Richmond Rd / Arthur Kill Rd (S74 Limited),3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_B65,B65,Downtown Brooklyn - Crown Heights,via Bergen St & Dean St,3,00AEEF,FFFFFF
MTA NYCT,MTA NYCT_B68,B68,Coney Island - Windsor Terrace,via Coney Island Av / Brighton Beach Av,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_B67,B67,Brooklyn Navy Yard - Kensington,via Flatbush Av / 7th Av / McDonald Av,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_T426,T426,L Shuttle Bus - Broadway Junction - Rockaway Parkway,via Pennsylvania Ave/Flatlands Ave,711,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_B69,B69,Downtown Brooklyn - Kensington,via Vanderbilt Av / 7th Av / McDonald Av,3,006CB7,FFFFFF
MTA NYCT,MTA NYCT_M23+,M23-SBS,Chelsea Piers - East Side,Select Bus Service via 23rd St Crosstown,3,B933AD,FFFFFF
MTA NYCT,MTA NYCT_B82,B82,Coney Island - Spring Creek Towers,via Bay Pkwy / Kings Hwy / Flatlands Av,3,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_X37,X37,Bay Ridge - Midtown Manhattan Express,via Shore Rd,3,00933C,FFFFFF
MTA NYCT,MTA NYCT_B116,B116,Q Shuttle Bus - Atlantic Avenue - Prospect Park,,711,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_B84,B84,Spring Creek-New Lots,via Ashford Street/Flatlands Avenue,3,006CB7,FFFFFF
MTA NYCT,MTA NYCT_B83,B83,Spring Creek - Broadway Junction,via Van Siclen Av / Pennsylvania Av / Gateway Dr,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_X38,X38,Sea Gate / Bensonhurst - Midtown Manhattan Express,via Surf Av / Cropsey Av,3,00933C,FFFFFF
MTA NYCT,MTA NYCT_Q56,Q56,Broadway Junction - Jamaica,via Jamaica Av,3,B933AD,FFFFFF
MTA NYCT,MTA NYCT_S98,S98,St. George - Mariners Harbor LTD,via Forest Av (S48 Limited),3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_SIM33C,SIM33C,Mariners Harbor - Greenwich Village Express,via N Gannon Av,3,00933C,FFFFFF
MTA NYCT,MTA NYCT_Q55,Q55,Ridgewood - Richmond Hill,via Myrtle Av,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_Q58,Q58,Ridgewood - Flushing,via Fresh Pond Rd / Corona Av / College Pt Blvd,3,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_Q59,Q59,Williamsburg - Rego Park,via Grand St / Grand Av / Queens Blvd,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_S90,S90,St. George - Amazon,via Richmond Terrace (S40 Limited),3,B933AD,FFFFFF
MTA NYCT,MTA NYCT_S92,S92,St. George - Travis LTD,via Victory Blvd (S62 Limited),3,B933AD,FFFFFF
MTA NYCT,MTA NYCT_S91,S91,St. George - Staten Island Mall LTD,via Victory Blvd / Bradley Av (S61 Limited),3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_S94,S94,St. George - Staten Island Mall LTD,via Richmond Av (S44 Limited),3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_M106,M106,East Harlem - West Side,via 96th St / E 106th St Crosstown,3,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_S93,S93,College of Staten Island - Bay Ridge LTD,via Verrazano-Narrows / Victory,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_Q54,Q54,Williamsburg - Jamaica,via Jamaica Av / Metropolitan Av,3,B933AD,FFFFFF
MTA NYCT,MTA NYCT_S96,S96,St. George - West Shore Plaza LTD,via Castleton Av (S46 Limited),3,006CB7,FFFFFF
MTA NYCT,MTA NYCT_BX8,Bx8,Williamsbridge - Locust Point,via Bronxwood Av / Williamsbridge Rd / Crosby Av,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_M101,M101,East Village - Fort George,via Third Av / Lexington Av / Amsterdam Av,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_B111,B111,L Shuttle Bus - Atlantic Av and Myrtle-Wyckoff Avenues,,711,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_BX7,Bx7,Riverdale - Washington Heights,via Riverdale Av / Broadway,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_M102,M102,Harlem - East Village,via 3rd Av / Lexington Av / Lenox Av,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_M103,M103,East Harlem - City Hall,via 3rd Av / Lexington Av,3,B933AD,FFFFFF
MTA NYCT,MTA NYCT_BX9,Bx9,Riverdale - West Farms Sq,via Broadway / Kingsbridge Rd / Southern Blvd,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_M104,M104,West Harlem - Times Square,via Broadway / 8th Av,3,B933AD,FFFFFF
MTA NYCT,MTA NYCT_M100,M100,Inwood - Harlem,via Broadway / Amsterdam Av,3,00AEEF,FFFFFF
MTA NYCT,MTA NYCT_BX13,Bx13,George Washington Bridge - Bronx Terminal Market,via W 181st St / Ogden Av / River Av,3,006CB7,FFFFFF
MTA NYCT,MTA NYCT_B90,B90,F Shuttle Bus - Church Av - Stillwell Av,via McDonald Av,711,EE352E,FFFFFF
MTA NYCT,MTA NYCT_BX12,Bx12,Pelham Bay - Inwood,via Pelham Pkwy / Fordham Rd,3,006CB7,FFFFFF
MTA NYCT,MTA NYCT_B93,B93,G Shuttle Bus - Jay St / Metro Tech - Bedford Av / Nostrand Av,via DeKalb Av / LaFayette Av,711,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_BX11,Bx11,George Washington Bridge - Parkchester,via E 170th St /  E 174th St,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_BX10,Bx10,Riverdale - Norwood,via H. Hudson Pkwy / W 231st St / Jerome Av,3,006CB7,FFFFFF
MTA NYCT,MTA NYCT_B94,B94,G Shuttle Bus - Nassau Avenue - Court Square,via Jackson Av / Manhattan Av,711,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_B96,B96,2 Shuttle Bus - Flatbush Ave - Franklin Ave,via Nostrand Av/New York Av,711,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_Q67,Q67,Long Island City - Middle Village,via 49 Av / Laurel Hill Bl / Borden Av / 69 St,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_BX19,Bx19,NY Botanical Garden - Riverbank Park,via Southern Bl / E 149th St,3,B933AD,FFFFFF
MTA NYCT,MTA NYCT_BX17,Bx17,Fordham Plaza - Port Morris,via Crotona Av / Prospect Av,3,006CB7,FFFFFF
MTA NYCT,MTA NYCT_BX16,Bx16,Pelham - Norwood,via E 233rd St / Nereid Av,3,00AEEF,FFFFFF
MTA NYCT,MTA NYCT_BX15,Bx15,Fordham Plaza - The Hub,via 3rd Av,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_Q61,Q61,Beechhurst - Flushing,via Willets Pt Bl,3,B933AD,FFFFFF
MTA NYCT,MTA NYCT_M14A+,M14A-SBS,Lower East Side - Abingdon Sq,Select Bus Service via 14th St / Av A,3,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_B82+,B82-SBS,Coney Island -spring Creek Towers,select Bus service via Bay Pkwy / Kings Hwy / Flatlands Av,3,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_T323,T323,7 Shuttle Bus - Queensboro Plz - Vernon Bl-Jackson Av,via Jackson Av,711,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_T321,T321,7 Shuttle Bus - Main Street - Mets/Willets Pt,via ROOSEVELT AVE,711,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_T320,T320,7 Shuttle Bus - 74 St/Roosevelt Av - Queens Plaza,via Queens Blvd/Roosevelt Av,711,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_Q77,Q77,Springfield Gardens - Jamaica,via Springfield / Francis Lewis / Hillside Av,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_Q76,Q76,College Point - Jamaica,via Francis Lewis Blvd / Hillside Av,3,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_Q75,Q75,Jamaica - QCC,via Utopia Pkwy / Horace Harding Expwy,3,00AEEF,FFFFFF
MTA NYCT,MTA NYCT_B99,B99,3 Shuttle Bus - Utica Avenue - New Lots Avenue,via Livonia Av,711,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_J90,J90,J Shuttle Bus - Crescent St - Jamaica Van Wyck Station,via Jamaica Av,711,EE352E,FFFFFF
MTA NYCT,MTA NYCT_M125,M125,Manhattanville - The Hub,via 125th St / Willis Av,3,B933AD,FFFFFF
MTA NYCT,MTA NYCT_BX35,Bx35,George Washington Bridge-West Farms Road,via E 167th / W 181st St,3,00AEEF,FFFFFF
MTA NYCT,MTA NYCT_T113,T113,5 Shuttle Bus - East 180 St - Dyre Ave,via Morris Park Ave/Williamsbridge Rd,711,EE352E,FFFFFF
MTA NYCT,MTA NYCT_BX34,Bx34,Woodlawn - Fordham Center,via Katonah Av / Bainbridge Av / Valentine Av,3,B933AD,FFFFFF
MTA NYCT,MTA NYCT_T354,T354,A Shuttle Bus - Beach 90 Street - Far Rockaway,via BEACH CHANNEL DR,711,EE352E,FFFFFF
MTA NYCT,MTA NYCT_BX33,Bx33,Port Morris - Harlem,via E 138th St / W 135th St,3,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_T232,T232,D Shuttle Bus - Grand Street - West 4th Street,,711,00933C,FFFFFF
MTA NYCT,MTA NYCT_BX32,Bx32,Kingsbridge VA Hospital - Mott Haven,via Morris Av / Jerome Av,3,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_BX31,Bx31,Woodlawn - Westchester Sq,via E 233 St / Eastchester Rd,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_BX30,Bx30,Co-op City Section 5 - Pelham Parkway,via Boston Rd,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_Q89,Q89,Green Acres - Jamaica,via Conduit Av,3,B933AD,FFFFFF
MTA NYCT,MTA NYCT_Q88,Q88,Elmhurst - Queens Village,via Horace Harding Expwy / 73rd Av / Springfield Blvd,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_BX39,Bx39,Wakefield - Clasons Pt,via White Plains Rd,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_BX38,Bx38,Co-op City Bay Plaza - Norwood,via E Gun Hill Rd / Co-op City Blvd,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_BX36,Bx36,Soundview - George Washington Bridge,via E Tremont Av / White Plains Rd,3,B933AD,FFFFFF
MTA NYCT,MTA NYCT_Q83,Q83,Cambria Heights - Jamaica,via Murdock Av / Liberty Av,3,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_Q82,Q82,Jamaica - Belmont Park,via Hillside Av,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_Q85,Q85,Rosedale - Jamaica,via Merrick Blvd / Conduit Av / 243 St,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_Q84,Q84,Laurelton - Jamaica,via Merrick Blvd / 120th Av,3,B933AD,FFFFFF
MTA NYCT,MTA NYCT_Q87,Q87,Green Acres - Jamaica,via Merrick Bl / Hook Creek Bl,3,B933AD,FFFFFF
MTA NYCT,MTA NYCT_Q86,Q86,Rosedale - Jamaica,via Merrick Bl / Huxley St,3,B933AD,FFFFFF
MTA NYCT,MTA NYCT_BX24,Bx24,Country Club - Hutchinson Metro Center,via Westchester Av / Country Club Loop,3,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_T464,T464,Q Shuttle Bus - Prospect Park - Coney Island/Stillwell Av,via OCEAN AV,711,EE352E,FFFFFF
MTA NYCT,MTA NYCT_BX22,Bx22,Bedford Park - Castle Hill,via Castle Hill Av / Fordham Rd,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_BX21,Bx21,Westchester Sq - Mott Haven,via Morris Park Av / Boston Rd,3,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_BX20,Bx20,Riverdale - Inwood,via Broadway / Henry Hudson Pkwy,3,00AEEF,FFFFFF
MTA NYCT,MTA NYCT_M15+,M15-SBS,East Harlem - South Ferry,Select Bus Service via 1st Av / 2nd Av,3,006CB7,FFFFFF
MTA NYCT,MTA NYCT_M15,M15,East Harlem - South Ferry,via 1st Av / 2nd Av,3,006CB7,FFFFFF
MTA NYCT,MTA NYCT_BX29,Bx29,City Island - Pelham Bay,via City Island Rd / City Island Av,3,00AEEF,FFFFFF
MTA NYCT,MTA NYCT_BX28,Bx28,Co-op City Section 5 - Fordham Center,via E Gun Hill Rd / Bartow Av,3,00AEEF,FFFFFF
MTA NYCT,MTA NYCT_BX27,Bx27,Clasons Pt - Gladstone Sq,via Westchester Av / Soundview Av,3,00AEEF,FFFFFF
MTA NYCT,MTA NYCT_BX26,Bx26,Co-op City Section 5 - Bedford Park,via Allerton Av / Co-op City Blvd,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_BX25,Bx25,Co-op City Bay Plaza - Bedford Park,via Allerton Av,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_M10,M10,Harlem - Columbus Circle,via Central Park West / Frederick Douglass Blvd,3,006CB7,FFFFFF
MTA NYCT,MTA NYCT_Q96,Q96,E Shuttle Bus - 21 St/Queensbridge - Court Sq,via Jackson Av,711,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_M12,M12,Midtown West - West Village,via 11 Av / 12 Av,3,006CB7,FFFFFF
MTA NYCT,MTA NYCT_M11,M11,Riverbank Park & Harlem - West Village,via 9th - Columbus Av / 10th - Amsterdam Av,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_Q98,Q98,Ridgewood - Flushing,via Fresh Pond Rd / Horace Harding Expwy / College Pt Blvd,3,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_Q97,Q97,A Shuttle Bus - Howard Beach and Far Rockaway,,711,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_Q90,Q90,Flushing - LaGuardia Airport,via Seaver Way / Ditmars Blvd,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_M86+,M86-SBS,Yorkville - West Side,Select Bus Service via 86th St Crosstown,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_M21,M21,Lower East Side - West Village,via Houston St Crosstown,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_M20,M20,Lincoln Center - South Ferry,via 7th Av / 8th Av / Battery Park City,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_BX41+,Bx41-SBS,Williamsbridge - The Hub,Select Bus Service via Webster Av,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_BX4A,Bx4A,Westchester Sq - Gladstone Sq,via Metropolitan Av / Westchester Av,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_M22,M22,Lower East Side - Battery Park City,via Madison St / Chambers St,3,00AEEF,FFFFFF
MTA NYCT,MTA NYCT_T127,T127,D Shuttle Bus - Mosholu Pkwy #4 - 205 St,via Grand Concourse,711,EE352E,FFFFFF
MTA NYCT,MTA NYCT_BX46,Bx46,Prospect Av - Westchester Av / Hunts Point Market,via Barretto PK,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_BX42,Bx42,Throgs Neck - River Park Towers,via E Tremont Av / E 180th St / Burnside Av,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_BX41,Bx41,Williamsbridge - The Hub,via Webster Av,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_BX40,Bx40,Throgs Neck - River Park Towers,via E Tremont Av / E 180th St / Burnside Av,3,006CB7,FFFFFF
MTA NYCT,MTA NYCT_M31,M31,Yorkville - Clinton,via  York Av / 57th St,3,B933AD,FFFFFF
MTA NYCT,MTA NYCT_M35,M35,Ward's Island - East Harlem,via Randall's Island / RFK Bridge,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_M14D+,M14D-SBS,Lower East Side - Chelsea Piers,Select Bus Service via 14th St / Av D,3,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_T117,T117,2 Shuttle Bus - Wakefield-241 Street - East 180 Street,via WHITE PLAINS RD,711,EE352E,FFFFFF
MTA NYCT,MTA NYCT_M60+,M60-SBS,West Side - LaGuardia Airport,Select Bus Service via 125th St / Astoria Blvd,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_BX18A,Bx18A,Morris Heights/High Bridge Circulator,via 168 St / Undercliff Av,3,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_BX18B,Bx18B,Morris Heights/High Bridge Circulator,via 168 St / Sedgwick Av,3,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_Q44+,Q44-SBS,Bronx Zoo - Jamaica,Select Bus Service via Main St / Cross Bronx Svc Rd,3,EE352E,FFFFFF
