agency_id,route_id,short_name,long_name,description,route_type,color,text_color
MTA NYCT,MTA NYCT_M34+,M34-SBS,East Side - Javits Center,Select Bus Service via 34th St Crosstown,3,006CB7,FFFFFF
MTA NYCT,MTA NYCT_B106,B106,J Shuttle Bus - Hewes St & Essex St,,711,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_B102,B102,Q Shuttle Bus - Stillwell Ave - Kings Hwy,via OCEAN AV/BRIGHTON BEACH AV,711,EE352E,FFFFFF
MTA NYCT,MTA NYCT_B52,B52,Downtown Brooklyn - Ridgewood,via Gates Av / Greene Av / Atlantic Av,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_Q24,Q24,Bedford Stuyvesant - Jamaica,via Atlantic Av,3,00AEEF,FFFFFF
MTA NYCT,MTA NYCT_S66,S66,St. George - Port Richmond,via Victory Blvd / Jewett Av,3,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_Q27,Q27,Cambria Heights - Flushing,via Springfield Blvd / Rocky Hill Rd / 46th Av,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_Q29,Q29,Elmhurst - Glendale,via Dry Harbor Rd / 80 St,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_B46+,B46-SBS,Kings Plaza - Williamsburg,Select Bus Service via Utica Av - Malcolm X Blvd,3,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_S61,S61,St. George - Staten Island Mall,via Victory Blvd / Bradley Av,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_SIM15,SIM15,Eltingville - Lower Manhattan Express,via Richmond Rd,3,00933C,FFFFFF
MTA NYCT,MTA NYCT_Q20,Q20,College Point - Jamaica,via 20 Av / Main St,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_S62,S62,St. George - Travis,via Victory Blvd,3,B933AD,FFFFFF
MTA NYCT,MTA NYCT_B44,B44,Sheepshead Bay - Williamsburg,via Nostrand Av,3,B933AD,FFFFFF
MTA NYCT,MTA NYCT_B43,B43,Greenpoint - Lefferts Gardens,via Manhattan Av / Graham Av / Tompkins Av / Throop Av,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_SIM10,SIM10,Eltingville - Midtown Manhattan Express,via Hylan Bl,3,00933C,FFFFFF
MTA NYCT,MTA NYCT_B46,B46,Kings Plaza - Williamsburg,via Utica Av - Malcolm X Blvd,3,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_SIM11,SIM11,New Dorp - Midtown Manhattan Express,via Hylan Bl / Madison Av / Lexington Av,3,00933C,FFFFFF
MTA NYCT,MTA NYCT_B45,B45,Downtown Brooklyn - Crown Heights,via St Johns Place / Washington Av / Atlantic Av,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_B48,B48,Lefferts Gardens - Greenpoint,via Lorimer St / Franklin & Classon Av,3,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_T403,T403,G Shuttle Bus - Court Square - Bedford/Nostrand,via JACKSON AVE/MANHATTAN,711,6CBE45,FFFFFF
MTA NYCT,MTA NYCT_B47,B47,Kings Plaza - Bedford-Stuyvesant,via Broadway / Ralph Av / Avenue U,3,FAA61A,FFFFFF
MTA NYCT,MTA NYCT_SIM9,SIM9,Eltingville - Greenwich Village Express,via F Capodanno Blvd,3,00933C,FFFFFF
MTA NYCT,MTA NYCT_B49,B49,Manhattan Beach - Bedford-Stuyvesant,via Ocean Av / Bedford & Rogers Av,3,EE352E,FFFFFF
MTA NYCT,MTA NYCT_SIM8,SIM8,Huguenot - Midtown Manhattan Express,via Richmond Av / Woodrow Rd,3,00933C,FFFFFF
MTA NYCT,MTA NYCT_SIM7,SIM7,Eltingville - Greenwich Village Express,via Hylan Bl / Richmond Av,3,00933C,FFFFFF
MTA NYCT,MTA NYCT_SIM6,SIM6,Eltingville - Midtown Manhattan Express,via F Capodanno / Giffords La,3,00933C,FFFFFF
MTA NYCT,MTA NYCT_B60,B60,Williamsburg - Canarsie,via Wilson Av / Rockaway Av,3,B933AD,FFFFFF
