stop_id,code,name,lat,lon,direction,wheelchair_boarding
MTA_100103,100103,GRAND CONCOURSE/E FORDHAM RD,40.86223,-73.897531,SW,UNKNOWN
MTA_100107,100107,GRAND CONCOURSE/E 182 ST,40.855821,-73.90123,SW,UNKNOWN
MTA_100108,100108,GRAND CONCOURSE/E 181 ST,40.854276,-73.902425,SW,UNKNOWN
MTA_100109,100109,GRAND CONCOURSE/EAST BURNSIDE AV,40.852653,-73.903733,SW,UNKNOWN
MTA_100110,100110,GRAND CONCOURSE/E 179 ST,40.851248,-73.904866,SW,UNKNOWN
MTA_100112,100112,GRAND CONCOURSE/MORRIS AV,40.846914,-73.909021,SW,UNKNOWN
MTA_100113,100113,GRAND CONCOURSE/E 174 ST,40.844861,-73.911551,SW,UNKNOWN
MTA_100114,100114,GRAND CONCOURSE/EAST MOUNT EDEN AV,40.842905,-73.912309,S,UNKNOWN
MTA_100115,100115,GRAND CONCOURSE/E 172 ST,40.840638,-73.913071,S,UNKNOWN
MTA_100117,100117,GRAND CONCOURSE/E CLARKE PL,40.836746,-73.915851,SW,UNKNOWN
MTA_100118,100118,GRAND CONCOURSE/E 167 ST,40.834228,-73.918308,SW,UNKNOWN
MTA_100119,100119,GRAND CONCOURSE/McCLELLAN ST,40.833254,-73.919209,SW,UNKNOWN
MTA_100131,100131,GRAND CONCOURSE/E 165 ST,40.831175,-73.920603,SW,UNKNOWN
MTA_100132,100132,GRAND CONCOURSE/E 163 ST,40.828357,-73.922106,SW,UNKNOWN
MTA_100133,100133,GRAND CONCOURSE/E 161 ST,40.826258,-73.923044,SW,UNKNOWN
MTA_100135,100135,GRAND CONCOURSE/E 156 ST,40.823109,-73.924629,S,UNKNOWN
MTA_100136,100136,GRAND CONCOURSE/E 153 ST,40.82113,-73.925891,SW,UNKNOWN
MTA_101307,101307,E 149 ST/GRAND CONCOURSE,40.818377,-73.926861,E,UNKNOWN
MTA_101309,101309,E 149 ST/MORRIS AV,40.817178,-73.922383,E,UNKNOWN
MTA_101310,101310,E 149 ST/COURTLANDT AV,40.816543,-73.919779,E,UNKNOWN
MTA_101374,101374,E 149 ST/COURTLANDT AV,40.816745,-73.919846,W,UNKNOWN
MTA_101375,101375,E 149 ST/MORRIS AV,40.817533,-73.923013,W,UNKNOWN
MTA_101389,101389,3 AV/E 140 ST,40.812096,-73.925062,NE,UNKNOWN
MTA_101472,101472,3 AV/E 138 ST,40.811053,-73.927386,SW,UNKNOWN
MTA_102837,102837,3 AV/E 140 ST,40.812033,-73.92555,SW,UNKNOWN
MTA_102962,102962,3 AV/E 144 ST,40.813873,-73.921705,NE,UNKNOWN
MTA_102971,102971,GRAND CONCOURSE/BEDFORD PARK BLVD,40.87229,-73.887379,NE,UNKNOWN
MTA_102995,102995,W 231 ST/CORLEAR AV,40.880164,-73.907304,SE,UNKNOWN
MTA_102996,102996,W 231 ST/TIBBETT AV,40.881046,-73.908774,NW,UNKNOWN
MTA_103017,103017,GRAND CONCOURSE/MINERVA PL,40.8705,-73.890759,SW,UNKNOWN
MTA_103095,103095,3 AV/E 144 ST,40.813859,-73.921993,SW,UNKNOWN
MTA_103595,103595,SEDGWICK AV/DICKINSON AV,40.882628,-73.888885,E,UNKNOWN
MTA_103704,103704,WEST MOSHOLU PKWY SOUTH/PAUL AV,40.880611,-73.886057,SE,UNKNOWN
MTA_103721,103721,GRAND CONCOURSE/E 203 ST,40.874308,-73.886448,NE,UNKNOWN
MTA_103722,103722,GRAND CONCOURSE/E 204 ST,40.874303,-73.886904,SW,UNKNOWN
MTA_103781,103781,GRAND CONCOURSE/CROSS BRONX EXPWY OVERPASS,40.845254,-73.910632,NE,UNKNOWN
MTA_103912,103912,WEST MOSHOLU PKWY SOUTH/JEROME AV,40.879312,-73.885816,S,UNKNOWN
MTA_103954,103954,SEDGWICK AV/STEVENSON PL 2,40.882384,-73.892363,E,UNKNOWN
MTA_103968,103968,GRAND CONCOURSE/E 156 ST,40.823685,-73.924298,N,UNKNOWN
MTA_103969,103969,GRAND CONCOURSE/E 170 ST,40.838994,-73.913297,NE,UNKNOWN
MTA_103970,103970,GRAND CONCOURSE/FIELD PL,40.858876,-73.898793,NE,UNKNOWN
MTA_103973,103973,GRAND CONCOURSE/E 177 ST,40.848991,-73.906702,SW,UNKNOWN
MTA_103974,103974,GRAND CONCOURSE/E 170 ST,40.838449,-73.914273,SW,UNKNOWN
MTA_103984,103984,LINCOLN AV/E 137 ST,40.809876,-73.927908,NE,UNKNOWN
MTA_104049,104049,GRAND CONCOURSE/E 172 ST,40.841146,-73.912351,N,UNKNOWN
MTA_104050,104050,GRAND CONCOURSE/FIELD PL,40.858473,-73.899618,SW,UNKNOWN
MTA_104061,104061,GRAND CONCOURSE/E 187 ST,40.860215,-73.898624,SW,UNKNOWN
MTA_104112,104112,GRAND CONCOURSE/EAST TREMONT AV,40.849059,-73.905997,NE,UNKNOWN
MTA_104233,104233,E 149 ST/MELROSE AV,40.81628,-73.918103,W,UNKNOWN
MTA_104341,104341,E 149 ST/COURTLANDT AV,40.816704,-73.919881,W,UNKNOWN
MTA_902203,902203,RIVERDALE AV/W 231 ST,40.881264,-73.909381,NE,UNKNOWN
MTA_301497,301497,CRESCENT ST/FULTON ST,40.683379,-73.872165,S,UNKNOWN
MTA_304428,304428,MYRTLE AV/BROADWAY,40.696978,-73.935528,W,UNKNOWN
MTA_307305,307305,FULTON ST/ALABAMA AV,40.676821,-73.899631,E,UNKNOWN
MTA_901722,901722,FULTON ST/VAN SINDEREN AV,40.677808,-73.903484,E,UNKNOWN
MTA_901821,901821,BROADWAY/MYRTLE AV,40.697189,-73.935707,SE,UNKNOWN
MTA_901822,901822,FULTON ST/ELTON ST,40.679961,-73.884537,E,UNKNOWN
MTA_903336,903336,FULTON ST/VAN SICLEN AV,40.677998,-73.891583,E,UNKNOWN
MTA_903338,903338,FULTON ST/NORWOOD AV,40.681656,-73.879045,E,UNKNOWN
MTA_904304,904304,CRESCENT ST/FULTON ST,40.683792,-73.872276,S,UNKNOWN
MTA_100019,100019,GRAND CONCOURSE/E 138 ST,40.813496,-73.929489,NE,UNKNOWN
MTA_100020,100020,GRAND CONCOURSE/E 144 ST,40.816812,-73.928001,NE,UNKNOWN
MTA_100138,100138,GRAND CONCOURSE/E 149 ST,40.818702,-73.927286,SW,UNKNOWN
MTA_100139,100139,GRAND CONCOURSE/E 144 ST,40.816194,-73.928408,S,UNKNOWN
MTA_100140,100140,GRAND CONCOURSE/E 138 ST,40.813486,-73.930284,SW,UNKNOWN
MTA_300407,300407,BAY RIDGE PKWY/7 AV,40.626579,-74.017763,NW,UNKNOWN
MTA_301616,301616,FORT HAMILTON PKWY/86 ST,40.620617,-74.024044,NE,UNKNOWN
MTA_301620,301620,FORT HAMILTON PKWY/77 ST,40.624941,-74.017623,NE,UNKNOWN
MTA_302680,302680,39 ST/4 AV,40.652335,-74.005795,SE,UNKNOWN
MTA_302681,302681,39 ST/5 AV,40.651303,-74.004083,E,UNKNOWN
MTA_302682,302682,39 ST/6 AV,40.649686,-74.001423,SE,UNKNOWN
MTA_302683,302683,39 ST/7 AV,40.648374,-73.999232,SE,UNKNOWN
MTA_302778,302778,39 ST/8 AV,40.647523,-73.997614,NW,UNKNOWN
MTA_302779,302779,39 ST/7 AV,40.64886,-73.999823,NW,UNKNOWN
