environment,optimizer_seed,arm,normalized_episode_return,LowerLFDriftAbs,RawLowerLFDriftAbs,LatentLowerLFDriftAbs,UpperHFPowerAbs,LatentUpperHFPowerAbs,endpoint_pass_count,complete_effect_gate,engineering_pass,engineering_checks,selected_checkpoint_iteration,selected_reward_violation_count,selected_frequency_violation_count,closed_loop_effective_update_count,restoration_reward_actor_frozen,pathwise_robust,anchor_replay_path_count
Walker2d-v5,3493980176,worst_mode_trainreplay,0.05169986654524307,0.12968663129579366,0.12968663129579366,0.12886563109557495,0.03625287965830787,0.03227548856047872,4,False,True,"{""effective_restoration_update"": true, ""protocol_identity"": true, ""selected_frequency_feasible"": true, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": true}",11,0,0,30,False,False,4
Walker2d-v5,3493980176,l2_mode_trainreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": true, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,20,22,False,False,4
Walker2d-v5,3493980176,l2_path_trainreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": true, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,80,11,False,True,4
Walker2d-v5,3493980176,l2_path_freeze_trainreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": true, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,80,6,True,True,4
Walker2d-v5,3493980176,l2_path_freeze_crossreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": true, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,80,7,True,True,16
Walker2d-v5,4020259488,worst_mode_trainreplay,0.002780949226019214,0.09583939225360041,0.09583939225360041,0.10185205987150532,0.05550458300473109,0.06974976476672143,6,True,False,"{""effective_restoration_update"": true, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": true}",23,0,4,18,False,False,4
Walker2d-v5,4020259488,l2_mode_trainreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": true, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,20,11,False,False,4
Walker2d-v5,4020259488,l2_path_trainreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": true, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,80,6,False,True,4
Walker2d-v5,4020259488,l2_path_freeze_trainreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": true, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,80,5,True,True,4
Walker2d-v5,4020259488,l2_path_freeze_crossreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": true, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,80,5,True,True,16
Walker2d-v5,583213049,worst_mode_trainreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": true, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,20,3,False,False,4
Walker2d-v5,583213049,l2_mode_trainreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": true, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,20,7,False,False,4
Walker2d-v5,583213049,l2_path_trainreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": true, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,80,3,False,True,4
Walker2d-v5,583213049,l2_path_freeze_trainreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": true, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,80,5,True,True,4
Walker2d-v5,583213049,l2_path_freeze_crossreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": true, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,80,4,True,True,16
