domain,checks,drift_checks,performance_checks,supported,noninferiority_supported,positive_mixed,summary_only_positive,summary_only_noharm,not_supported,verdict
native_real_demand,8,0,7,4,0,2,0,0,1,performance_noharm_only
native_real_demand_alighting_safe_v2,36,2,9,9,0,0,0,0,16,partial
trading_constraint,4,1,3,3,0,0,0,0,1,partial
trading_ppo_primal_dual,4,1,3,0,0,0,1,3,0,summary_only_noharm
transit_ppo_primal_dual,4,1,3,0,0,0,2,2,0,summary_only_noharm
transit_real_surrogate,5,2,3,5,0,0,0,0,0,no_tradeoff_supported
