freq_method,n,scenario,total_return_mean,total_return_std,mean_reward_mean,mean_reward_std,base_mean_reward_mean,base_mean_reward_std,leakage_reward_penalty_mean,leakage_reward_penalty_std,leakage_reward_penalty_total_mean,leakage_reward_penalty_total_std,sharpe_mean,sharpe_std,sortino_mean,sortino_std,max_drawdown_mean,max_drawdown_std,calmar_mean,calmar_std,turnover_mean,turnover_std,transaction_cost_mean,transaction_cost_std,inventory_drift_mean_mean,inventory_drift_mean_std,post_shift_mean_pnl_mean,post_shift_mean_pnl_std,post_shift_cum_pnl_120_mean,post_shift_cum_pnl_120_std,recovery_cost_120_mean,recovery_cost_120_std,recovery_regret_120_mean,recovery_regret_120_std,promotion_count_mean,promotion_count_std,promotion_delay_mean,promotion_delay_std,PromotionDelay_mean,PromotionDelay_std,ShockResponseTime_mean,ShockResponseTime_std,regime_promotion_accuracy_mean,regime_promotion_accuracy_std,regime_promotion_precision_mean,regime_promotion_precision_std,regime_promotion_recall_mean,regime_promotion_recall_std,UpperHFPower_mean,UpperHFPower_std,LowerLFDrift_mean,LowerLFDrift_std,FocusScore_mean,FocusScore_std,freq_attr_n_mean,freq_attr_n_std,freq_attr_high_component_pnl_mean,freq_attr_high_component_pnl_std,freq_attr_high_component_pnl_total_mean,freq_attr_high_component_pnl_total_std,freq_attr_high_frequency_cost_mean,freq_attr_high_frequency_cost_std,freq_attr_high_frequency_cost_total_mean,freq_attr_high_frequency_cost_total_std,freq_attr_leakage_cost_mean,freq_attr_leakage_cost_std,freq_attr_leakage_cost_total_mean,freq_attr_leakage_cost_total_std,freq_attr_low_component_pnl_mean,freq_attr_low_component_pnl_std,freq_attr_low_component_pnl_total_mean,freq_attr_low_component_pnl_total_std,freq_attr_low_frequency_cost_mean,freq_attr_low_frequency_cost_std,freq_attr_low_frequency_cost_total_mean,freq_attr_low_frequency_cost_total_std,freq_attr_lower_credit_mean,freq_attr_lower_credit_std,freq_attr_lower_credit_total_mean,freq_attr_lower_credit_total_std,freq_attr_promotion_adaptation_cost_mean,freq_attr_promotion_adaptation_cost_std,freq_attr_promotion_adaptation_cost_total_mean,freq_attr_promotion_adaptation_cost_total_std,freq_attr_task_reward_mean,freq_attr_task_reward_std,freq_attr_task_reward_total_mean,freq_attr_task_reward_total_std,freq_attr_upper_credit_mean,freq_attr_upper_credit_std,freq_attr_upper_credit_total_mean,freq_attr_upper_credit_total_std,plan_curve_enabled_mean,plan_curve_enabled_std,plan_curve_decisions_mean,plan_curve_decisions_std,plan_curve_reuses_mean,plan_curve_reuses_std,plan_curve_forced_replans_mean,plan_curve_forced_replans_std,plan_curve_reuse_ratio_mean,plan_curve_reuse_ratio_std,plan_curve_smoothness_mean_mean,plan_curve_smoothness_mean_std,plan_curve_desired_gap_mean_mean,plan_curve_desired_gap_mean_std,lower_lf_drift_speed_gain_mean,lower_lf_drift_speed_gain_std
ema,2,persistent_shift,0.0406117275106892,0.006787403922115409,0.00040617210879955866,7.676688995378962e-05,0.0004971290136951791,8.16744273978033e-05,8.187622023155775e-05,2.4436590237103287e-06,0.006550097618524619,0.0001954927218968264,6.80865941635874,0.7830900444738282,12.928242297755197,1.943864720384937,0.001182904596521539,0.00037984703106114237,40.33370558566217,18.689624087635238,1.5574797529970263,0.02527502450115804,0.009344878517982158,0.00015165014700694712,0.0002765047958396753,4.013666847560122e-05,0.001000080721625711,6.770698144821806e-05,0.036002905978525596,0.0024374513321358503,7.881749489161273e-06,7.881749489161273e-06,0.008223220978077123,0.0017379804151754995,39.0,1.0,0.5,0.5,0.5,0.5,3.4242424242424243,1.3030303030303032,0.9532828282828283,0.0012626262626262985,0.9105263157894736,0.010526315789473661,0.9861111111111112,0.013888888888888895,0.006741741668865055,0.0026123031114090737,1.3717752835033599,0.07792270776698063,0.4479630887415754,0.1359462809431519,80.0,0.0,4.284996084470621e-06,9.183896438321167e-06,0.00034279968675764963,0.0007347117150656934,0.0002581052252002319,1.4702197729346076e-05,0.020648418016018553,0.0011761758183476863,8.187622023155775e-05,2.4436590237103287e-06,0.006550097618524619,0.0001954927218968264,0.0006102080086771648,7.051463078494412e-05,0.04881664069417317,0.0056411704627955285,0.0,0.0,0.0,0.0,-0.0002990433353160108,1.5924027241201216e-05,-0.023923466825280862,0.0012739221792960973,9.080684664062622e-06,2.46387842030337e-06,0.0007264547731250096,0.00019711027362426958,0.0004971290136951791,8.16744273978033e-05,0.03977032109561432,0.006533954191824263,-5.001879477984149e-05,3.685707932158532e-06,-0.004001503582387319,0.0002948566345726826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adaptive_wavelet,2,persistent_shift,0.04088526044534824,0.006175251763056,0.0004068095050277023,6.566200063054891e-05,0.0005004201647686368,7.428773879177036e-05,8.0411763798497e-05,2.310167923987944e-06,0.00643294110387976,0.0001848134339190355,6.842212573132299,0.795630172434151,13.159101117059286,1.8188982937536942,0.0011798810635202384,0.00042617211585621595,42.02528327035879,20.4132911346013,1.6765809745428877,0.09292994649839448,0.010059485847257327,0.0005575796789903664,0.00029771652032677717,3.8666208750767e-05,0.0010078526939403497,4.9267969078386684e-05,0.03628269698185259,0.0017736468868219217,2.5571597883065515e-05,2.5571597883065515e-05,0.007987479281825721,0.0012554107513767258,41.5,1.5,0.0,0.0,0.0,0.0,3.151515151515152,1.4848484848484849,0.9375,0.017045454545454586,0.8686046511627907,0.03139534883720929,1.0,0.0,0.007618511044633182,0.0025799605325048415,1.3107406602524674,0.06447960745895831,0.3903088796649131,0.0017996985982284275,80.0,0.0,-7.134389448304705e-07,1.011883845862178e-05,-5.7075115586437684e-05,0.0008095070766897426,0.0002743772962701151,2.436301642924781e-05,0.021950183701609206,0.0019490413143398253,8.0411763798497e-05,2.310167923987944e-06,0.00643294110387976,0.0001848134339190355,0.0006274726098448373,7.10613139030266e-05,0.050197808787586985,0.005684905112242129,0.0,0.0,0.0,0.0,-0.0003145831781693636,2.5518100391241742e-05,-0.025166654253549088,0.0020414480312993394,1.3198895942437497e-05,6.315570237233584e-06,0.0010559116753949998,0.0005052456189786868,0.0005004201647686368,7.428773879177036e-05,0.04003361318149094,0.005943019103341631,-5.340477784168599e-05,7.470654199227547e-06,-0.004272382227334879,0.0005976523359382039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neural_state_space,2,persistent_shift,0.04096677934277171,0.006044046373813838,0.00040805959661016644,6.427991002647948e-05,0.0005014065286553188,7.270051977364449e-05,8.014625570278651e-05,2.230338036228001e-06,0.006411700456222922,0.00017842704289824015,6.842220495934894,0.7865528819408527,13.166776300503296,1.831503473159131,0.0012049055511352824,0.0004420847561478203,41.415792109472164,20.211822168345506,1.691818367139305,0.10711640375420584,0.01015091020283583,0.0006426984225252367,0.0002992952736920177,3.654223580315229e-05,0.0010105159543612363,4.509539654483938e-05,0.036378574357004506,0.001623434275614219,3.132555536815895e-05,3.132555536815895e-05,0.00786975443189523,0.0010946132905515428,41.0,2.0,0.0,0.0,0.0,0.0,3.090909090909091,1.5454545454545456,0.9431818181818181,0.022727272727272707,0.8801431127012522,0.042933810375670844,1.0,0.0,0.00766806697303956,0.0024942001797664502,1.3016201818264257,0.06089394039646545,0.45802483496322877,0.061734850126543894,80.0,0.0,-2.393075034952917e-07,9.375731816264632e-06,-1.9144600279623336e-05,0.0007500585453011706,0.0002755939413102291,2.625503007723176e-05,0.02204751530481833,0.00210040240617854,8.014625570278651e-05,2.230338036228001e-06,0.006411700456222922,0.00017842704289824015,0.000629130804241646,7.128543376733898e-05,0.05033046433933168,0.005702834701387119,0.0,0.0,0.0,0.0,-0.0003156670691616224,2.7370199095345764e-05,-0.02525336553292979,0.002189615927627661,1.320067634236581e-05,6.19027171093696e-06,0.0010560541073892649,0.0004952217368749569,0.0005014065286553188,7.270051977364449e-05,0.0401125222924255,0.005816041581891557,-5.3273804193759074e-05,7.30544072905096e-06,-0.004261904335500726,0.0005844352583240769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
