seed,variant,status,ep_reward,avg_wait_min,headway_cv,score,upper_plan_decisions,upper_plan_reuse_ratio,freq_promotion_strength,shared_ppo_lower_samples,shared_ppo_gate_evaluations,shared_ppo_gate_replans,shared_ppo_gate_value_mean,shared_ppo_loss
211,safe_strong_gate,supported_native_episode_loop,-4636.787,11.665,0.4461,-12.5572,66.0,0.7480916030534351,0.6923076923076924,4970.0,0.0,0.0,0.0,368.30550918579104
221,safe_strong_gate,supported_native_episode_loop,-18380.769,4.881,0.5802,-6.0414,66.0,0.7480916030534351,0.0,4972.0,0.0,0.0,0.0,49856.92780761719
151,safe_lf_gate,supported_native_episode_loop,-4974.36,10.024,0.5679,-11.159799999999999,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,1374.491732788086
161,safe_lf_gate,supported_native_episode_loop,-2806.211,4.44,0.4427,-5.3254,66.0,0.7480916030534351,0.0,4971.0,0.0,0.0,0.0,12343.83363647461
171,safe_lf_gate,supported_native_episode_loop,-16021.059,20.814,0.3396,-21.4932,66.0,0.7480916030534351,0.8461538461538461,4970.0,0.0,0.0,0.0,2543.3158752441404
181,safe_lf_gate,supported_native_episode_loop,-19828.767,14.453,0.6218,-15.6966,66.0,0.7480916030534351,0.0,4969.0,0.0,0.0,0.0,89392.86455078125
191,safe_lf_gate,supported_native_episode_loop,-4136.882,5.114,0.4247,-5.9634,66.0,0.7480916030534351,1.0,4969.0,0.0,0.0,0.0,48689.98115234375
201,safe_lf_gate,supported_native_episode_loop,-18943.941,5.273,0.5776,-6.4281999999999995,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,23318.68526611328
211,safe_lf_gate,supported_native_episode_loop,-4636.787,11.665,0.4461,-12.5572,66.0,0.7480916030534351,0.6923076923076924,4970.0,0.0,0.0,0.0,368.30550918579104
221,safe_lf_gate,supported_native_episode_loop,-18380.769,4.881,0.5802,-6.0414,66.0,0.7480916030534351,0.0,4972.0,0.0,0.0,0.0,49856.92780761719
