ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy,w_wait,w_fleet,w_cv,N_fleet,fleet_overshoot
89,BiLevel,18.6,1.1,5.047,14,0.5035,-2343.864,779.901,4971,262,-26.66,27.07,-59.96,59.2,-0.4715,0.2971,-11.865494728088379,0.6892567873001099,10.004026412963867,3.286088228225708,0.49783676862716675,2.5124905109405518,0.7000641226768494,15.197032928466797,1.6250890493392944,467.0047607421875,0.1,0.7683301568031311,447331,1.13,32.84,-94.26,104.43,-1.1415,0.0,-4.089938163757324,0.16199007630348206,6.015499114990234,1.0133723020553589,0.140431210398674,4.423120498657227,0.22354890406131744,5.227678298950195,0.05,15720,-26.658746879139784,27.07344813375978,262,-29.45653912989717,-27.42841993570328,0.5648842555981369,0.647099923778866,0.24590589098693444,0.10699418523419962,0.5318,15.33,0.0503,1.885,0.647,0.246,0.107,14,0
90,BiLevel,17.5,1.2,5.01,12,0.5071,-2788.2,1133.258,4970,262,-24.27,28.64,-59.89,59.97,-0.561,0.363,-11.987123489379883,0.5772160887718201,12.571840286254883,5.853145599365234,0.6543225049972534,2.348050594329834,0.659390926361084,14.575830459594727,1.9940409660339355,321.3534851074219,0.1,0.7661656141281128,452301,-0.74,31.06,-101.27,97.37,-1.8694,0.5,-4.225279808044434,0.1759151965379715,5.883629322052002,0.9208973050117493,0.14196836948394775,4.586513519287109,0.13831663131713867,4.494421005249023,0.05,15982,-24.270401144260074,28.640968067084362,262,-23.92845064229087,-25.757186799300342,0.5533169774973419,0.6481528245438318,0.24491377393531713,0.10693340152085097,0.511,16.04,0.0531,1.769,0.649,0.243,0.108,9,3
91,BiLevel,16.4,1.1,6.591,13,0.3774,-2150.615,683.842,4970,262,-31.17,26.14,-59.9,59.76,-0.4327,0.2807,-10.795366287231445,0.6232273578643799,10.668781280517578,3.9846322536468506,0.44154778122901917,2.3006715774536133,0.5419642329216003,13.762513160705566,2.074249744415283,261.06396484375,0.1,0.7639935612678528,457271,-2.38,29.66,-96.4,105.95,-2.0558,0.5,-3.9327359199523926,0.14765958487987518,5.58752965927124,0.6615015268325806,0.11688828468322754,4.237457275390625,0.3515508472919464,3.43501877784729,0.05,16244,-31.166503778239058,26.14179234965849,262,-30.798823136561793,-33.01062509762613,0.6147845905459717,0.6491892423487945,0.2442223081017459,0.10658844954945959,0.5596,16.29,0.0641,1.566,0.653,0.237,0.11,10,3
92,BiLevel,16.6,1.3,5.77,14,0.5612,-2179.147,688.045,4971,262,-19.98,31.4,-59.92,59.71,-0.4384,0.2871,-11.535697937011719,0.5423026084899902,9.952348709106445,3.2619588375091553,0.6058311462402344,2.7401883602142334,0.5669418573379517,14.582375526428223,1.7096294164657593,152.5167999267578,0.1,0.7618440389633179,462242,0.95,30.38,-84.62,100.27,-1.3195,0.0,-3.9360854625701904,0.1998564898967743,5.758018970489502,0.8669153451919556,0.14747583866119385,4.3419880867004395,0.23432911932468414,6.303308963775635,0.05,16506,-19.9771421222446,31.404092352305963,262,-21.995264113537576,-24.835783559397647,0.5455811450493427,0.6494507540995584,0.2441971890070954,0.1063520568933462,0.5694,15.8,0.0857,1.455,0.655,0.235,0.11,16,0
93,BiLevel,15.4,1.2,8.329,15,0.4525,-2152.993,688.367,4970,262,-27.03,29.32,-59.98,59.75,-0.4332,0.2877,-11.216517448425293,0.6202186346054077,13.37161636352539,6.682415962219238,0.7111538052558899,2.6942176818847656,0.6372222900390625,14.468587875366211,1.0776432752609253,1379.15966796875,0.1,0.7596994042396545,467212,-0.51,28.54,-72.43,88.2,-1.8301,0.0,-4.063722610473633,0.13907784223556519,5.265963077545166,0.4091499447822571,0.15168875455856323,4.3550615310668945,0.11244916915893555,9.01971435546875,0.05,16768,-27.03492148726489,29.323277570451147,262,-24.362469799895035,-30.831131828458687,0.5948237145980696,0.649937080398155,0.24428552740585435,0.10577739219599075,0.5741,14.74,0.1055,1.435,0.653,0.238,0.109,14,1
94,BiLevel,14.8,1.2,4.278,15,0.4393,-1968.043,606.62,4970,262,-18.83,30.65,-59.91,59.64,-0.396,0.2675,-12.249319076538086,0.6357516050338745,15.028778076171875,8.354266166687012,0.6626824736595154,2.7462308406829834,0.6705876588821411,15.648578643798828,2.413449287414551,1011.5237426757812,0.1,0.7575667500495911,472182,0.39,33.16,-83.0,108.74,-0.9655,0.0,-4.08164644241333,0.17565488815307617,5.556243419647217,0.7335715293884277,0.12046588957309723,4.442605972290039,0.46888455748558044,4.941295623779297,0.05,17030,-18.829983110448545,30.649048376225085,262,-17.62858326337055,-20.92524910349595,0.5255537460024916,0.6494083970945491,0.24508437820158813,0.10550722470386263,0.636,11.64,0.1533,1.865,0.645,0.251,0.105,16,0
95,BiLevel,14.8,1.3,13.584,14,0.6373,-2176.885,688.462,4970,262,-29.09,28.23,-59.94,59.95,-0.438,0.2764,-11.590145111083984,0.8600282669067383,12.949397087097168,6.2759504318237305,0.7939269542694092,2.417576789855957,0.7572474479675293,15.125123977661133,3.7754411697387695,1495.9912109375,0.1,0.7554203867912292,477152,1.55,31.36,-97.87,111.09,-2.9259,0.0,-4.056120872497559,0.16719049215316772,5.498505592346191,0.708355724811554,0.13061821460723877,4.397999286651611,0.17521099746227264,6.697058200836182,0.05,17292,-29.085855062043958,28.228563131315855,262,-25.366086567859902,-26.563957193650698,0.6121014168047955,0.6515686389231032,0.24368498623862153,0.10474637483827516,0.5794,6.92,0.1265,2.602,0.597,0.305,0.097,12,2
96,BiLevel,15.2,1.1,4.871,14,0.4828,-2310.954,774.14,4970,262,-32.21,27.7,-59.95,59.63,-0.465,0.2968,-11.45242691040039,0.5813906192779541,12.121013641357422,5.469387531280518,0.7073274254798889,2.7758374214172363,1.120766520500183,14.452844619750977,3.2582144737243652,838.5982055664062,0.1,0.7532845735549927,482122,3.86,30.52,-114.44,112.14,-1.0601,0.0,-4.243874549865723,0.13607648015022278,5.437673568725586,0.6800826191902161,0.13315509259700775,4.525693893432617,0.28099384903907776,8.351277351379395,0.05,17554,-32.21402455109173,27.700641848946983,262,-28.841986880176943,-26.49215756450829,0.6467210401247178,0.6516252026090283,0.24383270583695027,0.10454209155402154,0.5114,6.74,0.0606,2.684,0.626,0.274,0.101,16,0
97,BiLevel,16.6,1.2,4.447,15,0.3735,-2040.806,637.225,4969,262,-20.28,30.91,-59.94,59.88,-0.4107,0.2738,-12.432354927062988,0.548261284828186,11.563858032226562,4.928496837615967,0.6788005828857422,2.661884069442749,0.6908575892448425,15.529501914978027,1.9550832509994507,1124.621337890625,0.1,0.7511240839958191,487091,1.38,30.76,-104.45,107.67,-0.9865,0.0,-4.278759002685547,0.11152563244104385,5.405240058898926,0.681513249874115,0.109196238219738,4.514495372772217,0.1127498596906662,11.150911331176758,0.05,17816,-20.28030028189991,30.90813594823271,262,-19.64649028003608,-20.987085669134792,0.543849329600512,0.6511664404006531,0.2446052964396025,0.10422826315974441,0.5426,8.21,0.0502,2.701,0.652,0.244,0.105,15,0
98,BiLevel,15.3,1.1,5.778,14,0.48,-2106.478,689.501,4970,262,-27.28,28.33,-59.83,59.48,-0.4238,0.2943,-11.937675476074219,0.7150020599365234,11.64668083190918,5.025059223175049,0.689692497253418,2.895371437072754,1.6392226219177246,15.385766983032227,2.7160823345184326,1454.2947998046875,0.1,0.7489868402481079,492061,-5.4,29.77,-96.45,105.15,-1.8792,0.5,-4.472271919250488,0.14558835327625275,5.206270217895508,0.5131899118423462,0.11093632876873016,4.773922443389893,0.5690380334854126,3.8018758296966553,0.05,18078,-27.284729419025393,28.332097234974743,262,-27.46383837900664,-27.542304971657302,0.5904706332761384,0.6514480310100397,0.24459126819117294,0.1039607007987873,0.5227,9.45,0.0501,2.702,0.651,0.245,0.104,11,3
