environment,disturbance_mode,arm,upper_constraint_mode,upper_dual_lr,upper_hf_penalty_coef,replicate_count,baseline_return_mean,candidate_return_mean,return_difference_mean,return_difference_one_sided_lower,return_difference_one_sided_upper,reward_noninferiority_margin,reward_noninferiority_pass,responsibility_drift_one_sided_upper,required_responsibility_drift_reduction,responsibility_drift_pass,raw_lower_drift_one_sided_upper,required_raw_lower_drift_reduction,raw_lower_drift_pass,upper_hf_rms,upper_hf_rms_one_sided_upper,upper_hf_budget_pass,reconstruction_rms_max,reconstruction_integrity_pass,minimum_normalized_safety_slack,condition_gate_pass
HalfCheetah-v5,standard,crossed_joint_beta0,disabled,0.0,0.0,8,216.79242093188972,396.3999807639543,179.60755983206457,-141.78699597049194,496.2412251529621,4.335848418637794,False,0.00037061541950462453,2.0068945043173744e-05,False,0.001297043814291539,2.0068945043173744e-05,False,0.0338364277420831,0.03998138332637113,True,3.85112714697673e-09,True,-65.62939688664481,False
HalfCheetah-v5,low_frequency,crossed_joint_beta0,disabled,0.0,0.0,8,141.65755949948093,371.46517285688265,229.80761335740175,-22.398879258468497,489.76100308620823,2.8331511899896187,False,0.00036560979575321086,2.3800790697746823e-05,False,0.0011267131532579702,2.3800790697746823e-05,False,0.03368132300890668,0.039743632603547234,True,3.521676391083588e-09,True,-48.33931605745494,False
HalfCheetah-v5,high_frequency,crossed_joint_beta0,disabled,0.0,0.0,8,121.50208803795503,313.9659563743346,192.4638683363795,-7.425751604349102,395.02888361299307,2.4300417607591007,False,0.00030548200609403656,2.13069071373563e-05,False,0.0008685733729571907,2.13069071373563e-05,False,0.03282752194040086,0.03844541622327554,True,3.6083292092073795e-09,True,-41.76487344492932,False
HalfCheetah-v5,mixed,crossed_joint_beta0,disabled,0.0,0.0,8,83.61782065679245,237.42760965290873,153.8097889961163,4.1135693115187735,305.79149231541584,1.672356413135849,True,0.00028017155992545183,2.6055567105983976e-05,False,0.0010321422561443345,2.6055567105983976e-05,False,0.03215521837248154,0.037065541834455915,True,4.668669775616109e-09,True,-40.613118069776746,False
HalfCheetah-v5,ood_chirp,crossed_joint_beta0,disabled,0.0,0.0,8,150.0026106155437,383.17679950322935,233.17418888768566,-36.44832141192057,512.9380595630773,3.000052212310874,False,0.00039166163017884353,2.3753500416955365e-05,False,0.001190051714314905,2.3753500416955365e-05,False,0.0335992624502868,0.03941137950947747,True,3.6942484354254e-09,True,-51.100056556946036,False
Hopper-v5,standard,crossed_joint_beta0,disabled,0.0,0.0,8,101.95645655330542,101.95645655330542,0.0,0.0,0.0,2.039129131066108,True,-4.351826883621267e-06,8.72377620431706e-07,True,0.0,8.72377620431706e-07,False,0.00032139303966769004,0.00036477795568312286,True,2.1734173922465132e-10,True,-1.0,False
Hopper-v5,low_frequency,crossed_joint_beta0,disabled,0.0,0.0,8,39.81529473283908,39.81529473283908,0.0,0.0,0.0,0.7963058946567816,True,-1.849157095025776e-06,1.1425886418527924e-06,True,0.0,1.1425886418527924e-06,False,0.0010479547095014153,0.0011257207496321578,True,3.4106576798264376e-10,True,-1.0,False
Hopper-v5,high_frequency,crossed_joint_beta0,disabled,0.0,0.0,8,81.34025210895516,81.34025210895516,0.0,0.0,0.0,1.6268050421791032,True,-4.123020262209704e-06,8.708142882171784e-07,True,0.0,8.708142882171784e-07,False,0.00038496573498554955,0.0004223564997463922,True,1.9672463605165035e-10,True,-1.0,False
Hopper-v5,mixed,crossed_joint_beta0,disabled,0.0,0.0,8,39.36014357967,39.36014357967,0.0,0.0,0.0,0.7872028715934001,True,-1.8405099467082706e-06,1.1396276667363616e-06,True,0.0,1.1396276667363616e-06,False,0.0010356889107138783,0.0011145895290386907,True,2.816875229883391e-10,True,-1.0,False
Hopper-v5,ood_chirp,crossed_joint_beta0,disabled,0.0,0.0,8,58.66395222670211,58.66395222670211,0.0,0.0,0.0,1.1732790445340422,True,-2.4821293254651e-06,1.1818669381156331e-06,True,0.0,1.1818669381156331e-06,False,0.0008681593113741915,0.0009367986843058979,True,2.4584359732130185e-10,True,-1.0,False
Walker2d-v5,standard,crossed_joint_beta0,disabled,0.0,0.0,8,98.91276993147244,98.91276993147244,0.0,0.0,0.0,1.9782553986294489,True,-6.515884432040591e-06,1.6036009128801861e-06,True,0.0,1.6036009128801861e-06,False,0.0008565153881647126,0.0009305838273116762,True,2.6939458450452816e-10,True,-1.0,False
Walker2d-v5,low_frequency,crossed_joint_beta0,disabled,0.0,0.0,8,15.813602945949686,15.813602945949686,0.0,0.0,0.0,0.31627205891899374,True,-2.6488135830404448e-06,1.9336110848546283e-06,True,0.0,1.9336110848546283e-06,False,0.0019890738290212796,0.0020954774626257833,True,2.0250723456233744e-10,True,-1.0,False
Walker2d-v5,high_frequency,crossed_joint_beta0,disabled,0.0,0.0,8,55.330804371344,55.330804371344,0.0,0.0,0.0,1.10661608742688,True,-7.299147895963357e-06,1.7261367321439409e-06,True,0.0,1.7261367321439409e-06,False,0.0013499402211048573,0.001454970306389614,True,2.2954291638053893e-10,True,-1.0,False
Walker2d-v5,mixed,crossed_joint_beta0,disabled,0.0,0.0,8,15.384448873734918,15.384448873734918,0.0,0.0,0.0,0.30768897747469837,True,-2.5623057148771325e-06,1.880104884508677e-06,True,0.0,1.880104884508677e-06,False,0.002002798469433262,0.002120744568535926,True,2.7649079097218155e-10,True,-1.0,False
Walker2d-v5,ood_chirp,crossed_joint_beta0,disabled,0.0,0.0,8,17.576255554457095,17.576255554457095,0.0,0.0,0.0,0.3515251110891419,True,-3.3827928033205523e-06,2.0324388277078063e-06,True,0.0,2.0324388277078063e-06,False,0.0019257449344552181,0.0020061165657373832,True,2.3784771138390196e-10,True,-1.0,False
HalfCheetah-v5,standard,crossed_joint_beta0p5,static_reward_penalty,0.0,0.5,8,216.79242093188972,650.07742601163,433.2850050797403,167.67171670801207,684.1143464638509,4.335848418637794,True,0.000566665887759412,2.0068945043173744e-05,False,0.001273911082144318,2.0068945043173744e-05,False,0.030146183358901107,0.033733831464052545,True,2.771303734569069e-09,True,-64.47673379959882,False
HalfCheetah-v5,low_frequency,crossed_joint_beta0p5,static_reward_penalty,0.0,0.5,8,141.65755949948093,470.5062027960453,328.8486432965644,183.71593953477986,466.4161509755007,2.8331511899896187,True,0.0006106102937541768,2.3800790697746823e-05,False,0.0015739440239846056,2.3800790697746823e-05,False,0.03070423351074599,0.03363585715270847,True,2.9380997104797587e-09,True,-67.12990484108614,False
HalfCheetah-v5,high_frequency,crossed_joint_beta0p5,static_reward_penalty,0.0,0.5,8,121.50208803795503,442.2605461615527,320.75845812359773,160.38532962867907,472.16420055528556,2.4300417607591007,True,0.0005918109806230907,2.13069071373563e-05,False,0.0014961972632697074,2.13069071373563e-05,False,0.03165043103659402,0.03441234362581413,True,2.652025820213948e-09,True,-71.22123171722573,False
HalfCheetah-v5,mixed,crossed_joint_beta0p5,static_reward_penalty,0.0,0.5,8,83.61782065679245,345.8199081039037,262.20208744711124,143.41777419417534,381.90340790303605,1.672356413135849,True,0.0005581291397531375,2.6055567105983976e-05,False,0.001567363868246134,2.6055567105983976e-05,False,0.03200086579502357,0.03458210136123821,True,2.8961004014827453e-09,True,-61.1546633727335,False
HalfCheetah-v5,ood_chirp,crossed_joint_beta0p5,static_reward_penalty,0.0,0.5,8,150.0026106155437,467.04935818623443,317.04674757069074,163.86282145644333,464.3118192636001,3.000052212310874,True,0.0006245030577328243,2.3753500416955365e-05,False,0.0015468025324336554,2.3753500416955365e-05,False,0.030118229371756816,0.03289237439323134,True,2.789810357438907e-09,True,-66.11893006428392,False
Hopper-v5,standard,crossed_joint_beta0p5,static_reward_penalty,0.0,0.5,8,101.95645655330542,101.95645655330542,0.0,0.0,0.0,2.039129131066108,True,-4.363311545193442e-06,8.72377620431706e-07,True,0.0,8.72377620431706e-07,False,0.00032139303966769004,0.00036578673242834096,True,2.1734173922465132e-10,True,-1.0,False
Hopper-v5,low_frequency,crossed_joint_beta0p5,static_reward_penalty,0.0,0.5,8,39.81529473283908,39.81529473283908,0.0,0.0,0.0,0.7963058946567816,True,-1.839393840960067e-06,1.1425886418527924e-06,True,0.0,1.1425886418527924e-06,False,0.0010479547095014153,0.0011239041439001201,True,3.4106576798264376e-10,True,-1.0,False
Hopper-v5,high_frequency,crossed_joint_beta0p5,static_reward_penalty,0.0,0.5,8,81.34025210895516,81.34025210895516,0.0,0.0,0.0,1.6268050421791032,True,-4.1202820820977164e-06,8.708142882171784e-07,True,0.0,8.708142882171784e-07,False,0.00038496573498554955,0.00042210294083664724,True,1.9672463605165035e-10,True,-1.0,False
Hopper-v5,mixed,crossed_joint_beta0p5,static_reward_penalty,0.0,0.5,8,39.36014357967,39.36014357967,0.0,0.0,0.0,0.7872028715934001,True,-1.8528929577602886e-06,1.1396276667363616e-06,True,0.0,1.1396276667363616e-06,False,0.0010356889107138783,0.0011141806495882528,True,2.816875229883391e-10,True,-1.0,False
Hopper-v5,ood_chirp,crossed_joint_beta0p5,static_reward_penalty,0.0,0.5,8,58.66395222670211,58.66395222670211,0.0,0.0,0.0,1.1732790445340422,True,-2.507835199248366e-06,1.1818669381156331e-06,True,0.0,1.1818669381156331e-06,False,0.0008681593113741915,0.0009377579246604232,True,2.4584359732130185e-10,True,-1.0,False
Walker2d-v5,standard,crossed_joint_beta0p5,static_reward_penalty,0.0,0.5,8,98.91276993147244,98.91276993147244,0.0,0.0,0.0,1.9782553986294489,True,-6.5142266077252956e-06,1.6036009128801861e-06,True,0.0,1.6036009128801861e-06,False,0.0008565153881647126,0.0009310096260957212,True,2.6939458450452816e-10,True,-1.0,False
Walker2d-v5,low_frequency,crossed_joint_beta0p5,static_reward_penalty,0.0,0.5,8,15.813602945949686,15.813602945949686,0.0,0.0,0.0,0.31627205891899374,True,-2.6564849007229835e-06,1.9336110848546283e-06,True,0.0,1.9336110848546283e-06,False,0.0019890738290212796,0.0020953823203524965,True,2.0250723456233744e-10,True,-1.0,False
Walker2d-v5,high_frequency,crossed_joint_beta0p5,static_reward_penalty,0.0,0.5,8,55.330804371344,55.330804371344,0.0,0.0,0.0,1.10661608742688,True,-7.27310529124499e-06,1.7261367321439409e-06,True,0.0,1.7261367321439409e-06,False,0.0013499402211048573,0.001454185300789535,True,2.2954291638053893e-10,True,-1.0,False
Walker2d-v5,mixed,crossed_joint_beta0p5,static_reward_penalty,0.0,0.5,8,15.384448873734918,15.384448873734918,0.0,0.0,0.0,0.30768897747469837,True,-2.5615258554529994e-06,1.880104884508677e-06,True,0.0,1.880104884508677e-06,False,0.002002798469433262,0.0021210925841205408,True,2.7649079097218155e-10,True,-1.0,False
Walker2d-v5,ood_chirp,crossed_joint_beta0p5,static_reward_penalty,0.0,0.5,8,17.576255554457095,17.576255554457095,0.0,0.0,0.0,0.3515251110891419,True,-3.3831326294391975e-06,2.0324388277078063e-06,True,0.0,2.0324388277078063e-06,False,0.0019257449344552181,0.0020064344598670755,True,2.3784771138390196e-10,True,-1.0,False
HalfCheetah-v5,standard,crossed_joint_pd0p5,primal_dual,0.5,0.0,8,216.79242093188972,214.20369705395615,-2.588723877933603,-250.52192225227324,242.05940524661779,4.335848418637794,False,8.274273242221693e-05,2.0068945043173744e-05,False,0.00016301036509197691,2.0068945043173744e-05,False,0.01722318306315315,0.023617776089728565,True,3.1092264236158995e-09,True,-56.779215983519194,False
HalfCheetah-v5,low_frequency,crossed_joint_pd0p5,primal_dual,0.5,0.0,8,141.65755949948093,155.32362633110125,13.666066831620327,-142.63852486751296,193.44306657216237,2.8331511899896187,False,7.031222235425075e-05,2.3800790697746823e-05,False,0.0006097136213622626,2.3800790697746823e-05,False,0.016115055452888653,0.022014747669343422,True,4.334749819795443e-09,True,-49.34624532975793,False
HalfCheetah-v5,high_frequency,crossed_joint_pd0p5,primal_dual,0.5,0.0,8,121.50208803795503,133.87598211271674,12.37389407476168,-158.2245500969767,187.3833506088999,2.4300417607591007,False,6.185296378485257e-05,2.13069071373563e-05,False,0.0002438402536504304,2.13069071373563e-05,False,0.017669700657414446,0.023716865177800205,True,2.9359975322683387e-09,True,-64.11186459921176,False
HalfCheetah-v5,mixed,crossed_joint_pd0p5,primal_dual,0.5,0.0,8,83.61782065679245,96.92162310802567,13.303802451233238,-114.71337043128749,152.86818745331095,1.672356413135849,False,8.447134110852288e-05,2.6055567105983976e-05,False,0.00038204761781278097,2.6055567105983976e-05,False,0.019117255527118945,0.026956670343755002,True,3.872935270175179e-09,True,-67.59385327807458,False
HalfCheetah-v5,ood_chirp,crossed_joint_pd0p5,primal_dual,0.5,0.0,8,150.0026106155437,186.60942036299787,36.60680974745418,-139.75985644108144,220.81469986095306,3.000052212310874,False,9.672327730546359e-05,2.3753500416955365e-05,False,0.0003176374004791242,2.3753500416955365e-05,False,0.016081829683074304,0.02241618367121433,True,4.04380120293831e-09,True,-45.585808029463436,False
