timestamp,event_type,side,price,size,order_id
34200.015105074,trade,bid,579.4,4.0,15818974
34200.05990197,trade,bid,579.4,300.0,15818974
34200.113246707,trade,bid,579.51,1.0,hidden_2
34200.113246707,trade,bid,579.5,1.0,hidden_3
34200.113246707,trade,bid,579.49,1.0,hidden_4
34200.113246707,trade,bid,579.48,1.0,hidden_5
34200.113246707,trade,bid,579.4,167.0,15818974
34200.154178213,add,bid,579.4,100.0,16155653
34200.202322801,add,ask,579.89,25.0,4773921
34200.203135277,trade,bid,579.4,29.0,15818974
34200.203135277,trade,bid,579.4,100.0,16155653
34200.2070117,add,ask,579.4,1.0,16167456
34200.207763353,trade,ask,579.4,1.0,16167456
34200.207763353,add,bid,579.4,99.0,16167632
34200.236450238,trade,bid,579.4,11.0,16167632
34200.249457498,trade,bid,579.4,29.0,16167632
34200.35865663,trade,ask,579.73,4.0,hidden_16
34200.501687061,add,ask,579.79,100.0,16228038
34200.502444619,add,ask,579.79,10.0,16228180
34200.633496578,add,bid,579.4,100.0,16252843
34200.696339803,trade,bid,579.46,100.0,hidden_20
34200.696339803,trade,bid,579.4,59.0,16167632
34200.696339803,trade,bid,579.4,12.0,16252843
34200.763732578,add,ask,579.79,100.0,16274753
34201.44557354,trade,bid,579.4,88.0,16252843
34201.44557354,trade,bid,579.19,75.0,16174771
34201.44557354,trade,bid,579.18,37.0,hidden_26
34202.184836108,trade,bid,579.18,63.0,hidden_27
34202.184836108,trade,bid,579.13,29.0,hidden_28
34202.472695361,add,ask,579.73,100.0,16477262
34202.472885056,add,ask,579.73,100.0,16477281
34203.650345438,cancel,ask,579.73,100.0,16477262
34203.650507021,cancel,ask,579.73,100.0,16477281
34204.320392912,add,ask,579.73,100.0,16654914
34204.320575651,add,ask,579.73,100.0,16654928
34204.414461644,trade,bid,579.17,6.0,hidden_35
34204.414627059,cancel,ask,579.73,100.0,16654928
34204.635971,add,ask,579.66,2300.0,16680220
