timestamp,ask_price_1,ask_size_1,bid_price_1,bid_size_1
34200.015105074,580.23,100.0,579.4,496.0
34200.05990197,580.23,100.0,579.4,196.0
34200.113246707,580.23,100.0,579.4,196.0
34200.113246707,580.23,100.0,579.4,196.0
34200.113246707,580.23,100.0,579.4,196.0
34200.113246707,580.23,100.0,579.4,196.0
34200.113246707,580.23,100.0,579.4,29.0
34200.154178213,580.23,100.0,579.4,129.0
34200.202322801,579.89,25.0,579.4,129.0
34200.203135277,579.89,25.0,579.4,100.0
34200.203135277,579.89,25.0,579.12,100.0
34200.2070117,579.4,1.0,579.12,100.0
34200.207763353,579.89,25.0,579.12,100.0
34200.207763353,579.89,25.0,579.4,99.0
34200.236450238,579.89,25.0,579.4,88.0
34200.249457498,579.89,25.0,579.4,59.0
34200.35865663,579.89,25.0,579.4,59.0
34200.501687061,579.79,100.0,579.4,59.0
34200.502444619,579.79,110.0,579.4,59.0
34200.633496578,579.79,110.0,579.4,159.0
34200.696339803,579.79,110.0,579.4,159.0
34200.696339803,579.79,110.0,579.4,100.0
34200.696339803,579.79,110.0,579.4,88.0
34200.763732578,579.79,210.0,579.4,88.0
34201.44557354,579.79,210.0,579.19,75.0
34201.44557354,579.79,210.0,579.12,100.0
34201.44557354,579.79,210.0,579.12,100.0
34202.184836108,579.79,210.0,579.12,100.0
34202.184836108,579.79,210.0,579.12,100.0
34202.472695361,579.73,100.0,579.12,100.0
34202.472885056,579.73,200.0,579.12,100.0
34203.650345438,579.73,100.0,579.12,100.0
34203.650507021,579.79,210.0,579.12,100.0
34204.320392912,579.73,100.0,579.12,100.0
34204.320575651,579.73,200.0,579.12,100.0
34204.414461644,579.73,200.0,579.12,100.0
34204.414627059,579.73,100.0,579.12,100.0
34204.635971,579.66,2300.0,579.12,100.0
34204.636163856,579.66,2700.0,579.12,100.0
34205.266040346,579.66,2700.0,579.12,100.0
34205.266040346,579.66,2700.0,579.12,100.0
34205.266211854,579.66,2300.0,579.12,100.0
34205.621656362,579.66,2300.0,579.12,100.0
34206.021458868,579.66,2300.0,579.12,100.0
34206.02684287,579.66,2300.0,579.12,128.0
34206.027107895,579.66,2300.0,579.12,206.0
34206.027622462,579.66,2300.0,579.12,206.0
34206.027622462,579.66,2300.0,579.12,134.0
34206.028440622,579.66,2300.0,579.12,156.0
34206.029089693,579.66,2300.0,579.12,160.0
34206.029818156,579.66,2300.0,579.12,166.0
34206.029906382,579.66,2300.0,579.12,138.0
34206.029906382,579.66,2300.0,579.12,110.0
34206.029906382,579.66,2300.0,579.12,66.0
34206.030220796,579.66,2300.0,579.12,73.0
34206.030430451,579.66,2300.0,579.12,83.0
34206.030813614,579.66,2300.0,579.12,92.0
34206.031174657,579.66,2300.0,579.12,116.0
34206.335544635,579.66,2300.0,579.12,82.0
34206.335544635,579.66,2300.0,579.12,60.0
34206.335544635,579.66,2300.0,579.12,56.0
34206.335544635,579.66,2300.0,579.12,50.0
34206.335544635,579.66,2300.0,579.12,43.0
34206.335544635,579.66,2300.0,579.12,33.0
34206.335544635,579.66,2300.0,579.12,24.0
34206.335544635,579.66,2300.0,579.0,41.0
34206.390765275,579.52,260.0,579.0,41.0
34206.391593154,579.66,2300.0,579.0,41.0
34206.3930235,579.52,260.0,579.0,41.0
34206.393843671,579.66,2300.0,579.0,41.0
34206.394630495,579.52,260.0,579.0,41.0
34206.395347138,579.66,2300.0,579.0,41.0
34206.396762991,579.52,260.0,579.0,41.0
34206.39748654,579.66,2300.0,579.0,41.0
34206.399114575,579.52,260.0,579.0,41.0
34206.400382181,579.66,2300.0,579.0,41.0
34206.401290662,579.52,260.0,579.0,41.0
34206.402542165,579.66,2300.0,579.0,41.0
34206.403385601,579.52,260.0,579.0,41.0
34206.404791532,579.66,2300.0,579.0,41.0
34206.405614357,579.52,260.0,579.0,41.0
34206.407029767,579.66,2300.0,579.0,41.0
34206.407833095,579.52,260.0,579.0,41.0
34206.408787399,579.66,2300.0,579.0,41.0
34206.409965877,579.52,260.0,579.0,41.0
34206.410680711,579.66,2300.0,579.0,41.0
34206.411525433,579.52,260.0,579.0,41.0
34206.412552465,579.66,2300.0,579.0,41.0
34206.413597384,579.52,260.0,579.0,41.0
34206.414562858,579.66,2300.0,579.0,41.0
34207.657108304,579.52,260.0,579.0,41.0
34207.658433819,579.66,2300.0,579.0,41.0
34207.659935516,579.52,260.0,579.0,41.0
34207.661271153,579.66,2300.0,579.0,41.0
34207.662749793,579.52,260.0,579.0,41.0
34207.664086215,579.66,2300.0,579.0,41.0
34207.665049651,579.52,260.0,579.0,41.0
34207.666381883,579.66,2300.0,579.0,41.0
34207.667950288,579.52,260.0,579.0,41.0
34207.669279653,579.66,2300.0,579.0,41.0
34207.670204865,579.52,260.0,579.0,41.0
34207.671404663,579.66,2300.0,579.0,41.0
34207.673650976,579.52,260.0,579.0,41.0
34207.675070224,579.66,2300.0,579.0,41.0
34207.67645084,579.52,260.0,579.0,41.0
34207.677857238,579.66,2300.0,579.0,41.0
34207.678675572,579.52,260.0,579.0,41.0
34207.680038855,579.66,2300.0,579.0,41.0
34207.68143834,579.52,260.0,579.0,41.0
34207.682373702,579.66,2300.0,579.0,41.0
34207.683828361,579.52,260.0,579.0,41.0
34207.685155565,579.66,2300.0,579.0,41.0
34207.686630374,579.52,260.0,579.0,41.0
34207.687969395,579.66,2300.0,579.0,41.0
34207.689494057,579.52,260.0,579.0,41.0
34207.690330524,579.66,2300.0,579.0,41.0
34207.691780207,579.52,260.0,579.0,41.0
34207.693269535,579.66,2300.0,579.0,41.0
34207.695127956,579.52,260.0,579.0,41.0
34207.696489237,579.66,2300.0,579.0,41.0
34207.697920734,579.52,260.0,579.0,41.0
34207.698908035,579.66,2300.0,579.0,41.0
34208.145807111,579.66,2302.0,579.0,41.0
34208.146115376,579.66,2300.0,579.0,41.0
34208.146115376,579.52,2.0,579.0,41.0
34209.135238134,579.45,100.0,579.0,41.0
34209.153478631,579.45,102.0,579.0,41.0
34209.745480497,579.45,112.0,579.0,41.0
34210.172085995,579.45,131.0,579.0,41.0
34210.740131279,579.45,231.0,579.0,41.0
34211.015012413,579.45,212.0,579.0,41.0
34211.058977504,579.45,212.0,579.0,22.0
34212.141429731,579.45,212.0,579.0,1.0
34212.141429731,579.45,212.0,578.99,1.0
34212.141429731,579.45,212.0,578.5,9.0
34212.141429731,579.45,212.0,578.5,9.0
34212.141429731,579.45,212.0,578.5,9.0
34212.150479521,578.9,2171.0,578.5,9.0
34212.1715959,579.45,212.0,578.5,9.0
34212.171759523,578.51,2171.0,578.5,9.0
34212.171865865,578.51,2071.0,578.5,9.0
34212.171969276,578.51,2071.0,578.21,10.0
34212.204258788,579.45,212.0,578.21,10.0
34212.204573984,579.45,212.0,578.0,174.0
34212.204573984,579.45,212.0,578.0,169.0
34212.204573984,579.45,212.0,578.0,164.0
34212.204573984,579.45,212.0,578.0,136.0
34212.204573984,579.45,212.0,578.0,86.0
34212.204573984,579.45,212.0,578.0,84.0
34212.204791502,579.45,212.0,578.0,84.0
34212.204962809,579.45,212.0,578.0,84.0
34212.204962809,579.45,212.0,578.0,84.0
34212.204962809,579.45,212.0,577.99,1.0
34212.204962809,578.0,1278.0,577.99,1.0
34212.205124171,578.0,1678.0,577.99,1.0
34212.205187242,578.0,400.0,577.99,1.0
34212.20522105,578.0,400.0,577.51,110.0
34212.205259616,578.0,400.0,577.51,110.0
34212.205259616,578.0,400.0,577.51,110.0
34212.205324774,578.0,400.0,577.51,110.0
34212.205324774,578.0,399.0,577.51,110.0
34212.205330204,579.45,212.0,577.51,110.0
34212.206090682,579.45,212.0,578.0,200.0
34212.206550349,579.45,212.0,578.0,200.0
34212.206876537,579.45,212.0,578.0,200.0
34212.206876537,579.45,212.0,578.0,200.0
34212.207179106,579.45,212.0,578.0,200.0
34212.207179106,579.45,212.0,578.0,100.0
34212.207361737,579.45,212.0,577.51,110.0
34212.208156427,578.0,578.0,577.51,110.0
34212.245781202,579.45,210.0,577.51,110.0
34212.24593772,579.45,210.0,577.51,110.0
34212.246235883,579.45,210.0,577.51,110.0
34212.24640177,579.45,210.0,577.51,110.0
34212.246573827,579.45,210.0,577.51,100.0
34212.246573827,579.45,210.0,577.51,10.0
34212.24678587,579.45,210.0,577.45,3.0
34212.246816706,579.45,210.0,577.51,66.0
34212.246961714,579.45,210.0,577.45,3.0
34212.246961714,577.51,102.0,577.45,3.0
34212.2765606,577.51,104.0,577.45,3.0
34212.278004576,577.51,2.0,577.45,3.0
34212.28018577,577.51,2.0,577.45,1.0
34212.280250969,577.51,2.0,577.24,20.0
34212.284162466,579.45,210.0,577.24,20.0
34212.295288066,577.51,2.0,577.24,20.0
34212.29557982,579.45,210.0,577.24,20.0
34212.29557982,579.45,210.0,577.51,98.0
34212.317876704,579.11,100.0,577.51,98.0
34212.34250483,579.11,102.0,577.51,98.0
34212.705131581,579.11,102.0,577.24,20.0
34212.705131581,579.11,102.0,577.24,20.0
34212.719680789,579.11,102.0,577.45,100.0
34212.725440621,579.11,102.0,577.45,108.0
34213.294061275,579.11,102.0,577.45,708.0
34213.962547453,579.11,2.0,577.45,708.0
34214.499755316,579.11,2.0,577.45,700.0
34215.471948615,578.59,100.0,577.45,700.0
34215.472129336,578.59,200.0,577.45,700.0
34216.113710965,578.59,200.0,577.45,100.0
34216.113867794,578.59,100.0,577.45,100.0
34216.116067882,578.59,100.0,577.55,600.0
34217.147886513,578.8,2.0,577.55,600.0
34217.148068157,578.44,100.0,577.55,600.0
34217.148236482,578.44,200.0,577.55,600.0
34217.167865699,578.0,100.0,577.55,600.0
34217.168134247,578.44,100.0,577.55,600.0
34217.168134247,578.14,100.0,577.55,600.0
34217.181119739,578.14,100.0,577.55,600.0
34217.206704761,578.14,100.0,577.55,600.0
34217.209297906,578.14,100.0,577.55,600.0
34217.210470267,578.14,100.0,577.55,600.0
34217.362201857,578.14,100.0,577.55,600.0
34217.728212546,578.14,100.0,577.55,600.0
34217.728212546,578.14,100.0,577.55,600.0
34218.873259746,578.14,100.0,577.24,20.0
34218.873398948,578.44,100.0,577.24,20.0
34218.873398948,577.73,100.0,577.24,20.0
34218.874750308,577.73,100.0,577.24,20.0
34218.875598074,577.73,100.0,577.66,600.0
34218.875693752,578.44,100.0,577.66,600.0
34218.875693752,578.2,100.0,577.66,600.0
34218.87584919,578.2,300.0,577.66,600.0
34218.875913862,578.2,400.0,577.66,600.0
34218.87594306,578.2,300.0,577.66,600.0
34218.87594306,577.94,100.0,577.66,600.0
34218.876263775,578.2,100.0,577.66,600.0
34218.876263775,577.99,100.0,577.66,600.0
34218.876515253,578.44,100.0,577.66,600.0
34218.876515253,578.2,100.0,577.66,600.0
34218.99336589,578.07,100.0,577.66,600.0
34218.993476937,577.96,100.0,577.66,600.0
34218.993694445,578.07,100.0,577.66,600.0
34218.993694445,577.87,100.0,577.66,600.0
34219.843969867,577.87,100.0,577.66,700.0
34219.844087745,578.07,100.0,577.66,700.0
34219.844087745,577.96,100.0,577.66,700.0
34220.034122811,577.96,110.0,577.66,700.0
34220.034238605,577.96,10.0,577.66,700.0
34220.034238605,577.95,100.0,577.66,700.0
34221.015874097,577.95,100.0,577.66,600.0
34221.015994018,577.96,10.0,577.66,600.0
34221.016439156,577.96,10.0,577.66,700.0
34221.12249655,577.96,10.0,577.69,140.0
34221.123725961,577.96,10.0,577.66,700.0
34221.124559524,577.96,10.0,577.69,140.0
34222.150970581,577.89,100.0,577.69,140.0
34222.15149298,577.89,100.0,577.66,700.0
34222.389890414,577.89,100.0,577.66,600.0
34222.390311795,577.89,100.0,577.7,100.0
34222.39780826,577.92,100.0,577.7,100.0
34222.397908912,577.96,10.0,577.7,100.0
34222.793555904,577.96,10.0,577.7,100.0
34222.836870745,577.96,10.0,577.8,600.0
34223.647338812,577.98,200.0,577.8,600.0
34223.68071871,578.07,100.0,577.8,600.0
34223.681087941,578.8,2.0,577.8,600.0
34223.681338927,578.07,75.0,577.8,600.0
34223.681445643,578.8,2.0,577.8,600.0
34223.713770608,578.8,2.0,577.8,600.0
34223.713770608,578.8,2.0,577.8,600.0
34224.448191619,578.8,2.0,577.92,200.0
34225.021027413,578.8,2.0,577.92,200.0
34225.669376887,578.8,2.0,577.93,300.0
34226.583003127,578.8,2.0,578.28,600.0
