variant,total_reward_mean,reward_mean_mean,wait_proxy_mean,headway_cv_mean,hold_mean_mean,promotion_count_mean,leakage_penalty_mean,UpperHFPower_mean,LowerLFDrift_mean,plan_smoothness_mean,plan_coeff_abs_mean,wait_low_share_mean,wait_high_share_mean,wait_attr_penalty_mean,wait_board_credit_mean,wait_credit_relief_mean,upper_decision_count_mean,promotion_replan_count_mean,n,claim_objective,delta_claim_objective_vs_base,delta_wait_vs_base,delta_lower_lf_drift_vs_base
base_ema_direct,-436.25069970388375,-4.544278121915455,4.202651387153691,0.10370625078806696,7.626995599390804,0.0,0.999820395497608,0.0003602548655771397,0.9994601406320308,0.0,0.0,0.9408633337715931,0.05913666622840696,0.0,0.0,0.0,96.0,0.0,3,-4.868610944646074,0.0,0.0,0.0
plan_only,-442.86903707142966,-4.613219136160725,4.269447178281627,0.10450426460616762,7.564791015148997,0.0,1.0018473463326893,0.002528761521643075,0.9993185848110464,0.0173426066365454,0.5015278331267738,0.9408633337715931,0.05913666622840696,0.0,0.0,0.0,12.0,0.0,3,-4.939590420228365,-0.07097947558229123,0.06679579112793643,-0.000141555820984407
full_no_wait,-442.68906440485836,-4.611344420883942,4.268094918510859,0.1039316389846206,7.863646354805341,14.0,1.0058053149480064,0.00689306206690722,0.9989122528810991,0.018047185701313275,0.479199068932677,0.9551360815473928,0.04486391845260717,0.0,0.0,0.0,24.333333333333332,13.333333333333334,3,-4.940617661402918,-0.07200671675684411,0.06544353135716818,-0.0005478877509317304
full_freqhrl,-432.88625537452907,-4.50923182681801,4.143068723166479,0.10533640314361696,7.272135344238549,14.0,1.0052791006857664,0.00689306206690722,0.9983860386188592,0.018047185701313275,0.479199068932677,0.9551360815473928,0.04486391845260717,0.02160153200029143,0.0005361791565646378,0.12390497951296923,24.333333333333332,13.333333333333334,3,-4.827546812276563,0.04106413236951045,-0.05958266398721168,-0.0010741020131715961
