ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy,w_wait,w_fleet,w_cv,N_fleet,fleet_overshoot
57,BiLevel,14.7,1.0,4.556,14,0.372,-2642.422,937.979,4971,262,-39.22,24.2,-59.95,57.69,-0.5316,0.3173,-11.47457218170166,0.8697917461395264,29.002321243286133,21.226179122924805,0.8349112272262573,0.787073016166687,0.6486532092094421,14.228302001953125,2.0152087211608887,919.83056640625,0.1,1.2055253982543945,288272,-6.86,48.84,-105.94,106.1,-1.0877,0.5,-2.9804012775421143,0.20719745755195618,7.920506000518799,1.003607988357544,0.22413955628871918,3.404505491256714,0.06302191317081451,4.224139213562012,0.05,7336,-39.21986457398542,24.19848641393405,262,-32.8736009331126,-32.87390211444152,0.7167686376881311,0.6639229376968172,0.2204663829385256,0.11561067936465727,0.9912,15.74,0.0526,2.025,0.664,0.22,0.116,13,1
58,BiLevel,14.7,1.0,4.669,14,0.4438,-2622.921,923.915,4973,262,-39.37,23.84,-59.97,58.29,-0.5274,0.3154,-10.441014289855957,0.7942155003547668,30.184959411621094,22.420536041259766,0.8343374729156494,1.2794581651687622,0.46664223074913025,13.654928207397461,1.4100828170776367,495.0895080566406,0.1,1.2092905044555664,293245,-6.7,48.18,-109.51,106.56,-1.0907,0.5,-2.9154911041259766,0.19407160580158234,8.643658638000488,1.8029510974884033,0.1804473102092743,3.31126070022583,0.19325044751167297,5.170679569244385,0.05,7598,-39.37112319983187,23.843945308757903,262,-46.03748220801354,-35.51798942371419,0.7176459379478841,0.6638741614294361,0.22086234366972915,0.11526349490083485,0.8571,16.23,0.0587,1.861,0.667,0.216,0.118,14,0
59,BiLevel,14.4,1.0,4.357,15,0.5619,-2465.899,817.845,4969,262,-39.25,25.45,-59.95,58.02,-0.4963,0.3009,-10.408147811889648,0.6804887056350708,14.447470664978027,6.7038984298706055,0.7970952391624451,1.1838639974594116,0.2892228662967682,13.251104354858398,2.369904041290283,469.6148986816406,0.1,1.2131104469299316,298214,-9.33,49.29,-104.71,109.27,-1.0739,0.5,-3.049995183944702,0.1767396181821823,7.989821434020996,1.2233833074569702,0.16371317207813263,3.4120187759399414,0.05693397670984268,3.520799160003662,0.05,7860,-39.24836068586472,25.44623820097888,262,-45.50658884675879,-43.52341827087496,0.730181561531465,0.6630561345639246,0.22199927704422603,0.11494458839184933,0.796,16.37,0.0683,1.717,0.669,0.213,0.119,15,0
60,BiLevel,14.4,1.0,4.231,14,0.4593,-2539.134,878.373,4969,262,-38.69,24.95,-59.96,56.86,-0.511,0.3054,-10.604188919067383,0.8187720775604248,18.50506019592285,10.782470703125,0.7505905628204346,1.2006001472473145,0.23485906422138214,13.783202171325684,4.198850631713867,1190.7091064453125,0.1,1.2169175148010254,303183,-6.93,47.98,-113.67,108.29,-1.5344,0.5,-2.956092596054077,0.1660519242286682,8.414734840393066,1.7214511632919312,0.16516557335853577,3.2970101833343506,0.6991908550262451,8.030043601989746,0.05,8122,-38.69014567805802,24.953970789800298,262,-42.687828927291065,-43.3645333177165,0.716463485145252,0.6628711401535305,0.22246355168756982,0.11466530815889976,0.7186,16.42,0.0753,1.587,0.669,0.213,0.119,11,3
61,BiLevel,14.5,1.0,8.388,13,0.4692,-2590.043,887.245,4972,262,-42.67,22.3,-59.97,56.46,-0.5209,0.3121,-10.662759780883789,0.6515408754348755,17.306974411010742,9.605453491210938,0.6851189732551575,1.5285717248916626,0.3032934069633484,13.897355079650879,1.2068909406661987,284.8066711425781,0.1,1.2207919359207153,308155,-9.83,48.49,-114.62,97.85,-2.4241,0.5,-3.0113542079925537,0.16120359301567078,7.624189853668213,1.0016815662384033,0.17231599986553192,3.3458144664764404,0.34652161598205566,5.259191036224365,0.05,8384,-42.674321596472495,22.29972057602207,262,-44.04691573506908,-47.21792919306379,0.7575310577760305,0.6645247029459348,0.22139964215210758,0.11407565490195767,0.6392,16.27,0.083,1.475,0.669,0.213,0.118,10,3
62,BiLevel,14.3,1.0,4.448,14,0.4493,-2542.469,882.842,4970,262,-39.87,23.03,-59.95,56.66,-0.5116,0.3131,-10.712615966796875,0.8256343007087708,34.86577224731445,27.16176414489746,0.8871114253997803,1.1523540019989014,0.3790798783302307,13.842935562133789,2.078557014465332,1141.499267578125,0.1,1.224730372428894,313125,-13.56,49.74,-114.12,97.8,-1.0518,0.5,-2.9925239086151123,0.1512918621301651,7.260756015777588,0.710439920425415,0.13541710376739502,3.30576753616333,0.6608537435531616,6.000027179718018,0.05,8646,-39.86847975604701,23.02792899616555,262,-45.784054901097946,-44.39084327722851,0.7173321573508394,0.6644044162124616,0.2218198860419062,0.1137756977456323,0.5902,15.64,0.0978,1.45,0.67,0.213,0.117,14,0
63,BiLevel,14.7,1.0,3.629,14,0.5721,-2438.675,832.719,4970,262,-41.61,21.78,-59.97,58.53,-0.4907,0.3048,-10.60496711730957,1.0345656871795654,23.95288848876953,16.264596939086914,0.893352210521698,1.5505009889602661,0.4396294355392456,14.618368148803711,2.505514144897461,2876.369873046875,0.1,1.228634238243103,318095,-12.12,46.49,-108.2,100.92,-0.9745,0.5,-2.9254982471466064,0.12616780400276184,7.4479451179504395,0.9677602052688599,0.14750511944293976,3.1887662410736084,0.10229931771755219,11.703225135803223,0.05,8908,-41.60675020003373,21.781418547236246,262,-44.338721275643294,-45.23192479641814,0.7379300626352086,0.6639711896313178,0.22237080733529307,0.11365800303338901,0.5814,14.67,0.1101,1.492,0.667,0.218,0.115,13,1
64,BiLevel,14.4,1.0,4.207,14,0.4588,-2257.06,699.881,4971,262,-35.65,25.92,-59.93,58.33,-0.454,0.2818,-10.184039115905762,0.9631258249282837,18.607011795043945,10.94334888458252,0.7627801299095154,1.4450961351394653,3.715444326400757,13.949701309204102,1.3005021810531616,1506.1920166015625,0.1,1.232635736465454,323066,-8.41,49.65,-104.79,105.55,-1.5541,0.5,-3.179887294769287,0.14045527577400208,7.707118034362793,1.2932113409042358,0.15615352988243103,3.468496084213257,0.47644785046577454,10.292616844177246,0.05,9170,-35.649933407620104,25.91814460112192,262,-40.815157267294424,-41.78764403242813,0.6784944588002942,0.6637797352818601,0.22282368294461216,0.11339658177352772,0.625,13.09,0.1281,1.674,0.654,0.234,0.112,11,3
65,BiLevel,14.3,1.0,4.591,14,0.4332,-2402.138,785.578,4971,262,-37.67,25.37,-59.97,57.46,-0.4832,0.2956,-10.225051879882812,0.6668007373809814,22.55771827697754,14.925004959106445,0.650682806968689,1.6795769929885864,0.583077609539032,13.701393127441406,2.0335047245025635,248.01168823242188,0.1,1.2367184162139893,328037,-10.27,48.0,-105.7,107.65,-1.0758,0.5,-3.310312509536743,0.1613936424255371,7.377168655395508,1.0289952754974365,0.15659086406230927,3.643099069595337,0.22866109013557434,8.096989631652832,0.05,9432,-37.665840385674315,25.367380678949566,262,-40.63203112953587,-42.2812041144622,0.7058471189402913,0.6637176639736697,0.22320104566817334,0.11308129035815698,0.5897,9.37,0.1365,2.287,0.636,0.256,0.109,13,1
66,BiLevel,14.5,1.0,4.326,12,0.4723,-2845.117,1069.684,4972,262,-34.16,28.89,-59.95,58.49,-0.5722,0.3433,-9.626371383666992,0.767587423324585,34.753761291503906,27.127965927124023,0.7676423788070679,1.1463265419006348,0.6791576147079468,12.636293411254883,2.1193313598632812,1088.255615234375,0.1,1.2407335042953491,333009,-20.36,49.37,-113.89,102.82,-1.7629,0.5,-3.263742446899414,0.15335510671138763,7.220226287841797,0.9364644885063171,0.16845181584358215,3.5808918476104736,0.3695886731147766,6.295323848724365,0.05,9694,-34.163145864854414,28.892844277042368,262,-39.61501259521434,-37.96224538778004,0.6892269059485523,0.6647025708463016,0.22227679419238783,0.11302063496131065,0.5051,7.2,0.0804,2.604,0.627,0.266,0.107,9,3
