environment,metric,effect_scale,mean_effect,nominal_lower,simultaneous_lower,registered_threshold,pass
HalfCheetah-v5,normalized_episode_return,paired_normalized_difference,-0.02040159067094751,-0.05163226645141659,-0.1191107199484231,-0.02,False
HalfCheetah-v5,LowerLFDriftAbs,paired_log_baseline_over_candidate,-0.0022165588995064615,-0.01567538418881221,-0.10092568817698205,0.05129329438755058,False
HalfCheetah-v5,RawLowerLFDriftAbs,paired_log_baseline_over_candidate,-0.0022165588995064615,-0.01567538418881221,-0.10092568817698205,0.05129329438755058,False
HalfCheetah-v5,LatentLowerLFDriftAbs,paired_log_baseline_over_candidate,-0.0038514154923506368,-0.020891034909584424,-0.10256054476982623,0.05129329438755058,False
HalfCheetah-v5,UpperHFPowerAbs,paired_log_baseline_over_candidate,-0.0009128251436115047,-0.02448433801379913,-0.0996219544210871,0.05129329438755058,False
HalfCheetah-v5,LatentUpperHFPowerAbs,paired_log_baseline_over_candidate,-0.0015873263061362275,-0.026441742182841167,-0.10029645558361182,0.05129329438755058,False
Hopper-v5,normalized_episode_return,paired_normalized_difference,0.021055756944090252,0.0044052870762884624,-0.07765337233338535,-0.02,False
Hopper-v5,LowerLFDriftAbs,paired_log_baseline_over_candidate,0.14707256391510548,0.09315479019697509,0.04836343463762989,0.05129329438755058,False
Hopper-v5,RawLowerLFDriftAbs,paired_log_baseline_over_candidate,0.14707256391510548,0.09315479019697509,0.04836343463762989,0.05129329438755058,False
Hopper-v5,LatentLowerLFDriftAbs,paired_log_baseline_over_candidate,0.18851026712640853,0.12814757072168262,0.08980113784893294,0.05129329438755058,True
Hopper-v5,UpperHFPowerAbs,paired_log_baseline_over_candidate,0.1982843060735712,0.09719891380192835,0.09957517679609561,0.05129329438755058,True
Hopper-v5,LatentUpperHFPowerAbs,paired_log_baseline_over_candidate,0.2210375051943526,0.10409947695853095,0.12232837591687702,0.05129329438755058,True
Walker2d-v5,normalized_episode_return,paired_normalized_difference,-0.00027193802377041196,-0.0005770738583752787,-0.098981067301246,-0.02,False
Walker2d-v5,LowerLFDriftAbs,paired_log_baseline_over_candidate,0.027336132480435735,0.009484896139181902,-0.07137299679703986,0.05129329438755058,False
Walker2d-v5,RawLowerLFDriftAbs,paired_log_baseline_over_candidate,0.027336132480435735,0.009484896139181902,-0.07137299679703986,0.05129329438755058,False
Walker2d-v5,LatentLowerLFDriftAbs,paired_log_baseline_over_candidate,0.028723564034465424,0.009433944091043214,-0.06998556524301017,0.05129329438755058,False
Walker2d-v5,UpperHFPowerAbs,paired_log_baseline_over_candidate,0.02617096860164359,0.004645149311466382,-0.072538160675832,0.05129329438755058,False
Walker2d-v5,LatentUpperHFPowerAbs,paired_log_baseline_over_candidate,0.029242296437946253,0.003026495719079439,-0.06946683283952934,0.05129329438755058,False
